date,pm10,no2,year,month,day,week,season,season_name,estado_trafico,diadelasemana,findesemana,PCA1,PCA2,PCA3,PCA4
2018-01-01,10.0,24.0,2018,1,1,1,1,Winter,1.5016106301590495,0,0,7.005353441596647,-7.603867999256863,2.9845282000260647,-6.095297805772757
2018-01-02,11.0,10.0,2018,1,2,1,1,Winter,1.855360997841209,1,0,6.181394988127336,-10.8886249560994,2.8744455210814883,-4.333908378307913
2018-01-03,10.0,7.0,2018,1,3,1,1,Winter,1.9146625914903883,2,0,6.784913265655666,-5.473178980715881,1.9308204518423169,-2.1791967917624753
2018-01-04,11.0,14.0,2018,1,4,1,1,Winter,1.9175872208535325,3,0,6.546647057587391,-0.5643437927530675,-0.33702926262476046,0.542583529721182
2018-01-05,10.0,20.0,2018,1,5,1,1,Winter,1.9331711273317116,4,0,5.53573619211015,8.13869860565028,-3.3151161224175794,-1.7445488198677814
2018-01-06,15.0,10.0,2018,1,6,1,1,Winter,1.6747435443933498,5,1,-15.830137475071888,20.58155613226929,-5.019087088617949,-7.480844484617602
2018-01-07,22.0,23.0,2018,1,7,1,1,Winter,1.6262537392222418,6,1,-3.7884187178198134,19.00178035663658,-0.14464631025824495,-7.048077687476577
2018-01-08,15.0,16.0,2018,1,8,2,1,Winter,1.9458938749297583,0,0,-23.069867048092988,5.300710595006286,-3.1505913882000995,-7.705039860483351
2018-01-09,13.0,14.0,2018,1,9,2,1,Winter,1.9670284828205336,1,0,9.008647184506147,0.1935055687158285,-0.30762193628967005,-6.6223855190836955
2018-01-10,10.0,15.0,2018,1,10,2,1,Winter,2.004945678611967,2,0,2.969414245471064,1.1825985080716526,-0.5987541918814494,-7.047886701799684
2018-01-11,23.712691771269174,23.0,2018,1,11,2,1,Winter,2.004905114184625,3,0,9.023256368293483,-0.012693753186867957,-0.5056847121743522,-6.026380007439446
2018-01-12,11.0,28.0,2018,1,12,2,1,Winter,2.0526491726558582,4,0,11.278700806593843,-7.616823959054614,1.917243985359377,-7.0576731080835415
2018-01-13,19.0,13.0,2018,1,13,2,1,Winter,1.759716362983574,5,1,-4.100225112259115,-1.9723243214797597,7.192089014862705,-8.847333781779934
2018-01-14,15.0,18.0,2018,1,14,2,1,Winter,1.5753141999624836,6,1,-0.8692982398963621,-2.0893107061101266,-0.10406122092991654,-7.414495563617237
2018-01-15,9.0,18.0,2018,1,15,3,1,Winter,1.9759966072943167,0,0,5.3038178029037795,-9.645299382105213,2.6258306920226744,-7.632407717200534
2018-01-16,10.0,4.0,2018,1,16,3,1,Winter,2.0001666111296235,1,0,8.024033858984241,-4.837802266165185,0.8916062547528403,-4.366384473348027
2018-01-17,12.0,28.0,2018,1,17,3,1,Winter,1.9902104747919729,2,0,74.73732865435014,-1.3947639252534765,4.342695917866877,-1.7767732268643528
2018-01-18,13.0,27.0,2018,1,18,3,1,Winter,2.019985376553741,3,0,3.3113493162786574,-10.35050633553734,1.9489042174580604,-5.4151779847185
2018-01-19,19.0,12.0,2018,1,19,3,1,Winter,2.008444375581035,4,0,12.177901706751754,-3.8373106019350747,2.0423898179312716,-8.990450947918252
2018-01-20,24.0,8.0,2018,1,20,3,1,Winter,1.8024934900970568,5,1,1.9823156824033366,-3.7245448911934402,0.5805413977126708,-4.9945906527770765
2018-01-21,8.0,14.0,2018,1,21,3,1,Winter,1.6135488192932508,6,1,6.686789931188652,-1.8325795567571634,-0.08278986045742731,-0.44720537724766546
2018-01-22,10.0,21.0,2018,1,22,4,1,Winter,1.9575650027004092,0,0,10.023170852964478,-8.130091992413773,1.2543628858702525,-1.2621621551534374
2018-01-23,17.0,25.0,2018,1,23,4,1,Winter,1.99813098668328,1,0,9.389421231904757,-14.299848058670202,2.9997654236311546,-3.864678750370654
2018-01-24,21.0,28.0,2018,1,24,4,1,Winter,2.004802927498666,2,0,0.46004835882146783,-15.754832553617872,3.283817178306955,-5.235745626070049
2018-01-25,20.0,10.0,2018,1,25,4,1,Winter,2.0221214726803716,3,0,-0.5307860377591266,-0.28547735594079154,17.38164694138526,-3.996970157935195
2018-01-26,16.0,17.641379310344828,2018,1,26,4,1,Winter,2.14540059347181,4,0,-14.76199048156679,5.335771239979222,19.31624572924307,-5.994438342595983
2018-01-27,23.712691771269174,17.641379310344828,2018,1,27,4,1,Winter,1.741270509045015,5,1,-15.57431148949569,-15.164951092867573,4.520973274634921,-9.628152966853108
2018-01-28,23.712691771269174,35.0,2018,1,28,4,1,Winter,1.59020965570302,6,1,-18.268958290611618,-26.72223600565266,6.022986837706878,-5.738125140564313
2018-01-29,19.0,34.0,2018,1,29,5,1,Winter,1.979517562420652,0,0,-2.2612106258083826,-25.380909371528304,6.2593101051989715,-6.171787757047759
2018-01-30,22.0,29.0,2018,1,30,5,1,Winter,1.9972479359519641,1,0,-1.3925235108070388,-19.39539678707644,4.426214330084924,-6.359421974220202
2018-01-31,24.0,27.0,2018,1,31,5,1,Winter,2.0158782666225603,2,0,2.2045427343092756,-7.969809710577979,1.9012997294602076,-6.86783752226849
2018-02-01,19.0,24.0,2018,2,1,5,1,Winter,2.070263909900824,3,0,-12.40737613126339,8.367138878020958,5.135829870949045,-10.093989675108723
2018-02-02,9.0,10.0,2018,2,2,5,1,Winter,2.070391061452514,4,0,10.788792670189315,12.060205551532732,-2.8355391203999685,-9.530677673811768
2018-02-03,7.0,12.0,2018,2,3,5,1,Winter,1.7490497581202489,5,1,5.780453435043437,7.19632057015115,-1.6533478800007209,-8.487137540959862
2018-02-04,8.0,24.0,2018,2,4,5,1,Winter,1.5904957465532414,6,1,-17.95786229936371,11.605621262909464,13.496310041040829,-7.813564981099851
2018-02-05,8.0,17.0,2018,2,5,6,1,Winter,2.0471000079560824,0,0,-15.839175790002608,13.947163890611606,9.71421450697049,-8.038878360980885
2018-02-06,20.0,11.0,2018,2,6,6,1,Winter,2.0114493884985687,1,0,-16.306303039962966,11.898792052772249,-3.0303569526369043,-9.798622583441261
2018-02-07,15.0,21.0,2018,2,7,6,1,Winter,2.0310917166679654,2,0,-2.9964069748372855,4.190677417400745,-2.1006614036266043,-8.536870388338999
2018-02-08,12.0,24.0,2018,2,8,6,1,Winter,2.0680778475614483,3,0,-15.67990475551694,-3.1944679905269835,1.992865467618904,-14.630813718727897
2018-02-09,13.0,18.0,2018,2,9,6,1,Winter,2.0980200989950504,4,0,-1.7674005444592726,-2.512315716452085,0.8146434283936056,-10.857947251762514
2018-02-10,4.0,17.0,2018,2,10,6,1,Winter,1.7459114139693357,5,1,9.040925390593573,-0.701903935865191,-0.015583797979448115,-7.3410801957619745
2018-02-11,2.0,20.0,2018,2,11,6,1,Winter,1.6472970427575817,6,1,5.98905727930212,0.5812411421163218,0.7754016894500656,-7.0088492583434645
2018-02-12,3.0,20.0,2018,2,12,7,1,Winter,2.051449444314914,0,0,74.29764167974467,6.298087127795279,18.267047047330752,-5.196350502861349
2018-02-13,8.0,24.0,2018,2,13,7,1,Winter,2.0102483611854858,1,0,5.116165501176707,-0.39749212787533783,1.0179985854593327,-11.175133260070352
2018-02-14,13.0,28.0,2018,2,14,7,1,Winter,2.0078451009848104,2,0,8.168316050836232,-0.58951128604993,1.293030077509477,-11.148270374001378
2018-02-15,31.0,31.0,2018,2,15,7,1,Winter,2.0398197460057355,3,0,-2.701966013781193,-8.963353015807783,0.7220865951296151,-4.7800988193661125
2018-02-16,36.0,17.0,2018,2,16,7,1,Winter,2.0780228758169934,4,0,-2.7176298510958987,-9.681021126075374,2.4143973804599987,-6.400624646006199
2018-02-17,31.0,14.0,2018,2,17,7,1,Winter,1.7655120228686734,5,1,-15.741199323136595,-7.642684929684699,1.7059235310084289,-8.289575635661633
2018-02-18,16.0,23.0,2018,2,18,7,1,Winter,1.6195970869195118,6,1,2.2236578976387755,-6.958274584315178,0.9836317459669617,-5.772751418984005
2018-02-19,17.0,24.0,2018,2,19,8,1,Winter,2.020827722416734,0,0,74.99033112788678,1.4600587265026685,1.7763804037173248,-4.753771882049118
2018-02-20,20.0,20.0,2018,2,20,8,1,Winter,2.0218036072144288,1,0,-4.160452166990726,5.463202177775176,-2.3629769605056596,-6.016533160816985
2018-02-21,28.0,19.0,2018,2,21,8,1,Winter,2.037925753045001,2,0,-15.484261364378934,11.759004533077798,-3.451328634478958,-7.779272503369937
2018-02-22,22.0,24.0,2018,2,22,8,1,Winter,2.016348572274005,3,0,-13.226184327726093,11.573933266009286,-4.458675394443331,-8.969749886872126
2018-02-23,27.0,26.0,2018,2,23,8,1,Winter,2.104126679462572,4,0,-4.22692067948126,11.313455203373772,-3.82949263454048,-8.80215336780463
2018-02-24,28.0,28.0,2018,2,24,8,1,Winter,1.8120564415129,5,1,-2.1571257408224724,8.624327371540636,-3.604067335671477,-7.6178014936511795
2018-02-25,30.0,19.0,2018,2,25,8,1,Winter,1.686078907162757,6,1,-16.2269910185593,8.230962672833666,-4.341804626878261,-5.731384789792725
2018-02-26,33.0,18.0,2018,2,26,9,1,Winter,2.0590004627487275,0,0,-15.354314821264373,12.09201663055222,-1.9124502715529488,-13.009753661709558
2018-02-27,21.0,22.0,2018,2,27,9,1,Winter,2.0229555236728842,1,0,-16.131958623632023,9.260884763164997,2.1193675635971254,-15.397880346069417
2018-02-28,14.0,29.0,2018,2,28,9,1,Winter,1.927439919635268,2,0,-15.590135978911146,19.13654003395518,3.59354224600247,-14.051374560141944
2018-03-01,19.0,17.0,2018,3,1,9,2,Spring,2.1310537018904867,3,0,2.052952248574553,31.944563181341504,-8.074448910141104,-7.738773434158053
2018-03-02,20.0,23.0,2018,3,2,9,2,Spring,2.202225886232481,4,0,3.7310642566281036,29.99153388966593,-4.486387355396219,-5.447699627493773
2018-03-03,11.0,25.0,2018,3,3,9,2,Spring,1.8075689016865488,5,1,2.0766240916088656,24.123335326006153,-7.258560703740935,-3.695030857908234
2018-03-04,17.0,27.0,2018,3,4,9,2,Spring,1.663185137258527,6,1,-15.745518411807897,24.163379203030907,-7.121299488358995,-5.559422049264387
2018-03-05,18.0,15.0,2018,3,5,10,2,Spring,2.043247791333614,0,0,6.88303338679296,31.103450043572224,-5.544880292581903,-4.517923178030753
2018-03-06,12.0,23.0,2018,3,6,10,2,Spring,2.0430552177085866,1,0,1.047862051472483,26.599365154419413,-8.917120052511542,-2.9335582908185933
2018-03-07,11.0,29.0,2018,3,7,10,2,Spring,2.0874258780599058,2,0,8.54324298902356,13.016338821302895,-4.915828891836842,-3.7133540793902844
2018-03-08,14.0,30.0,2018,3,8,10,2,Spring,2.111347941000938,3,0,-1.2621868502780167,7.416080182307205,-1.9269288183106446,-7.372056682871995
2018-03-09,25.0,20.0,2018,3,9,10,2,Spring,2.089819402269458,4,0,-4.203073833813322,5.178361039957391,-3.292253935401827,-3.9283488347046758
2018-03-10,29.0,16.0,2018,3,10,10,2,Spring,1.8043231935849384,5,1,0.37319374791571147,13.338276592080543,-4.973739343808945,-0.6657434431420054
2018-03-11,22.0,12.0,2018,3,11,10,2,Spring,1.945907346246541,6,1,0.12155625548318386,20.898677162163928,-6.842792452656227,-2.1598817721553103
2018-03-12,12.0,28.0,2018,3,12,11,2,Spring,2.016988143691382,0,0,5.420311903053451,10.591985982519768,-3.635333848515571,-2.4000774086051613
2018-03-13,16.0,29.0,2018,3,13,11,2,Spring,2.004737433756223,1,0,1.8930870843216545,1.4265267499833694,-0.46484947761202844,-6.148148030258421
