fecha,pm10,no2,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,intensidad
2018-01-01,8.0,15.0,6.9,0.0,1.7,11.6,26.0,3.1,10.0,5.9,953.25,950.0,128.0
2018-01-02,8.5,18.0,10.4,0.0,6.3,13.4,29.0,2.8,11.9,7.0,953.25,950.9,177.0
2018-01-03,8.0,16.0,10.9,0.0,7.2,14.6,23.0,1.7,8.6,4.6,954.15,951.05,189.0
2018-01-04,5.0,16.5,11.3,0.0,7.9,14.3,25.0,2.2,7.8,5.8,951.55,942.35,198.0
2018-01-05,3.0,14.5,8.2,13.6,5.2,11.4,22.0,3.1,11.7,1.6,942.35,925.0,201.0
2018-01-06,3.0,14.0,3.3,21.1,1.4,5.3,4.0,1.7,8.6,0.0,925.0,918.6,142.0
2018-01-07,9.5,24.0,2.2,3.3,0.9,3.8,12.0,2.8,7.5,0.0,928.4,918.45,130.0
2018-01-08,16.0,30.0,3.9,0.0,-0.5,8.5,26.0,1.4,6.1,8.5,936.6,928.25,204.0
2018-01-09,10.0,24.5,1.5,2.2,-1.5,4.5,21.0,1.1,4.7,0.0,940.2,935.9,207.0
2018-01-10,5.5,19.0,5.0,0.6,2.0,7.0,24.0,2.2,10.0,0.3,942.15,938.1,210.0
2018-01-11,13.0,30.0,5.7,0.0,2.0,9.0,29.0,3.3,13.6,8.6,945.7,941.35,216.0
2018-01-12,16.5,31.0,3.8,0.0,-0.3,9.0,28.0,1.4,6.4,6.7,946.8,942.95,230.0
2018-01-13,7.0,15.0,3.2,6.0,1.5,4.9,26.0,1.1,7.2,1.1,943.15,937.45,177.0
2018-01-14,12.5,25.0,4.6,0.0,1.5,7.4,23.0,1.9,6.1,5.2,943.3,938.45,143.0
2018-01-15,16.0,28.0,3.8,0.0,-1.1,8.7,23.0,1.1,6.4,8.1,948.8,943.1,203.0
2018-01-16,14.0,25.5,7.6,0.0,1.8,13.5,25.0,1.25,7.65,9.3,949.95,946.65,205.0
