fecha,pm10,no2,tmed,velmedia,racha,presmax,intensidad
2018-01-01,8.0,15.0,6.9,3.1,10.0,953.25,128.0
2018-01-02,8.5,18.0,10.4,2.8,11.9,953.25,177.0
2018-01-03,8.0,16.0,10.9,1.7,8.6,954.15,189.0
2018-01-04,5.0,16.5,11.3,2.2,7.8,951.55,198.0
2018-01-05,3.0,14.5,8.2,3.1,11.7,942.35,201.0
2018-01-06,3.0,14.0,3.3,1.7,8.6,925.0,142.0
2018-01-07,9.5,24.0,2.2,2.8,7.5,928.4,130.0
2018-01-08,16.0,30.0,3.9,1.4,6.1,936.6,204.0
2018-01-09,10.0,24.5,1.5,1.1,4.7,940.2,207.0
2018-01-10,5.5,19.0,5.0,2.2,10.0,942.15,210.0
2018-01-11,13.0,30.0,5.7,3.3,13.6,945.7,216.0
2018-01-12,16.5,31.0,3.8,1.4,6.4,946.8,230.0
2018-01-13,7.0,15.0,3.2,1.1,7.2,943.15,177.0
2018-01-14,12.5,25.0,4.6,1.9,6.1,943.3,143.0
2018-01-15,16.0,28.0,3.8,1.1,6.4,948.8,203.0
2018-01-16,14.0,25.5,7.6,1.25,7.65,949.95,205.0
2018-01-17,16.0,35.0,9.1,1.9500000000000002,10.25,947.5999999999999,212.0
2018-01-18,20.5,40.0,7.8,1.4,4.7,947.3,216.0
2018-01-19,17.5,31.5,8.9,1.1,5.3,946.45,229.0
2018-01-20,9.5,22.0,8.1,1.9,7.8,948.6,178.0
2018-01-21,14.5,26.0,11.4,1.1,8.3,950.7,147.0
2018-01-22,16.0,32.5,9.75,0.8500000000000001,5.55,950.2,202.0
2018-01-23,23.5,32.0,10.3,1.25,5.15,949.9,205.0
2018-01-24,24.5,28.5,9.1,1.1,3.9,948.9,209.0
2018-01-25,4.5,18.5,5.8,1.9,9.2,945.35,215.0
2018-01-26,4.0,12.5,5.9,3.9,13.9,947.9,228.0
2018-01-27,5.0,11.5,6.8,3.3,13.3,952.3,173.0
2018-01-28,15.0,24.5,8.4,4.7,15.0,956.7,145.0
2018-01-29,17.5,33.5,9.0,1.1,6.1,956.5,204.0
2018-01-30,20.0,38.5,7.9,1.4,5.6,952.15,205.0
2018-01-31,20.0,36.0,7.6,0.8,4.2,947.55,211.0
2018-02-01,5.0,20.0,6.3,2.8,13.3,938.75,215.0
2018-02-02,7.0,18.5,3.6,2.8,13.3,939.2,230.0
2018-02-03,5.0,15.0,5.2,3.1,11.1,940.8,176.0
2018-02-04,4.5,19.5,3.0,2.2,10.6,933.75,149.0
2018-02-05,7.0,19.5,1.6,2.2,9.4,929.8,187.0
2018-02-06,8.0,23.0,4.0,2.8,9.2,933.65,204.0
2018-02-07,9.5,26.0,2.2,2.8,9.2,939.6,210.0
2018-02-08,18.0,35.5,2.1,1.7,7.5,941.2,216.0
2018-02-09,6.5,19.0,3.1,0.8,7.5,942.95,230.0
2018-02-10,13.0,24.5,5.3,1.9,9.2,943.8,176.0
2018-02-11,6.5,21.0,7.5,3.1,11.7,943.4,149.0
2018-02-12,11.0,24.0,6.6,1.7,9.7,942.3,205.0
2018-02-13,7.5,17.5,4.2,3.6,13.6,942.2,208.0
2018-02-14,15.0,24.0,8.2,3.1,11.4,943.75,218.0
2018-02-15,20.5,23.5,8.4,1.4,7.2,947.35,210.0
2018-02-16,21.0,19.0,11.0,1.7,5.0,946.9,213.0
2018-02-17,7.5,13.0,10.0,1.7,10.8,945.6,167.0
2018-02-18,6.5,19.0,7.6,1.7,8.3,945.35,144.0
2018-02-19,8.0,20.5,10.8,1.9,10.0,941.75,216.0
2018-02-20,7.0,18.0,10.1,3.3,12.8,940.05,206.0
2018-02-21,12.0,24.0,7.0,3.6,12.5,936.5,210.0
2018-02-22,14.0,26.5,4.5,2.2,7.5,932.5,215.0
2018-02-23,19.0,30.5,4.0,1.4,8.3,929.85,231.0
2018-02-24,23.0,31.0,4.8,1.4,5.8,930.6,178.0
2018-02-25,24.5,41.0,6.7,1.4,5.8,934.25,149.0
2018-02-26,19.0,30.5,8.8,1.1,8.9,933.5,204.0
2018-02-27,13.0,30.5,3.6,1.7,8.9,926.55,208.0
2018-02-28,6.0,19.0,7.8,1.9,14.2,923.05,215.0
2018-03-01,7.0,24.5,8.4,4.2,25.8,919.2,220.0
2018-03-02,6.0,15.5,6.0,1.9,14.7,921.1,236.0
2018-03-03,5.5,14.0,9.2,3.6,15.8,923.3,181.0
2018-03-04,5.5,16.5,9.3,2.5,11.1,921.2,150.0
2018-03-05,5.5,17.5,7.0,3.6,11.4,921.4,209.0
2018-03-06,6.0,16.0,7.4,3.1,12.5,926.2,208.0
2018-03-07,10.0,24.0,6.8,2.2,8.9,932.6,214.0
2018-03-08,12.0,26.0,7.7,1.1,5.8,933.9,216.0
2018-03-09,7.0,21.0,10.2,3.1,11.1,934.2,235.0
2018-03-10,6.5,10.5,9.7,2.8,12.8,928.3,157.0
2018-03-11,6.5,12.0,8.4,6.4,17.5,929.4,151.0
2018-03-12,9.5,19.5,9.8,4.2,13.3,937.9,219.0
2018-03-13,9.5,22.0,10.3,2.2,10.0,937.3,199.0
2018-03-14,6.0,16.5,9.2,3.1,16.7,936.1,214.0
2018-03-15,6.0,14.5,9.1,5.3,15.8,926.7,222.0
2018-03-16,5.5,12.5,8.2,3.3,11.9,928.0,236.0
2018-03-17,5.0,11.0,6.2,2.8,11.7,927.3,177.0
2018-03-18,6.0,15.5,8.4,3.9,11.4,931.5,153.0
2018-03-19,5.5,14.0,6.5,3.9,20.0,931.5,217.0
2018-03-20,7.5,15.0,6.1,5.3,15.6,941.6,211.0
2018-03-21,10.0,23.0,7.1,4.2,12.8,945.1,215.0
2018-03-22,15.0,26.5,6.0,2.2,6.4,944.8,223.0
