fecha,pm10,no2,intensidad,PCA1,PCA2,PCA3,PCA4
2018-01-01,8.0,15.0,128.0,4.941633324209007,-17.4433699186165,-10.004505888295345,1.4324100808127453
2018-01-02,8.5,18.0,177.0,7.125600492445796,-18.54961685997494,-5.899523322521892,2.038962939858754
2018-01-03,8.0,16.0,189.0,1.132189305160531,-18.528548876874883,-7.496771016604451,3.314383959813359
2018-01-04,5.0,16.5,198.0,4.3364068672161125,-11.549846295464485,-5.651235838909194,1.478164753778024
2018-01-05,3.0,14.5,201.0,6.058428828370911,10.994851338623477,-9.349725862091042,9.838572887808708
2018-01-06,3.0,14.0,142.0,-7.8154121415348285,30.47433904547656,-15.70212906088603,11.829523890361722
2018-01-07,9.5,24.0,130.0,-0.6978173087453564,23.404412765731205,-13.9480948004066,-2.959794449262685
2018-01-08,16.0,30.0,204.0,9.66691587691226,6.6661071962870695,-8.8407657852519,-5.449409453919121
2018-01-09,10.0,24.5,207.0,4.413588010455828,1.4197657302487974,-15.711039732436136,0.5996966949141012
2018-01-10,5.5,19.0,210.0,6.4136233602193915,-1.1496876794722282,-11.774518637646649,0.3241948293057037
2018-01-11,13.0,30.0,216.0,9.935282938930612,-6.922866751067904,-8.094524109517087,-2.354319038323632
2018-01-12,16.5,31.0,230.0,8.752866838040525,-9.868759718124087,-11.291820310065216,-1.2211688244905277
2018-01-13,7.0,15.0,177.0,8.595738760796714,-1.3315383949817063,-13.72584490787471,4.536258440500215
2018-01-14,12.5,25.0,143.0,4.834710054466558,-3.5099393109497203,-11.14076877821622,-1.7389727213805977
2018-01-15,16.0,28.0,203.0,3.6019692685394102,-10.416350114687472,-11.93709082692497,-1.5910281987514123
2018-01-16,14.0,25.5,205.0,4.267509912053781,-14.022830613798435,-8.023951022130584,-0.4306238015881847
2018-01-17,16.0,35.0,212.0,7.511849263051597,-11.377347646977627,-5.5864666882527345,-0.7339743057341428
2018-01-18,20.5,40.0,216.0,-9.510540862231831,-6.930284079941487,-9.821249444912509,-1.7612346557462835
2018-01-19,17.5,31.5,229.0,-7.469389839863667,-5.885381146584454,-8.465640564339244,-1.4747359376060343
2018-01-20,9.5,22.0,178.0,12.662165009742857,-13.236976937822298,-8.295794775391663,2.436726309992601
2018-01-21,14.5,26.0,147.0,11.08606691089871,-17.174043585794013,-3.356083068820274,1.080545293050352
2018-01-22,16.0,32.5,202.0,30.263689726143404,-20.649872054561396,-1.8438283396593433,1.384612840148
2018-01-23,23.5,32.0,205.0,-18.144355873702462,-10.908862761358828,-9.584213880788798,0.039567140605460474
2018-01-24,24.5,28.5,209.0,3.2177803990887064,-12.999489020333908,-6.9851108956697985,0.00766455885185336
2018-01-25,4.5,18.5,215.0,17.71866077732323,-4.492031366901695,-9.75063731614782,3.453555516438341
2018-01-26,4.0,12.5,228.0,0.4313695536185067,-4.152172421152621,-9.525685606513354,-2.876336771550874
2018-01-27,5.0,11.5,173.0,-15.878040017590248,-10.372925146568406,-12.501684015444516,-0.8757351063108831
2018-01-28,15.0,24.5,145.0,-16.029920136493185,-15.462761017491887,-11.49856404843496,0.5199529809727368
2018-01-29,17.5,33.5,204.0,-15.665952972820556,-17.84337780359516,-10.980509152535154,0.9537041476764155
2018-01-30,20.0,38.5,205.0,-15.390521939752599,-11.78948565316136,-11.420252873278836,-0.5524018911996117
2018-01-31,20.0,36.0,211.0,7.368668349364216,-8.173288024929139,-7.194338965982262,-1.5167972591541883
2018-02-01,5.0,20.0,215.0,15.447817372509625,6.14773988853326,-6.894458542479307,-2.959859854762562
2018-02-02,7.0,18.5,230.0,80.07778911852849,-8.756831946438371,3.0175527878017774,-3.339657358866499
2018-02-03,5.0,15.0,176.0,10.689621362145767,1.8009066339433448,-8.838662829697025,-1.1766781732904132
2018-02-04,4.5,19.5,149.0,-9.98744287724936,17.92872272680128,-17.121546565851467,11.002328865351439
2018-02-05,7.0,19.5,187.0,-9.180298187484606,21.11810099233745,-17.466029993716003,6.88258145509404
2018-02-06,8.0,23.0,204.0,-14.108989111519008,13.542270250147572,-12.763607602886132,-6.2078032089449176
2018-02-07,9.5,26.0,210.0,-10.30851906095528,5.673460668903015,-13.877439372635484,-5.953584864009624
2018-02-08,18.0,35.5,216.0,-12.212708735288924,0.6726644674796474,-15.017327061473859,-4.549460226215879
2018-02-09,6.5,19.0,230.0,-10.566817170160906,-0.9886395510567013,-14.72113150664253,-2.9852164316601564
2018-02-10,13.0,24.5,176.0,-13.3145823836083,-2.2769456359334286,-11.957628386834513,-3.74462947573574
2018-02-11,6.5,21.0,149.0,9.015549779199311,-4.631148286610186,-6.185478374724323,-2.483579108723582
2018-02-12,11.0,24.0,205.0,12.301163330726519,-4.282476837203475,-7.120686445534021,-1.9560414948630274
2018-02-13,7.5,17.5,208.0,6.258365412122286,-1.533360323149859,-10.575405288549907,-2.6889588199376258
2018-02-14,15.0,24.0,218.0,6.483105320348217,-3.39415893794342,-8.624158141939319,0.7657944661456952
2018-02-15,20.5,23.5,210.0,5.417451433340186,-9.204244154107071,-9.682936931407225,2.5811041251750053
2018-02-16,21.0,19.0,213.0,3.6934945242833095,-9.312811090690401,-5.491829743513732,0.6497920300326675
