fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,season,season_name,year,month,week,month-year
2020-01-01,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.2,0.0,4.9,05:52,4.9,13:51,99.0,2.5,7.2,Varias,4.9,1033.0,Varias,1030.4,14,1,Winter,2020,1,1,1-2020
2020-01-02,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.4,0.0,4.1,Varias,4.1,13:03,36.0,4.7,9.7,07:19,1.5,1032.8,Varias,1029.8,14,1,Winter,2020,1,1,1-2020
2020-01-03,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,7.8,0.0,4.5,07:30,4.5,13:42,36.0,5.8,10.3,08:36,1.6,1031.8,Varias,1028.9,04,1,Winter,2020,1,1,1-2020
2020-01-04,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.4,0.0,3.9,06:38,3.9,14:34,99.0,5.0,10.8,Varias,5.3,1032.6,Varias,1028.9,24,1,Winter,2020,1,1,1-2020
2020-01-05,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.0,0.0,4.9,07:22,4.9,14:00,1.0,5.0,12.5,01:08,5.5,1029.3,Varias,1026.1,13,1,Winter,2020,1,1,1-2020
2020-01-06,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.0,0.0,4.1,07:14,4.1,13:32,99.0,2.2,8.9,Varias,5.4,1030.4,Varias,1027.1,14,1,Winter,2020,1,2,1-2020
2020-01-07,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.0,0.0,4.6,07:30,4.6,14:14,99.0,3.9,9.7,Varias,5.4,1030.7,Varias,1027.3,24,1,Winter,2020,1,2,1-2020
2020-01-08,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.7,0.0,4.7,07:34,4.7,13:22,1.0,2.5,8.3,02:00,5.3,1031.5,Varias,1027.2,00,1,Winter,2020,1,2,1-2020
2020-01-09,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.2,4.9,5.7,07:52,5.7,12:11,99.0,4.7,8.3,Varias,5.5,1029.9,00,1023.3,24,1,Winter,2020,1,2,1-2020
2020-01-10,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.6,16.2,6.8,22:25,6.8,15:10,36.0,3.3,14.4,11:30,0.0,1028.6,Varias,1023.0,04,1,Winter,2020,1,2,1-2020
2020-01-11,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.2,0.0,4.2,23:48,4.2,14:36,99.0,4.4,9.7,Varias,5.7,1031.2,11,1028.2,01,1,Winter,2020,1,2,1-2020
2020-01-12,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.6,0.0,2.4,07:09,2.4,14:23,99.0,3.3,9.2,Varias,5.8,1030.9,Varias,1027.5,24,1,Winter,2020,1,2,1-2020
2020-01-13,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,7.9,0.0,2.9,05:56,2.9,13:38,25.0,4.2,9.2,Varias,5.0,1027.5,00,1021.3,24,1,Winter,2020,1,3,1-2020
2020-01-14,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.6,0.0,2.7,06:41,2.7,12:43,99.0,4.2,9.7,Varias,5.9,1022.7,Varias,1020.1,14,1,Winter,2020,1,3,1-2020
2020-01-15,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.8,0.0,3.2,07:15,3.2,13:48,99.0,5.0,9.2,Varias,5.1,1027.1,Varias,1022.0,04,1,Winter,2020,1,3,1-2020
2020-01-16,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.8,0.0,4.8,07:08,4.8,13:59,1.0,4.2,8.3,07:15,5.8,1028.6,Varias,1025.6,15,1,Winter,2020,1,3,1-2020
2020-01-17,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,13.0,0.0,6.9,07:19,6.9,13:56,30.0,3.6,12.8,14:49,5.7,1029.7,Varias,1023.5,13,1,Winter,2020,1,3,1-2020
2020-01-18,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.0,0.2,7.2,04:04,7.2,12:15,99.0,5.6,9.7,Varias,3.8,1030.1,Varias,1019.4,24,1,Winter,2020,1,3,1-2020
2020-01-19,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.9,0.0,9.3,06:54,9.3,14:38,99.0,12.5,22.8,Varias,0.0,1023.3,24,1017.9,04,1,Winter,2020,1,3,1-2020
2020-01-20,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.4,54.1,7.3,23:23,7.3,03:04,7.0,16.7,24.7,14:03,0.5,1026.4,Varias,1022.1,04,1,Winter,2020,1,4,1-2020
2020-01-21,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.2,87.9,7.6,00:30,7.6,12:20,18.0,18.9,29.2,20:10,0.0,1025.3,00,1020.4,21,1,Winter,2020,1,4,1-2020
2020-01-22,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.4,10.4,10.0,00:41,10.0,12:55,8.0,8.1,16.9,23:16,0.0,1022.2,00,1018.2,16,1,Winter,2020,1,4,1-2020
2020-01-23,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.6,0.1,8.5,23:34,8.5,13:34,9.0,2.8,16.1,02:02,4.0,1023.2,Varias,1016.4,04,1,Winter,2020,1,4,1-2020
2020-01-24,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.8,0.0,6.2,05:43,6.2,12:59,24.0,4.2,9.2,14:00,5.4,1023.1,00,1019.6,14,1,Winter,2020,1,4,1-2020
2020-01-25,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.0,0.0,7.8,06:16,7.8,12:49,3.0,3.3,7.2,00:40,0.9,1021.5,Varias,1017.7,24,1,Winter,2020,1,4,1-2020
2020-01-26,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.8,0.0,8.2,07:22,8.2,13:24,8.0,3.3,10.8,16:46,6.0,1023.0,Varias,1017.0,05,1,Winter,2020,1,4,1-2020
2020-01-27,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.8,0.0,6.1,06:39,6.1,11:10,25.0,3.6,12.5,12:00,4.4,1022.7,00,1017.4,16,1,Winter,2020,1,5,1-2020
2020-01-28,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,13.9,0.0,10.1,23:56,10.1,11:35,29.0,7.2,12.8,01:02,0.2,1019.0,Varias,1015.8,14,1,Winter,2020,1,5,1-2020
2020-01-29,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.3,0.0,8.2,07:12,8.2,13:23,1.0,2.5,6.1,09:15,3.0,1022.1,Varias,1018.6,00,1,Winter,2020,1,5,1-2020
2020-01-30,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,13.8,0.0,8.7,02:59,8.7,15:09,1.0,3.1,7.5,08:00,3.5,1021.1,00,1017.9,15,1,Winter,2020,1,5,1-2020
2020-01-31,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,14.8,0.0,10.5,02:16,10.5,12:16,99.0,3.6,7.8,Varias,6.7,1021.7,Varias,1019.2,04,1,Winter,2020,1,5,1-2020
2020-02-01,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,15.2,0.0,8.9,05:10,8.9,13:25,21.0,2.2,5.8,14:13,4.8,1024.9,Varias,1018.0,05,1,Winter,2020,2,5,2-2020
2020-02-02,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,15.4,0.0,10.0,06:31,10.0,14:20,99.0,2.5,8.9,Varias,6.8,1026.6,Varias,1024.0,04,1,Winter,2020,2,5,2-2020
2020-02-03,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,16.6,0.0,11.7,06:16,11.7,11:54,99.0,3.9,9.2,Varias,6.8,1027.4,Varias,1023.4,24,1,Winter,2020,2,6,2-2020
2020-02-04,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,15.8,0.0,10.3,22:58,10.3,11:46,35.0,3.9,10.3,07:38,5.9,1027.6,Varias,1019.4,14,1,Winter,2020,2,6,2-2020
2020-02-05,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.9,0.0,7.0,06:56,7.0,12:43,1.0,4.2,8.3,09:37,7.7,1030.2,Varias,1025.9,17,1,Winter,2020,2,6,2-2020
2020-02-06,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.8,0.0,4.8,06:15,4.8,Varias,24.0,5.0,9.2,13:24,7.6,1028.3,Varias,1025.3,16,1,Winter,2020,2,6,2-2020
2020-02-07,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.6,0.0,6.5,06:29,6.5,Varias,2.0,3.3,6.7,00:35,1.0,1026.5,00,1023.1,15,1,Winter,2020,2,6,2-2020
2020-02-08,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.4,0.0,6.7,05:43,6.7,10:30,1.0,3.3,6.1,06:52,1.6,1027.4,Varias,1023.4,03,1,Winter,2020,2,6,2-2020
2020-02-09,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.2,0.0,7.2,06:35,7.2,13:28,99.0,5.8,11.7,Varias,7.0,1030.0,Varias,1026.8,00,1,Winter,2020,2,6,2-2020
2020-02-10,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,16.4,0.0,11.2,07:40,11.2,12:50,26.0,5.8,11.4,00:00,7.7,1027.8,00,1023.7,16,1,Winter,2020,2,7,2-2020
2020-02-11,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,14.0,0.0,10.7,03:05,10.7,11:42,10.0,4.2,7.8,12:41,3.3,1024.3,Varias,1022.1,05,1,Winter,2020,2,7,2-2020
2020-02-12,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.4,0.0,11.4,Varias,11.4,06:59,10.0,3.6,10.3,08:04,0.0,1026.3,Varias,1022.7,03,1,Winter,2020,2,7,2-2020
2020-02-13,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.9,0.0,9.5,05:48,9.5,13:11,99.0,6.1,13.3,Varias,6.5,1023.1,00,1018.3,14,1,Winter,2020,2,7,2-2020
2020-02-14,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.7,0.0,9.2,05:55,9.2,12:03,99.0,3.1,6.7,Varias,2.1,1026.0,Varias,1021.7,03,1,Winter,2020,2,7,2-2020
2020-02-15,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.8,0.0,9.9,07:00,9.9,Varias,99.0,5.6,9.7,Varias,7.4,1026.8,Varias,1024.3,05,1,Winter,2020,2,7,2-2020
2020-02-16,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,14.5,0.0,13.2,00:00,13.2,13:55,99.0,6.4,10.8,Varias,0.0,1027.0,01,1024.0,16,1,Winter,2020,2,7,2-2020
2020-02-17,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,14.6,1.1,13.3,04:57,13.3,Varias,24.0,4.4,11.4,Varias,5.6,1029.4,Varias,1022.4,15,1,Winter,2020,2,8,2-2020
2020-02-18,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.5,0.0,7.9,23:41,7.9,11:45,23.0,2.8,8.9,02:40,8.7,1032.3,Varias,1029.3,03,1,Winter,2020,2,8,2-2020
2020-02-19,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.8,0.0,6.8,Varias,6.8,12:52,36.0,3.6,9.7,08:10,9.4,1032.4,Varias,1027.7,24,1,Winter,2020,2,8,2-2020
2020-02-20,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.4,0.0,5.2,06:41,5.2,13:04,24.0,6.9,12.5,12:24,9.5,1027.7,00,1023.4,15,1,Winter,2020,2,8,2-2020
2020-02-21,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.9,0.0,6.8,06:28,6.8,13:40,25.0,5.3,10.8,Varias,9.5,1030.4,Varias,1027.2,00,1,Winter,2020,2,8,2-2020
2020-02-22,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,12.0,0.0,7.5,06:37,7.5,13:09,99.0,3.9,8.3,Varias,8.9,1034.0,Varias,1028.7,02,1,Winter,2020,2,8,2-2020
