fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,season,season_name,year,month,week,month-year
2018-01-01,0200E,"BARCELONA, FABRA",BARCELONA,408.0,9.7,0.0,6.2,Varias,6.2,Varias,27.0,5.0,18.9,18:25,7.8,976.8,10,968.9,Varias,1,Winter,2018,1,1,1-2018
2018-01-02,0200E,"BARCELONA, FABRA",BARCELONA,408.0,12.0,0.0,7.9,06:45,7.9,14:53,31.0,1.9,17.5,23:04,7.5,975.5,10,972.3,04,1,Winter,2018,1,1,1-2018
2018-01-03,0200E,"BARCELONA, FABRA",BARCELONA,408.0,15.3,0.0,11.4,Varias,11.4,14:23,25.0,5.8,18.3,11:34,4.9,974.2,10,970.8,24,1,Winter,2018,1,1,1-2018
2018-01-04,0200E,"BARCELONA, FABRA",BARCELONA,408.0,16.0,0.0,12.3,23:59,12.3,13:55,34.0,3.9,17.2,04:09,8.0,970.8,00,966.8,24,1,Winter,2018,1,1,1-2018
2018-01-05,0200E,"BARCELONA, FABRA",BARCELONA,408.0,13.8,0.0,10.4,06:01,10.4,13:43,26.0,3.9,14.2,11:49,9.1,966.8,00,957.0,24,1,Winter,2018,1,1,1-2018
2018-01-06,0200E,"BARCELONA, FABRA",BARCELONA,408.0,11.8,1.5,9.8,05:12,9.8,12:35,8.0,5.8,19.2,17:58,1.2,957.0,00,950.8,17,1,Winter,2018,1,1,1-2018
2018-01-07,0200E,"BARCELONA, FABRA",BARCELONA,408.0,9.0,6.4,6.2,19:10,6.2,00:00,18.0,4.4,13.6,09:12,0.0,959.1,24,951.5,00,1,Winter,2018,1,1,1-2018
2018-01-08,0200E,"BARCELONA, FABRA",BARCELONA,408.0,7.8,0.0,4.1,23:59,4.1,14:20,30.0,4.7,11.4,19:59,6.1,963.2,24,959.1,00,1,Winter,2018,1,2,1-2018
2018-01-09,0200E,"BARCELONA, FABRA",BARCELONA,408.0,7.2,0.0,2.8,06:19,2.8,14:20,33.0,4.7,14.2,04:37,7.3,967.9,10,963.2,Varias,1,Winter,2018,1,2,1-2018
2018-01-10,0200E,"BARCELONA, FABRA",BARCELONA,408.0,8.6,0.0,4.6,06:30,4.6,14:30,25.0,2.5,11.7,04:47,7.8,967.2,00,963.4,24,1,Winter,2018,1,2,1-2018
2018-01-11,0200E,"BARCELONA, FABRA",BARCELONA,408.0,8.0,0.0,4.9,07:56,4.9,15:52,32.0,5.0,14.2,22:41,8.5,968.7,24,963.2,Varias,1,Winter,2018,1,2,1-2018
2018-01-12,0200E,"BARCELONA, FABRA",BARCELONA,408.0,7.2,0.0,2.9,05:47,2.9,15:01,32.0,5.6,15.3,05:41,9.2,973.5,22,968.6,02,1,Winter,2018,1,2,1-2018
2018-01-13,0200E,"BARCELONA, FABRA",BARCELONA,408.0,8.5,6.9,5.8,06:07,5.8,12:33,22.0,4.4,15.3,23:13,3.5,973.4,00,966.0,24,1,Winter,2018,1,2,1-2018
2018-01-14,0200E,"BARCELONA, FABRA",BARCELONA,408.0,7.0,0.0,4.3,08:08,4.3,13:08,32.0,6.4,11.4,07:44,9.0,970.6,24,964.2,05,1,Winter,2018,1,2,1-2018
2018-01-15,0200E,"BARCELONA, FABRA",BARCELONA,408.0,6.7,0.0,3.8,05:28,3.8,13:57,26.0,4.2,11.4,20:35,7.9,974.6,Varias,970.6,00,1,Winter,2018,1,3,1-2018
2018-01-16,0200E,"BARCELONA, FABRA",BARCELONA,408.0,10.1,0.0,5.8,01:54,5.8,15:40,34.0,1.7,17.8,22:39,9.3,972.9,00,966.0,22,1,Winter,2018,1,3,1-2018
