fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,season,season_name,year,month,week
2018-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.2,0.0,1.5,07:50,1.5,14:10,26.0,5.3,11.9,22:20,5.9,952.2,Varias,949.3,Varias,1,Winter,2018,1,1
2018-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,9.4,0.0,5.5,01:20,5.5,13:00,29.0,4.2,11.9,02:00,7.0,952.2,11,949.6,05,1,Winter,2018,1,1
2018-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,10.9,0.0,7.2,Varias,7.2,14:30,26.0,5.3,10.3,07:00,4.6,952.9,11,949.8,24,1,Winter,2018,1,1
2018-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,11.3,0.0,8.3,05:45,8.3,13:15,25.0,4.7,10.3,15:10,5.8,949.8,00,941.0,24,1,Winter,2018,1,1
2018-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.2,13.6,5.1,23:59,5.1,Varias,22.0,5.3,12.5,03:40,1.6,941.0,00,923.9,24,1,Winter,2018,1,1
2018-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.2,21.1,1.4,23:15,1.4,00:00,35.0,0.6,7.2,06:50,0.0,923.9,00,917.2,14,1,Winter,2018,1,1
2018-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,2.2,3.3,0.9,04:30,0.9,14:30,11.0,3.3,8.9,14:30,0.0,927.3,23,917.4,04,1,Winter,2018,1,1
2018-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,4.0,0.0,-0.5,06:00,-0.5,14:30,26.0,0.8,5.3,Varias,8.5,935.4,23,927.2,00,1,Winter,2018,1,2
2018-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,1.5,1.7,-1.5,06:20,-1.5,14:30,21.0,1.1,5.3,Varias,0.0,938.8,10,934.6,01,1,Winter,2018,1,2
2018-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,5.0,0.6,2.0,Varias,2.0,15:30,24.0,4.2,12.5,14:30,0.3,941.3,24,936.7,03,1,Winter,2018,1,2
