fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presmax,horapresmax,presmin,horapresmin,season,season_name,year,month,week,month-year
2020-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.2,0.0,0.8,07:30,0.8,14:20,36.0,1.4,3.1,06:00,8.7,952.2,10,949.5,14,1,Winter,2020,1,1,1-2020
2020-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.2,0.0,0.5,06:40,0.5,15:20,99.0,0.6,3.1,Varias,8.3,951.2,11,948.9,Varias,1,Winter,2020,1,1,1-2020
2020-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.5,0.0,0.3,23:30,0.3,16:00,11.0,0.6,3.1,10:10,1.4,953.0,22,950.0,01,1,Winter,2020,1,1,1-2020
2020-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.2,0.0,0.4,Varias,0.4,Varias,5.0,2.2,10.3,13:20,8.9,953.5,10,950.5,15,1,Winter,2020,1,1,1-2020
2020-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.8,0.0,0.0,07:40,0.0,15:20,1.0,0.8,3.6,03:00,8.6,950.9,00,946.7,15,1,Winter,2020,1,1,1-2020
2020-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.2,0.0,0.5,05:45,0.5,15:10,28.0,1.4,4.2,19:40,9.0,950.2,23,946.9,02,1,Winter,2020,1,2,1-2020
2020-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.9,0.0,1.0,Varias,1.0,15:30,35.0,0.8,3.6,04:10,8.9,951.4,10,949.0,16,1,Winter,2020,1,2,1-2020
2020-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.2,0.0,1.0,Varias,1.0,16:10,14.0,0.8,3.6,11:30,8.8,949.6,10,947.2,14,1,Winter,2020,1,2,1-2020
2020-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.1,0.0,3.2,05:40,3.2,14:40,26.0,1.4,8.9,22:30,8.6,948.2,00,944.3,Varias,1,Winter,2020,1,2,1-2020
2020-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.0,0.0,2.4,07:20,2.4,14:40,30.0,3.3,11.4,01:40,8.9,950.0,23,944.3,02,1,Winter,2020,1,2,1-2020
2020-01-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.5,0.0,0.4,07:30,0.4,14:45,6.0,1.7,5.3,11:00,9.2,951.8,11,948.9,16,1,Winter,2020,1,2,1-2020
2020-01-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,4.6,0.0,-2.0,07:50,-2.0,14:45,99.0,0.8,3.6,Varias,9.1,951.0,11,947.9,Varias,1,Winter,2020,1,2,1-2020
2020-01-13,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.9,0.0,-1.5,05:50,-1.5,Varias,21.0,1.7,6.1,14:30,5.7,948.3,00,943.2,24,1,Winter,2020,1,3,1-2020
2020-01-14,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.7,0.0,-1.8,07:30,-1.8,Varias,20.0,1.7,6.1,14:40,7.4,943.6,10,941.3,15,1,Winter,2020,1,3,1-2020
2020-01-15,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,5.0,0.0,2.0,Varias,2.0,Varias,99.0,0.6,4.2,Varias,0.0,947.6,23,941.8,05,1,Winter,2020,1,3,1-2020
2020-01-16,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,10.3,0.0,7.0,Varias,7.0,15:10,25.0,0.8,6.7,23:20,2.5,947.6,11,944.7,16,1,Winter,2020,1,3,1-2020
2020-01-17,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.7,0.6,2.9,06:30,2.9,Varias,24.0,3.1,10.3,10:30,6.7,951.2,20,946.3,01,1,Winter,2020,1,3,1-2020
2020-01-18,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.6,0.8,4.8,Varias,4.8,Varias,32.0,2.8,11.9,23:40,0.0,950.3,00,939.2,23,1,Winter,2020,1,3,1-2020
2020-01-19,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.2,0.0,3.2,23:59,3.2,14:15,3.0,5.0,19.7,16:00,4.5,944.2,24,938.9,06,1,Winter,2020,1,3,1-2020
2020-01-20,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,4.8,0.0,2.9,Varias,2.9,15:10,5.0,7.5,18.6,12:40,0.0,944.0,00,940.8,14,1,Winter,2020,1,4,1-2020
2020-01-21,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.2,1.6,4.0,02:30,4.0,13:30,3.0,6.9,20.0,02:10,0.0,942.3,00,935.7,14,1,Winter,2020,1,4,1-2020
2020-01-22,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.8,0.8,4.6,03:30,4.6,14:10,4.0,3.1,10.8,00:10,2.5,939.7,10,936.4,16,1,Winter,2020,1,4,1-2020
2020-01-23,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.5,2.2,2.6,04:45,2.6,14:40,10.0,2.5,6.1,13:40,6.5,939.8,Varias,937.5,06,1,Winter,2020,1,4,1-2020
2020-01-24,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.4,5.0,5.8,09:00,5.8,14:20,11.0,1.9,6.7,09:10,0.0,941.2,11,938.6,24,1,Winter,2020,1,4,1-2020
