fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,month,week,year,season,season_name
2020-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.2,0.0,0.8,0.8,36.0,1.4,3.1,8.7,952.2,949.5,1,1,2020,1,Winter
2020-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.2,0.0,0.5,0.5,99.0,0.6,3.1,8.3,951.2,948.9,1,1,2020,1,Winter
2020-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.5,0.0,0.3,0.3,11.0,0.6,3.1,1.4,953.0,950.0,1,1,2020,1,Winter
2020-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.2,0.0,0.4,0.4,5.0,2.2,10.3,8.9,953.5,950.5,1,1,2020,1,Winter
2020-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.8,0.0,0.0,0.0,1.0,0.8,3.6,8.6,950.9,946.7,1,1,2020,1,Winter
2020-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.2,0.0,0.5,0.5,28.0,1.4,4.2,9.0,950.2,946.9,1,2,2020,1,Winter
2020-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.9,0.0,1.0,1.0,35.0,0.8,3.6,8.9,951.4,949.0,1,2,2020,1,Winter
2020-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.2,0.0,1.0,1.0,14.0,0.8,3.6,8.8,949.6,947.2,1,2,2020,1,Winter
2020-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.1,0.0,3.2,3.2,26.0,1.4,8.9,8.6,948.2,944.3,1,2,2020,1,Winter
2020-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,7.0,0.0,2.4,2.4,30.0,3.3,11.4,8.9,950.0,944.3,1,2,2020,1,Winter
2020-01-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.5,0.0,0.4,0.4,6.0,1.7,5.3,9.2,951.8,948.9,1,2,2020,1,Winter
2020-01-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,4.6,0.0,-2.0,-2.0,99.0,0.8,3.6,9.1,951.0,947.9,1,2,2020,1,Winter
2020-01-13,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.9,0.0,-1.5,-1.5,21.0,1.7,6.1,5.7,948.3,943.2,1,3,2020,1,Winter
2020-01-14,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.7,0.0,-1.8,-1.8,20.0,1.7,6.1,7.4,943.6,941.3,1,3,2020,1,Winter
2020-01-15,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,5.0,0.0,2.0,2.0,99.0,0.6,4.2,0.0,947.6,941.8,1,3,2020,1,Winter
