date,pm10,no2,year,month,day,month-day,ndia
2018-01-01,10.0,24.0,2018,1,1,1900-01-01,1
2018-01-02,11.0,10.0,2018,1,2,1900-01-02,2
2018-01-03,10.0,7.0,2018,1,3,1900-01-03,3
2018-01-04,11.0,14.0,2018,1,4,1900-01-04,4
2018-01-05,10.0,20.0,2018,1,5,1900-01-05,5
2018-01-06,15.0,10.0,2018,1,6,1900-01-06,6
2018-01-07,22.0,23.0,2018,1,7,1900-01-07,7
2018-01-08,15.0,16.0,2018,1,8,1900-01-08,8
2018-01-09,13.0,14.0,2018,1,9,1900-01-09,9
2018-01-10,10.0,15.0,2018,1,10,1900-01-10,10
2018-01-11,23.712691771269178,23.0,2018,1,11,1900-01-11,11
2018-01-12,11.0,28.0,2018,1,12,1900-01-12,12
2018-01-13,19.0,13.0,2018,1,13,1900-01-13,13
2018-01-14,15.0,18.0,2018,1,14,1900-01-14,14
2018-01-15,9.0,18.0,2018,1,15,1900-01-15,15
2018-01-16,10.0,4.0,2018,1,16,1900-01-16,16
2018-01-17,12.0,28.0,2018,1,17,1900-01-17,17
2018-01-18,13.0,27.0,2018,1,18,1900-01-18,18
2018-01-19,19.0,12.0,2018,1,19,1900-01-19,19
2018-01-20,24.0,8.0,2018,1,20,1900-01-20,20
2018-01-21,8.0,14.0,2018,1,21,1900-01-21,21
2018-01-22,10.0,21.0,2018,1,22,1900-01-22,22
2018-01-23,17.0,25.0,2018,1,23,1900-01-23,23
2018-01-24,21.0,28.0,2018,1,24,1900-01-24,24
2018-01-25,20.0,10.0,2018,1,25,1900-01-25,25
2018-01-26,16.0,17.641379310344828,2018,1,26,1900-01-26,26
2018-01-27,23.712691771269178,17.641379310344828,2018,1,27,1900-01-27,27
2018-01-28,23.712691771269178,35.0,2018,1,28,1900-01-28,28
2018-01-29,19.0,34.0,2018,1,29,1900-01-29,29
2018-01-30,22.0,29.0,2018,1,30,1900-01-30,30
2018-01-31,24.0,27.0,2018,1,31,1900-01-31,31
2018-02-01,19.0,24.0,2018,2,1,1900-02-01,32
2018-02-02,9.0,10.0,2018,2,2,1900-02-02,33
2018-02-03,7.0,12.0,2018,2,3,1900-02-03,34
2018-02-04,8.0,24.0,2018,2,4,1900-02-04,35
2018-02-05,8.0,17.0,2018,2,5,1900-02-05,36
2018-02-06,20.0,11.0,2018,2,6,1900-02-06,37
2018-02-07,15.0,21.0,2018,2,7,1900-02-07,38
2018-02-08,12.0,24.0,2018,2,8,1900-02-08,39
2018-02-09,13.0,18.0,2018,2,9,1900-02-09,40
2018-02-10,4.0,17.0,2018,2,10,1900-02-10,41
2018-02-11,2.0,20.0,2018,2,11,1900-02-11,42
2018-02-12,3.0,20.0,2018,2,12,1900-02-12,43
2018-02-13,8.0,24.0,2018,2,13,1900-02-13,44
2018-02-14,13.0,28.0,2018,2,14,1900-02-14,45
2018-02-15,31.0,31.0,2018,2,15,1900-02-15,46
2018-02-16,36.0,17.0,2018,2,16,1900-02-16,47
2018-02-17,31.0,14.0,2018,2,17,1900-02-17,48
2018-02-18,16.0,23.0,2018,2,18,1900-02-18,49
2018-02-19,17.0,24.0,2018,2,19,1900-02-19,50
2018-02-20,20.0,20.0,2018,2,20,1900-02-20,51
2018-02-21,28.0,19.0,2018,2,21,1900-02-21,52
2018-02-22,22.0,24.0,2018,2,22,1900-02-22,53
2018-02-23,27.0,26.0,2018,2,23,1900-02-23,54
2018-02-24,28.0,28.0,2018,2,24,1900-02-24,55
2018-02-25,30.0,19.0,2018,2,25,1900-02-25,56
2018-02-26,33.0,18.0,2018,2,26,1900-02-26,57
2018-02-27,21.0,22.0,2018,2,27,1900-02-27,58
2018-02-28,14.0,29.0,2018,2,28,1900-02-28,59
2018-03-01,19.0,17.0,2018,3,1,1900-03-01,60
2018-03-02,20.0,23.0,2018,3,2,1900-03-02,61
2018-03-03,11.0,25.0,2018,3,3,1900-03-03,62
2018-03-04,17.0,27.0,2018,3,4,1900-03-04,63
2018-03-05,18.0,15.0,2018,3,5,1900-03-05,64
2018-03-06,12.0,23.0,2018,3,6,1900-03-06,65
2018-03-07,11.0,29.0,2018,3,7,1900-03-07,66
2018-03-08,14.0,30.0,2018,3,8,1900-03-08,67
2018-03-09,25.0,20.0,2018,3,9,1900-03-09,68
2018-03-10,29.0,16.0,2018,3,10,1900-03-10,69
2018-03-11,22.0,12.0,2018,3,11,1900-03-11,70
2018-03-12,12.0,28.0,2018,3,12,1900-03-12,71
2018-03-13,16.0,29.0,2018,3,13,1900-03-13,72
2018-03-14,26.0,21.0,2018,3,14,1900-03-14,73
2018-03-15,24.0,20.0,2018,3,15,1900-03-15,74
2018-03-16,17.0,11.0,2018,3,16,1900-03-16,75
2018-03-17,14.0,12.0,2018,3,17,1900-03-17,76
2018-03-18,7.0,23.0,2018,3,18,1900-03-18,77
2018-03-19,12.0,16.0,2018,3,19,1900-03-19,78
2018-03-20,15.0,17.0,2018,3,20,1900-03-20,79
2018-03-21,13.0,22.0,2018,3,21,1900-03-21,80
2018-03-22,18.0,17.0,2018,3,22,1900-03-22,81
2018-03-23,19.0,22.0,2018,3,23,1900-03-23,82
2018-03-24,18.0,13.0,2018,3,24,1900-03-24,83
2018-03-25,7.0,17.0,2018,3,25,1900-03-25,84
2018-03-26,14.0,19.0,2018,3,26,1900-03-26,85
2018-03-27,13.0,23.0,2018,3,27,1900-03-27,86
2018-03-28,21.0,18.0,2018,3,28,1900-03-28,87
2018-03-29,23.0,11.0,2018,3,29,1900-03-29,88
2018-03-30,16.0,7.0,2018,3,30,1900-03-30,89
2018-03-31,12.0,8.0,2018,3,31,1900-03-31,90
2018-04-01,9.0,17.0,2018,4,1,1900-04-01,91
2018-04-02,12.0,20.0,2018,4,2,1900-04-02,92
2018-04-03,21.0,17.0,2018,4,3,1900-04-03,93
2018-04-04,33.0,20.0,2018,4,4,1900-04-04,94
2018-04-05,29.0,22.0,2018,4,5,1900-04-05,95
2018-04-06,26.0,5.0,2018,4,6,1900-04-06,96
2018-04-07,22.0,8.0,2018,4,7,1900-04-07,97
2018-04-08,24.0,16.0,2018,4,8,1900-04-08,98
2018-04-09,14.0,16.0,2018,4,9,1900-04-09,99
2018-04-10,15.0,10.0,2018,4,10,1900-04-10,100
2018-04-11,24.0,20.0,2018,4,11,1900-04-11,101
2018-04-12,22.0,21.0,2018,4,12,1900-04-12,102
2018-04-13,20.0,15.0,2018,4,13,1900-04-13,103
2018-04-14,22.0,16.0,2018,4,14,1900-04-14,104
2018-04-15,23.712691771269178,24.0,2018,4,15,1900-04-15,105
2018-04-16,27.0,31.0,2018,4,16,1900-04-16,106
2018-04-17,23.0,26.0,2018,4,17,1900-04-17,107
2018-04-18,27.0,18.0,2018,4,18,1900-04-18,108
2018-04-19,30.0,23.0,2018,4,19,1900-04-19,109
2018-04-20,34.0,32.0,2018,4,20,1900-04-20,110
2018-04-21,42.0,31.0,2018,4,21,1900-04-21,111
2018-04-22,52.0,26.0,2018,4,22,1900-04-22,112
2018-04-23,52.0,24.0,2018,4,23,1900-04-23,113
2018-04-24,44.0,23.0,2018,4,24,1900-04-24,114
2018-04-25,45.0,21.0,2018,4,25,1900-04-25,115
2018-04-26,41.0,19.0,2018,4,26,1900-04-26,116
2018-04-27,41.0,14.0,2018,4,27,1900-04-27,117
2018-04-28,35.0,8.0,2018,4,28,1900-04-28,118
2018-04-29,33.0,13.0,2018,4,29,1900-04-29,119
2018-04-30,22.0,13.0,2018,4,30,1900-04-30,120
2018-05-01,13.0,16.0,2018,5,1,1900-05-01,121
2018-05-02,10.0,23.0,2018,5,2,1900-05-02,122
2018-05-03,18.0,24.0,2018,5,3,1900-05-03,123
2018-05-04,13.0,17.0,2018,5,4,1900-05-04,124
2018-05-05,23.712691771269178,20.0,2018,5,5,1900-05-05,125
2018-05-06,23.712691771269178,33.0,2018,5,6,1900-05-06,126
2018-05-07,25.0,38.0,2018,5,7,1900-05-07,127
2018-05-08,38.0,25.0,2018,5,8,1900-05-08,128
2018-05-09,33.0,18.0,2018,5,9,1900-05-09,129
2018-05-10,31.0,19.0,2018,5,10,1900-05-10,130
2018-05-11,29.0,15.0,2018,5,11,1900-05-11,131
2018-05-12,30.0,9.0,2018,5,12,1900-05-12,132
2018-05-13,20.0,12.0,2018,5,13,1900-05-13,133
2018-05-14,10.0,16.0,2018,5,14,1900-05-14,134
2018-05-15,15.0,19.0,2018,5,15,1900-05-15,135
2018-05-16,25.0,23.0,2018,5,16,1900-05-16,136
2018-05-17,33.0,16.0,2018,5,17,1900-05-17,137
2018-05-18,29.0,18.0,2018,5,18,1900-05-18,138
2018-05-19,29.0,10.0,2018,5,19,1900-05-19,139
2018-05-20,22.0,13.0,2018,5,20,1900-05-20,140
2018-05-21,21.0,19.0,2018,5,21,1900-05-21,141
2018-05-22,25.0,22.0,2018,5,22,1900-05-22,142
2018-05-23,39.0,15.0,2018,5,23,1900-05-23,143
2018-05-24,49.0,16.0,2018,5,24,1900-05-24,144
2018-05-25,40.0,4.0,2018,5,25,1900-05-25,145
2018-05-26,35.0,4.0,2018,5,26,1900-05-26,146
2018-05-27,37.0,8.0,2018,5,27,1900-05-27,147
2018-05-28,41.0,15.0,2018,5,28,1900-05-28,148
2018-05-29,40.0,15.0,2018,5,29,1900-05-29,149
2018-05-30,31.0,14.0,2018,5,30,1900-05-30,150
2018-05-31,32.0,13.0,2018,5,31,1900-05-31,151
2018-06-01,33.0,12.0,2018,6,1,1900-06-01,152
2018-06-02,24.0,15.0,2018,6,2,1900-06-02,153
2018-06-03,16.0,22.0,2018,6,3,1900-06-03,154
2018-06-04,13.0,16.0,2018,6,4,1900-06-04,155
2018-06-05,17.0,15.0,2018,6,5,1900-06-05,156
2018-06-06,20.0,16.0,2018,6,6,1900-06-06,157
2018-06-07,11.0,23.0,2018,6,7,1900-06-07,158
2018-06-08,15.0,18.0,2018,6,8,1900-06-08,159
2018-06-09,20.0,13.0,2018,6,9,1900-06-09,160
2018-06-10,18.0,19.0,2018,6,10,1900-06-10,161
2018-06-11,19.0,10.0,2018,6,11,1900-06-11,162
2018-06-12,22.0,12.0,2018,6,12,1900-06-12,163
2018-06-13,25.0,16.0,2018,6,13,1900-06-13,164
2018-06-14,25.0,18.0,2018,6,14,1900-06-14,165
2018-06-15,27.0,15.0,2018,6,15,1900-06-15,166
2018-06-16,24.0,11.0,2018,6,16,1900-06-16,167
2018-06-17,21.0,17.0,2018,6,17,1900-06-17,168
2018-06-18,20.0,20.0,2018,6,18,1900-06-18,169
2018-06-19,30.0,19.0,2018,6,19,1900-06-19,170
2018-06-20,30.0,35.0,2018,6,20,1900-06-20,171
2018-06-21,34.0,26.0,2018,6,21,1900-06-21,172
2018-06-22,41.0,14.0,2018,6,22,1900-06-22,173
2018-06-23,30.0,13.0,2018,6,23,1900-06-23,174
2018-06-24,64.0,12.0,2018,6,24,1900-06-24,175
2018-06-25,25.0,13.0,2018,6,25,1900-06-25,176
2018-06-26,22.0,25.0,2018,6,26,1900-06-26,177
2018-06-27,32.0,20.0,2018,6,27,1900-06-27,178
