date,pm10,no2,year,month,day,month-day,ndia
2020-01-01,17.0,18.0,2020,1,1,1900-01-01,1
2020-01-02,16.0,18.0,2020,1,2,1900-01-02,2
2020-01-03,18.0,15.0,2020,1,3,1900-01-03,3
2020-01-04,18.0,12.0,2020,1,4,1900-01-04,4
2020-01-05,12.0,18.0,2020,1,5,1900-01-05,5
2020-01-06,16.0,25.0,2020,1,6,1900-01-06,6
2020-01-07,25.0,26.0,2020,1,7,1900-01-07,7
2020-01-08,28.0,25.0,2020,1,8,1900-01-08,8
2020-01-09,31.0,27.0,2020,1,9,1900-01-09,9
2020-01-10,21.0,16.0,2020,1,10,1900-01-10,10
2020-01-11,12.0,20.0,2020,1,11,1900-01-11,11
2020-01-12,15.0,29.0,2020,1,12,1900-01-12,12
2020-01-13,20.0,32.0,2020,1,13,1900-01-13,13
2020-01-14,26.0,33.0,2020,1,14,1900-01-14,14
2020-01-15,32.0,29.0,2020,1,15,1900-01-15,15
2020-01-16,33.0,24.0,2020,1,16,1900-01-16,16
2020-01-17,31.0,20.0,2020,1,17,1900-01-17,17
2020-01-18,19.0,8.0,2020,1,18,1900-01-18,18
2020-01-19,16.0,4.0,2020,1,19,1900-01-19,19
2020-01-20,15.0,6.0,2020,1,20,1900-01-20,20
2020-01-21,21.0,8.0,2020,1,21,1900-01-21,21
2020-01-22,40.0,21.0,2020,1,22,1900-01-22,22
2020-01-23,54.0,26.0,2020,1,23,1900-01-23,23
2020-01-24,60.0,18.0,2020,1,24,1900-01-24,24
2020-01-25,68.0,16.0,2020,1,25,1900-01-25,25
2020-01-26,55.0,22.0,2020,1,26,1900-01-26,26
2020-01-27,32.0,20.0,2020,1,27,1900-01-27,27
2020-01-28,24.0,24.0,2020,1,28,1900-01-28,28
2020-01-29,20.0,22.0,2020,1,29,1900-01-29,29
2020-01-30,26.0,27.0,2020,1,30,1900-01-30,30
2020-01-31,27.0,21.0,2020,1,31,1900-01-31,31
2020-02-01,27.0,19.0,2020,2,1,1900-02-01,32
2020-02-02,20.0,25.0,2020,2,2,1900-02-02,33
2020-02-03,20.0,16.0,2020,2,3,1900-02-03,34
2020-02-04,44.0,22.0,2020,2,4,1900-02-04,35
2020-02-05,29.0,24.0,2020,2,5,1900-02-05,36
2020-02-06,27.0,31.0,2020,2,6,1900-02-06,37
2020-02-07,31.0,25.0,2020,2,7,1900-02-07,38
2020-02-08,26.0,17.0,2020,2,8,1900-02-08,39
2020-02-09,28.0,22.0,2020,2,9,1900-02-09,40
2020-02-10,25.0,17.0,2020,2,10,1900-02-10,41
2020-02-11,28.0,8.0,2020,2,11,1900-02-11,42
2020-02-12,21.0,24.0,2020,2,12,1900-02-12,43
2020-02-13,19.0,19.0,2020,2,13,1900-02-13,44
2020-02-14,30.0,17.0,2020,2,14,1900-02-14,45
2020-02-15,32.0,12.0,2020,2,15,1900-02-15,46
2020-02-16,23.0,17.0,2020,2,16,1900-02-16,47
2020-02-17,24.0,15.0,2020,2,17,1900-02-17,48
2020-02-18,21.0,22.0,2020,2,18,1900-02-18,49
2020-02-19,19.0,25.0,2020,2,19,1900-02-19,50
2020-02-20,27.0,27.0,2020,2,20,1900-02-20,51
2020-02-21,32.0,19.0,2020,2,21,1900-02-21,52
2020-02-22,30.0,23.0,2020,2,22,1900-02-22,53
2020-02-23,29.0,32.0,2020,2,23,1900-02-23,54
2020-02-24,33.0,20.0,2020,2,24,1900-02-24,55
2020-02-25,38.0,14.0,2020,2,25,1900-02-25,56
2020-02-26,32.0,10.0,2020,2,26,1900-02-26,57
