date, pm10, o3, no2, so2, co
2021/2/1, 9, 28, 3, , 
2021/2/2, 11, 22, 4, , 
2021/2/3, 9, 25, 10, , 
2021/2/4, 13, 28, 8, , 
2021/2/5, 16, 30, 2, , 
2021/2/6, 44, 25, 1, , 
2021/2/7, 47, 25, 3, , 
2021/2/8, 6, 24, 2, , 
2021/2/9, 7, , , , 
2021/1/4, 7, 23, 3, , 
2021/1/5, 8, 22, 4, , 
2021/1/6, 9, 22, 8, , 
2021/1/7, 10, 26, 5, , 
2021/1/8, 13, 30, 1, , 
2021/1/9, 9, 27, 1, , 
2021/1/10, 5, 21, 2, , 
2021/1/11, 9, 29, 2, , 
2021/1/12, 9, 30, 1, , 
2021/1/13, 7, 26, 2, , 
2021/1/14, 6, 29, 4, , 
2021/1/15, 6, 28, 2, , 
2021/1/16, 8, 31, 1, , 
2021/1/17, 8, 25, 4, , 
2021/1/18, 10, 35, 2, , 
2021/1/19, 11, 33, 3, , 
2021/1/20, 10, 27, 2, , 
2021/1/21, 11, 32, 1, , 
2021/1/22, 7, 29, 1, , 
2021/1/23, 5, 32, , , 
2021/1/24, 6, 28, 2, , 
2021/1/25, 8, 27, 4, , 
2021/1/26, 9, 29, 6, , 
2021/1/27, 10, 17, 7, , 
2021/1/28, 10, 21, 3, , 
2021/1/29, 9, 30, 1, , 
2021/1/30, 8, 31, , , 
2021/1/31, 7, 32, 1, , 
2020/10/1, 13, 38, 1, , 
2020/10/2, 11, 29, , , 
2020/10/3, 7, 31, , , 
2020/10/4, 8, 28, 2, , 
2020/10/5, 8, 28, 1, , 
2020/10/6, 10, 27, 3, , 
2020/10/7, 11, 30, 3, , 
2020/10/8, 15, 28, 5, , 
2020/10/9, 16, 24, 5, , 
2020/10/10, 13, 17, 7, , 
2020/10/11, 10, , , , 
2020/10/14, 6, 30, 2, , 
2020/10/15, 6, 35, 2, , 
2020/10/16, 8, 35, 2, , 
2020/10/17, 12, 40, 2, , 
2020/10/18, 14, 41, 2, , 
2020/10/19, 11, 42, 3, , 
2020/10/20, 11, 40, 4, , 
2020/10/21, 23, 34, 5, , 
2020/10/22, 50, 31, 2, , 
2020/10/23, 34, 35, 1, , 
2020/10/24, 12, 35, 1, , 
2020/10/25, 7, 28, 2, , 
2020/10/26, 8, 24, 2, , 
2020/10/27, 8, 27, 5, , 
2020/10/28, 10, 31, 4, , 
2020/10/29, 12, 37, 6, , 
2020/10/30, 14, 35, 3, , 
2020/10/31, 18, 38, 2, , 
2020/11/1, 19, 34, 4, , 
2020/11/2, 15, 25, 7, , 
2020/11/3, 16, 26, 4, , 
2020/11/4, 8, 28, 3, , 
2020/11/5, 7, 27, 3, , 
2020/11/6, 10, 31, 1, , 
2020/11/7, 12, 35, 1, , 
2020/11/8, 10, 34, 4, , 
2020/11/9, 5, 28, 5, , 
2020/11/10, 10, 33, 1, , 
2020/11/11, 11, 35, 3, , 
2020/11/12, 10, 33, 8, , 
2020/11/13, 11, 33, 2, , 
2020/11/14, 13, 28, 3, , 
2020/11/15, 15, 30, 3, , 
2020/11/16, 12, 30, 5, , 
2020/11/17, 16, 33, 7, , 
2020/11/18, 15, 28, 3, , 
2020/11/19, 14, 22, 3, , 
2020/11/20, 11, 32, 3, , 
2020/11/21, 12, 36, 2, , 
2020/11/22, 12, 35, 3, , 
2020/11/23, 14, 38, 2, , 
2020/11/24, 13, 40, 3, , 
2020/11/25, 11, 32, 4, , 
2020/11/26, 10, 31, 3, , 
2020/11/27, 10, , , , 
2020/12/1, 14, 26, 4, , 
2020/12/2, 8, 28, 2, , 
2020/12/3, 6, 27, 2, , 
2020/12/4, 5, 26, 1, , 
2020/12/5, 6, 24, 1, , 
2020/12/6, 6, 24, 3, , 
2020/12/7, 6, 25, 1, , 
2020/12/9, 6, 21, 4, , 
2020/12/10, 7, 23, 5, , 
2020/12/11, 8, 28, 1, , 
2020/12/12, 6, 28, 2, , 
2020/12/13, 8, 29, 11, , 
2020/12/14, 11, 32, 4, , 
2020/12/15, 14, 31, 4, , 
2020/12/16, 9, 34, 7, , 
2020/12/17, 10, 23, 4, , 
2020/12/18, 11, , , , 
2020/12/22, 8, 24, 4, , 
2020/12/23, 9, 23, 5, , 
2020/12/24, 11, 30, , , 
2020/12/25, 7, 29, , , 
2020/12/26, 5, 27, 2, , 
2020/12/27, 5, 28, 1, , 
2020/12/28, 6, 26, 1, , 
2020/12/29, 7, 26, 2, , 
2020/12/31, 6, 26, 1, , 
2021/1/1, 6, 23, 1, , 
2021/1/2, 6, 26, 2, , 
2021/1/3, 8, 25, 2, , 
2020/7/1, 16, 40, 3, , 
2020/7/2, 17, 31, 3, , 
2020/7/3, 10, 40, 2, , 
2020/7/4, 9, 40, 3, , 
2020/7/5, 13, 45, 7, , 
2020/7/6, 14, 34, 4, , 
2020/7/7, 17, 41, 3, , 
2020/7/8, 17, 37, 6, , 
2020/7/9, 16, 44, 6, , 
2020/7/10, 18, 45, 3, , 
2020/7/11, 17, 41, 1, , 
2020/7/12, 13, 43, 3, , 
2020/7/13, 14, 54, 2, , 
2020/7/14, 14, 50, 1, , 
2020/7/15, 15, 30, 2, , 
2020/7/16, 13, 33, 2, , 
2020/7/17, 12, 39, 1, , 
2020/7/18, 13, 39, , , 
2020/7/19, 13, 33, 2, , 
2020/7/20, 12, 37, 6, , 
2020/7/21, 13, 39, 5, , 
2020/7/22, 13, 50, 4, , 
2020/7/23, 14, 48, 4, , 
2020/7/24, 18, 49, 1, , 
2020/7/25, 17, 45, 2, , 
2020/7/26, 16, 43, 4, , 
2020/7/27, 14, 37, 7, , 
2020/7/28, 18, 39, 3, , 
2020/7/29, 20, 39, 5, , 
2020/7/30, 18, 44, 5, , 
2020/7/31, 20, 47, 3, , 
2020/8/1, 18, 37, 1, , 
2020/8/2, 20, 29, 2, , 
2020/8/3, 14, 28, 2, , 
2020/8/4, 10, 36, 3, , 
2020/8/5, 12, 42, 2, , 
2020/8/6, 14, 43, 2, , 
2020/8/7, 13, 46, 4, , 
2020/8/8, 11, 54, 2, , 
2020/8/9, 13, 48, 4, , 
2020/8/10, 15, 45, 7, , 
2020/8/11, 17, 44, 3, , 
2020/8/12, 19, 40, 3, , 
2020/8/13, 24, 38, 5, , 
2020/8/14, 24, 38, 2, , 
2020/8/15, 19, 39, 1, , 
2020/8/16, 20, 36, 2, , 
2020/8/17, 16, 35, 3, , 
2020/8/18, 14, 39, 2, , 
2020/8/19, 14, 38, 3, , 
2020/8/20, 13, 35, 2, , 
2020/8/21, 15, 34, 3, , 
2020/8/22, 16, 32, 3, , 
2020/8/23, 12, 35, 3, , 
2020/8/24, 14, 34, 1, , 
2020/8/25, 13, 33, 2, , 
2020/8/26, 13, 32, 2, , 
2020/8/27, 11, 34, 3, , 
2020/8/28, 12, 26, 2, , 
2020/8/29, 12, 33, 1, , 
2020/9/2, 7, 42, 2, , 
2020/9/3, 9, 43, 4, , 
2020/9/4, 11, 44, 2, , 
2020/9/5, 10, 43, 2, , 
2020/9/6, 11, 32, 2, , 
2020/9/7, 11, 43, 2, , 
2020/9/8, 10, 43, 3, , 
2020/9/9, 5, 47, 2, , 
2020/9/10, 8, 45, 2, , 
2020/9/11, 9, 47, 3, , 
2020/9/13, 13, 44, 8, , 
2020/9/14, 14, 43, 2, , 
2020/9/15, 17, 43, 8, , 
2020/9/16, 19, 41, 7, , 
2020/9/17, 24, 39, 5, , 
2020/9/18, 23, 34, 2, , 
2020/9/19, 18, 37, 1, , 
2020/9/20, 9, 39, 5, , 
2020/9/21, 9, 36, 2, , 
2020/9/22, 8, 42, 3, , 
2020/9/24, 10, 29, 1, , 
2020/9/25, 12, 29, 1, , 
2020/9/26, 13, 26, 2, , 
2020/9/27, 6, 33, 3, , 
2020/9/28, 9, 40, 4, , 
2020/9/29, 12, 40, 3, , 
2020/9/30, 12, 40, 2, , 
2020/4/1, 10, 37, 1, , 
2020/4/2, 7, 41, 1, , 
2020/4/3, 11, 41, 2, , 
2020/4/4, 11, 44, 1, , 
2020/4/5, 10, 48, 2, , 
2020/4/6, 11, 49, 1, , 
2020/4/7, 12, 50, 3, , 
2020/4/8, 10, 49, 3, , 
2020/4/9, 12, 52, 1, , 
2020/4/10, 14, 50, 1, , 
2020/4/11, 16, 47, 1, , 
2020/4/12, 16, 47, , , 
2020/4/13, 11, 47, 2, , 
2020/4/14, 5, 39, 2, , 
2020/4/15, 12, 35, 2, , 
2020/4/16, 18, 34, 2, , 
2020/4/17, 18, 37, 1, , 
2020/4/18, 15, 33, 1, , 
2020/4/19, 9, 27, 2, , 
2020/4/20, 3, 35, 2, , 
2020/4/21, 1, 33, 1, , 
2020/4/22, 4, 40, 1, , 
2020/4/23, 9, 40, 3, , 
2020/4/24, 10, 42, 2, , 
2020/4/27, 9, 38, 1, , 
2020/4/28, 9, 39, 1, , 
2020/4/29, 10, 36, 1, , 
2020/4/30, 10, 29, , , 
2020/5/1, 10, 30, 1, , 
2020/5/2, 9, 26, 2, , 
2020/5/3, 9, 31, 2, , 
2020/5/4, 10, 35, 2, , 
2020/5/5, 10, 38, 2, , 
2020/5/6, 15, 38, 2, , 
2020/5/7, 13, 40, 1, , 
2020/5/8, 11, 37, 1, , 
2020/5/9, 15, 34, , , 
2020/5/10, 12, 35, , , 
2020/5/11, 7, 32, 1, , 
2020/5/12, 10, 41, 1, , 
2020/5/13, 10, 39, 2, , 
2020/5/14, 6, 38, 1, , 
2020/5/15, 8, 32, 1, , 
2020/5/16, 9, 35, 1, , 
2020/5/17, 8, 47, 3, , 
2020/5/18, 13, 51, 3, , 
2020/5/19, 15, 56, 7, , 
2020/5/20, 16, 49, 3, , 
2020/5/21, 14, 50, 3, , 
2020/5/22, 14, 46, 1, , 
2020/5/23, 12, 33, 1, , 
2020/5/24, 12, 38, 3, , 
2020/5/25, 15, 48, 3, , 
2020/5/26, 15, 49, 2, , 
2020/5/27, 14, 47, 2, , 
2020/5/28, 12, 44, 2, , 
2020/5/29, 12, 39, 2, , 
2020/5/30, 12, 42, 1, , 
2020/5/31, 10, 39, 1, , 
2020/6/1, 10, 42, 4, , 
2020/6/3, 10, 38, 2, , 
2020/6/4, 9, 39, 2, , 
2020/6/5, 9, 38, 2, , 
2020/6/6, 11, 31, 1, , 
2020/6/7, 12, 30, 2, , 
2020/6/8, 7, 39, 2, , 
2020/6/9, 8, 40, 2, , 
2020/6/10, 9, 37, 4, , 
2020/6/11, 10, 39, 1, , 
2020/6/12, 13, 41, 1, , 
2020/6/13, 11, 41, 1, , 
2020/6/14, 10, 39, 2, , 
2020/6/15, 12, 33, 3, , 
2020/6/16, 11, 39, 3, , 
2020/6/17, 8, 31, 2, , 
2020/6/18, 9, 37, 4, , 
2020/6/19, 9, 34, 1, , 
2020/6/20, 11, 37, 2, , 
2020/6/21, 14, 39, 5, , 
2020/6/22, 15, 34, 2, , 
2020/6/23, 14, 35, 2, , 
2020/6/24, 12, 43, 6, , 
2020/6/25, 12, 42, 6, , 
2020/6/26, 12, 34, 3, , 
2020/6/27, 16, 38, 2, , 
2020/6/28, 21, 30, 4, , 
2020/6/29, 20, 28, 4, , 
2020/6/30, 17, 34, 6, , 
2020/1/1, 12, 25, 3, 1, 
2020/1/2, 12, 32, 3, 1, 
2020/1/3, 10, 29, 2, 1, 
2020/1/4, 10, 30, 5, , 
2020/1/5, 8, 29, 3, 1, 
2020/1/6, 11, 35, 3, , 
2020/1/7, 12, 27, 8, , 
2020/1/8, 11, 33, 4, 1, 
2020/1/9, 12, 30, 3, , 
2020/1/10, 9, 30, 2, , 
2020/1/11, 6, 34, 2, , 
2020/1/12, 7, 30, 4, 1, 
2020/1/13, 8, 34, 3, , 
2020/1/14, 7, 34, 5, , 
2020/1/15, 9, 36, 5, , 
2020/1/16, 13, 32, 3, , 
2020/1/17, 12, 32, 2, , 
2020/1/18, 9, 34, 2, , 
2020/1/19, 8, 33, , , 
2020/1/20, 10, 30, 1, , 
2020/1/21, 7, 29, 2, , 
2020/1/22, 10, 30, 4, , 
2020/1/23, 13, 34, 3, , 
2020/1/24, 69, 26, 5, , 
2020/1/25, 64, 33, 1, , 
2020/1/26, 40, 25, 3, , 
2020/1/27, 19, 26, 2, , 
2020/1/28, 10, 25, 8, , 
