date, pm10, o3, no2, so2, co
2021/2/1, 13, 19, 19, 1, 
2021/2/2, 20, 16, 22, 1, 
2021/2/3, 21, 14, 20, , 
2021/2/4, 27, 18, 19, , 
2021/2/5, 22, 19, 14, , 
2021/2/6, 51, 19, 7, , 
2021/2/7, 58, 14, 19, , 
2021/2/8, 11, 12, 17, , 
2021/1/4, 14, 13, 17, 1, 
2021/1/5, 12, 12, 17, , 
2021/1/6, 15, 10, 18, , 
2021/1/7, 17, 11, 16, , 
2021/1/8, 20, 22, 7, , 
2021/1/9, 13, 21, 10, , 
2021/1/10, 5, 13, 11, , 
2021/1/11, 10, 19, 11, , 
2021/1/12, 11, 17, 11, , 
2021/1/14, 11, 13, 19, 1, 
2021/1/15, 13, 15, 16, , 
2021/1/16, 18, 15, 17, , 
2021/1/17, 13, 6, 27, 9, 
2021/1/18, 23, 17, 20, , 
2021/1/19, 24, 15, 21, , 
2021/1/20, 20, 10, 23, , 
2021/1/21, 23, 23, 13, , 
2021/1/22, 18, 23, 6, , 
2021/1/23, 9, 22, 7, , 
2021/1/24, 9, 23, 12, , 
2021/1/25, 10, 19, 15, 1, 
2021/1/26, 14, 9, 24, 1, 
2021/1/27, 18, 2, 26, 1, 
2021/1/28, 29, 3, 18, 1, 
2021/1/29, 24, 9, 12, 1, 
2021/1/30, 16, 9, 4, 1, 
2021/1/31, 10, 22, 11, , 
2020/10/1, 22, 18, 18, , 
2020/10/2, 20, 23, 8, , 
2020/10/3, 10, 24, 10, , 
2020/10/4, 10, 17, 14, , 
2020/10/5, 13, 18, 21, , 
2020/10/6, 16, 15, 19, , 
2020/10/7, 25, 16, 17, , 
2020/10/8, 25, 15, 24, , 
2020/10/9, 29, 18, 18, , 
2020/10/10, 25, 22, 11, , 
2020/10/11, 15, 24, 12, , 
2020/10/12, 9, 22, 20, , 
2020/10/13, 11, 15, 18, , 
2020/10/14, 15, 15, 17, , 
2020/10/15, 10, 18, 19, , 
2020/10/16, 14, 24, 23, , 
2020/10/17, 18, 26, 22, , 
2020/10/18, 21, 21, 34, 1, 
2020/10/19, 24, 34, 29, 1, 
2020/10/20, 28, 29, 27, , 
2020/10/21, 42, 20, 32, , 
2020/10/22, 70, 20, 21, , 
2020/10/23, 47, 24, 13, , 
2020/10/24, 18, 22, 12, , 
2020/10/25, 13, 21, 13, , 
2020/10/26, 17, 17, 16, , 
2020/10/27, 14, 12, 23, , 
2020/10/28, 22, 15, 28, 1, 
2020/10/29, 28, 12, 26, , 
2020/10/30, 29, 24, 20, , 
2020/10/31, 32, 25, 17, , 
2020/11/1, 28, 20, 22, , 
2020/11/2, 28, 15, 19, , 
2020/11/3, 28, 9, 17, , 
2020/11/4, 17, 20, 17, , 
2020/11/5, 15, 21, 13, , 
2020/11/6, 19, 20, 15, 1, 
2020/11/7, 23, 16, 15, , 
2020/11/8, 23, 13, 28, 1, 
2020/11/9, 19, 11, 28, , 
2020/11/10, 28, 17, 20, , 
2020/11/11, 22, 12, 24, 1, 
2020/11/12, 19, 5, 33, , 
2020/11/13, 27, 3, 19, , 
2020/11/14, 31, , , 1, 
2020/11/17, 25, 11, 28, 1, 
2020/11/18, 29, 8, 24, 1, 
2020/11/19, 30, 13, 19, 1, 
2020/11/20, 24, 19, 21, , 
2020/11/21, 26, 22, 21, 1, 
2020/11/22, 25, 16, 27, 1, 
2020/11/23, 28, 14, 28, 1, 
2020/11/24, 29, 12, 36, 1, 
2020/11/25, 33, 21, 24, , 
2020/11/26, 29, 24, 14, , 
2020/11/27, 22, 22, 13, , 
2020/11/28, 16, 16, 20, 1, 
2020/11/29, 16, 15, 20, , 
2020/11/30, 22, 10, 14, 1, 
2020/12/1, 18, 10, 16, , 
2020/12/2, 15, 17, 16, , 
2020/12/3, 13, 14, 24, 1, 
2020/12/4, 16, 18, 13, , 
2020/12/5, 13, 18, 6, , 
2020/12/6, 9, 19, 18, , 
2020/12/7, 9, 17, 11, , 
2020/12/8, 9, 16, 13, , 
2020/12/9, 10, 13, 21, 1, 
2020/12/10, 13, 10, 25, , 
2020/12/11, 21, 20, 11, , 
2020/12/12, 15, 17, 18, , 
2020/12/13, 11, 1, 36, 1, 
2020/12/14, 27, 10, 27, 1, 
2020/12/15, 41, 9, 28, , 
2020/12/16, 24, 7, 30, , 
2020/12/17, 28, 10, 26, , 
2020/12/18, 28, 16, 20, , 
2020/12/19, 25, 17, 11, , 
2020/12/20, 18, 10, 19, , 
2020/12/21, 13, 7, 19, , 
2020/12/22, 19, 12, 22, , 
2020/12/23, 23, 18, 18, , 
2020/12/24, 23, 22, 7, , 
2020/12/25, 11, 22, 10, , 
2020/12/26, 6, 20, 9, , 
2020/12/27, 8, 19, 11, , 
2020/12/28, 10, 18, 8, , 
2020/12/29, 11, 21, 11, , 
2020/12/30, 10, 16, 12, , 
2020/12/31, 11, 17, 10, 1, 
2021/1/1, 10, 17, 9, , 
2021/1/2, 8, 20, 14, 1, 
2021/1/3, 11, 15, 16, , 
2020/7/1, 24, 26, 14, , 
2020/7/2, 28, 17, 14, , 
2020/7/3, 20, 27, 9, , 
2020/7/4, 19, 28, 16, , 
2020/7/5, 20, 34, 23, , 
2020/7/6, 26, 26, 14, , 
2020/7/7, 25, 26, 22, , 
2020/7/8, 27, 26, 19, , 
2020/7/9, 24, 30, 24, , 
2020/7/10, 26, 34, 14, , 
2020/7/11, 25, 35, 12, , 
2020/7/12, 22, 26, 20, , 
2020/7/13, 20, 38, 18, , 
2020/7/14, 20, 35, 14, , 
2020/7/15, 24, 23, 16, , 
2020/7/16, 23, 22, 16, , 
2020/7/17, 23, 30, 11, , 
2020/7/18, 20, 27, 7, , 
2020/7/19, 19, 20, 14, , 
