date, pm10, o3, no2, so2, co
2021/2/1, 24, 25, 15, , 
2021/2/2, 30, 18, 16, , 
2021/2/3, 29, 15, 17, , 
2021/2/4, 27, 23, 13, , 
2021/2/5, 21, 25, 10, , 
2021/2/6, 79, 22, 5, , 
2021/2/7, 54, 20, 17, , 
2021/2/8, 16, 21, 15, , 
2021/2/9, 14, , , , 
2021/1/4, 16, 19, 12, , 
2021/1/5, 14, 20, 13, , 
2021/1/6, 16, 18, 14, , 
2021/1/7, 20, 21, 15, , 
2021/1/8, 22, 26, 5, , 
2021/1/9, 15, 24, 7, , 
2021/1/10, 8, 18, 8, , 
2021/1/11, 12, 25, 6, , 
2021/1/12, 12, 26, 7, , 
2021/1/13, 11, 21, 8, , 
2021/1/14, 12, 19, 13, , 
2021/1/15, 16, 27, 10, , 
2021/1/16, 14, 24, 11, , 
2021/1/17, 17, 22, 21, , 
2021/1/18, 26, 29, 18, , 
2021/1/19, 27, 24, 19, , 
2021/1/20, 29, 22, 21, , 
2021/1/21, 24, 29, 9, , 
2021/1/22, 17, 27, 4, , 
2021/1/23, 8, 28, 3, , 
2021/1/24, 10, 25, 7, , 
2021/1/25, 13, 23, 13, , 
2021/1/26, 23, 15, 24, , 
2021/1/27, 34, 12, 23, , 
2021/1/28, 37, 18, 15, , 
2021/1/29, 28, 29, 10, , 
2021/1/30, 19, 29, 2, , 
2021/1/31, 17, 30, 6, , 
2020/10/1, 30, 24, 13, , 
2020/10/2, 24, 29, 6, , 
2020/10/3, 15, 29, 7, , 
2020/10/4, 15, 24, 10, , 
2020/10/5, 15, 25, 16, , 
2020/10/6, 26, 24, 9, , 
2020/10/7, 24, 26, 12, , 
2020/10/8, 25, 25, 15, , 
2020/10/9, 32, 20, 13, , 
2020/10/10, 22, 28, 6, , 
2020/10/11, 14, 31, 6, , 
2020/10/12, 12, 29, 12, , 
2020/10/13, 15, 22, 12, , 
2020/10/14, 13, 21, 11, , 
2020/10/15, 11, 26, 14, , 
2020/10/16, 15, 31, 19, , 
2020/10/17, 22, 31, 18, , 
2020/10/18, 28, 34, 26, , 
2020/10/19, 30, 39, 21, , 
2020/10/20, 29, 36, 19, , 
2020/10/21, 64, 25, 24, , 
2020/10/22, 66, 31, 18, 1, 
2020/10/23, 46, 31, 11, 2, 
2020/10/24, 18, 28, 11, 2, 
2020/10/25, 17, 27, 8, 2, 
2020/10/26, 16, 24, 12, 1, 
2020/10/27, 20, 20, 18, , 
2020/10/28, 27, 28, 19, , 
2020/10/29, 30, 26, 20, , 
2020/10/30, 31, 32, 16, , 
2020/10/31, 36, 33, 12, , 
2020/11/1, 35, 30, 17, , 
2020/11/2, 32, 23, 13, , 
2020/11/3, 27, 20, 13, , 
2020/11/4, 18, 27, 11, , 
2020/11/5, 15, 27, 8, , 
2020/11/6, 17, 27, 9, , 
2020/11/7, 32, 26, 12, , 
2020/11/8, 26, 23, 22, , 
2020/11/9, 25, 20, 23, , 
2020/11/10, 28, 27, 16, , 
2020/11/11, 24, 24, 19, , 
2020/11/12, 24, 18, 25, , 
2020/11/13, 29, 25, 13, , 
2020/11/14, 26, 28, 10, , 
2020/11/15, 28, 22, 11, , 
2020/11/16, 26, 20, 19, , 
2020/11/17, 30, 22, 21, , 
2020/11/18, 34, 19, 17, , 
2020/11/19, 32, 19, 16, , 
2020/11/20, 32, 25, 16, , 
2020/11/21, 30, 27, 17, , 
2020/11/22, 31, 27, 20, , 
2020/11/23, 31, 27, 21, , 
2020/11/24, 33, 25, 27, , 
2020/11/25, 37, 28, 17, , 
2020/11/26, 31, 30, 8, , 
2020/12/1, 21, 18, 12, , 
2020/12/2, 14, 21, 12, , 
2020/12/3, 15, 25, 19, , 
2020/12/4, 20, 23, 10, , 
2020/12/5, 14, 23, 4, , 
2020/12/6, 12, 25, 15, , 
2020/12/7, 20, 25, 7, , 
2020/12/8, 14, 22, 6, , 
2020/12/9, 11, 20, 16, , 
2020/12/10, 16, 17, 22, , 
2020/12/11, 20, 26, 5, , 
2020/12/12, 14, 24, 12, , 
2020/12/13, 18, 7, 28, , 
2020/12/14, 41, 20, 23, , 
2020/12/15, 38, 20, 24, , 
2020/12/16, 31, 16, 22, , 
2020/12/17, 34, 17, 20, , 
2020/12/18, 28, 23, 18, , 
2020/12/19, 27, 22, 9, , 
2020/12/20, 21, 20, 14, , 
2020/12/21, 18, 10, 17, , 
2020/12/22, 24, 17, 20, , 
2020/12/23, 27, 23, 15, , 
2020/12/24, 24, 29, 3, , 
2020/12/25, 11, 28, 7, , 
2020/12/26, 12, 27, 7, , 
2020/12/27, 10, 27, 7, , 
2020/12/28, 10, 25, 5, , 
2020/12/29, 11, 25, 5, , 
2020/12/30, 10, 23, 10, , 
2021/1/1, 11, 20, 6, , 
2021/1/2, 12, 24, 10, , 
2021/1/3, 13, 24, 14, , 
2020/7/1, 26, 33, 7, , 
2020/7/2, 24, 28, 6, , 
2020/7/3, 19, 34, 4, , 
2020/7/4, 18, 37, 9, , 
2020/7/5, 20, 42, 15, , 
2020/7/6, 32, 29, 7, , 
2020/7/7, 27, 36, 11, , 
2020/7/8, 28, 31, 10, , 
2020/7/9, 22, 47, 17, , 
