date, pm10, o3, no2, so2, co
2021/2/1, 20, 10, 27, , 
2021/2/2, 27, 21, 20, , 
2021/2/3, 28, 23, 16, , 
2021/2/4, 29, 27, 10, , 
2021/2/5, 22, 24, 13, , 
2021/2/6, 74, 24, 7, , 
2021/2/7, 57, 11, 26, , 
2021/2/8, 19, 17, 14, , 
2021/2/9, 15, , , , 
2021/1/4, 22, 16, 20, , 
2021/1/5, 20, 14, 17, , 
2021/1/6, 19, 9, 20, , 
2021/1/7, 23, 16, 18, , 
2021/1/8, 26, 26, 3, , 
2021/1/9, 17, 26, 8, , 
2021/1/10, 9, 17, 12, , 
2021/1/11, 11, 19, 12, , 
2021/1/12, 14, 15, 14, , 
2021/1/13, 16, 14, 18, , 
2021/1/14, 13, 10, 25, , 
2021/1/15, 23, 20, 17, , 
2021/1/16, 18, 20, 16, , 
2021/1/17, 18, 9, 26, , 
2021/1/18, 29, 21, 23, , 
2021/1/19, 25, 20, 26, , 
2021/1/20, 26, 17, 28, , 
2021/1/21, 25, 26, 12, , 
2021/1/22, 18, 26, 7, , 
2021/1/23, 9, 29, 4, , 
2021/1/24, 10, 26, 10, , 
2021/1/25, 16, 23, 19, , 
2021/1/26, 17, 15, 24, , 
2021/1/27, 26, 7, 35, , 
2021/1/28, 38, 13, 19, , 
2021/1/29, 27, 27, 13, , 
2021/1/30, 25, 28, 2, , 
2021/1/31, 18, 26, 10, , 
2020/10/1, 26, 21, 16, , 
2020/10/2, 22, 27, 5, , 
2020/10/3, 16, 29, 9, , 
2020/10/4, 13, 25, 13, , 
2020/10/5, 19, 24, 19, , 
2020/10/6, 22, 24, 13, , 
2020/10/7, 25, 24, 14, , 
2020/10/8, 23, 23, 16, , 
2020/10/9, 29, 24, 7, , 
2020/10/10, 20, 28, 7, , 
2020/10/11, 13, 29, 10, , 
2020/10/12, 12, 30, 18, , 
2020/10/13, 16, 20, 16, , 
2020/10/14, 14, 20, 14, , 
2020/10/15, 12, 25, 20, , 
2020/10/16, 17, 31, 18, , 
2020/10/17, 21, 27, 16, , 
2020/10/18, 23, 32, 23, , 
2020/10/19, 27, 43, 14, , 
2020/10/20, 29, 39, 10, , 
2020/10/21, 61, 31, 19, , 
2020/10/22, 63, 25, 17, , 
2020/10/23, 43, 29, 14, , 
2020/10/24, 19, 27, 10, , 
2020/10/25, 14, 24, 11, , 
2020/10/26, 14, 18, 20, , 
2020/10/27, 22, 13, 21, , 
2020/10/28, 28, 22, 19, , 
2020/10/29, 33, 20, 19, , 
2020/10/30, 31, 30, 15, , 
2020/10/31, 31, 31, 11, , 
2020/11/1, 28, 30, 16, , 
2020/11/2, 27, 25, 8, , 
2020/11/3, 23, 9, 17, , 
2020/11/4, 22, 27, 11, , 
2020/11/5, 17, 28, 3, , 
2020/11/6, 16, 28, 8, , 
2020/11/7, 28, 22, 7, , 
2020/11/8, 25, 15, , , 
2020/11/9, 24, 16, 23, , 
2020/11/10, 27, 24, 18, , 
2020/11/11, 24, 14, 21, , 
2020/11/12, 28, 13, 20, , 
2020/11/13, 32, 23, 12, , 
2020/11/14, 27, 27, 10, , 
2020/11/15, 24, 22, 14, , 
2020/11/16, 25, 18, 19, , 
2020/11/17, 28, 21, 19, , 
2020/11/18, 32, 11, 19, , 
2020/11/19, 31, 12, 20, , 
2020/11/20, 32, 25, 15, , 
2020/11/21, 31, 22, 15, , 
2020/11/22, 29, 19, 22, , 
2020/11/23, 33, 18, 26, , 
2020/11/24, 37, 21, 25, , 
2020/11/25, 39, 29, 16, , 
2020/11/26, 29, 33, 2, , 
2020/11/27, 19, 30, 4, , 
2020/11/28, 18, 22, 12, , 
2020/11/29, 20, 17, 14, , 
2020/11/30, 25, 4, 14, , 
2020/12/1, 19, 11, 17, , 
2020/12/2, 20, 15, 20, , 
2020/12/3, 23, 18, 21, , 
2020/12/4, 24, 22, 12, , 
2020/12/5, 19, 21, 6, , 
2020/12/6, 10, 21, 18, , 
2020/12/7, 16, 19, 10, , 
2020/12/8, 13, 20, 12, , 
2020/12/9, 14, 15, 20, , 
2020/12/10, 20, 6, 23, , 
2020/12/11, 25, 21, 12, , 
2020/12/12, 17, 21, 16, , 
2020/12/13, 19, 3, 26, , 
2020/12/14, 35, 13, 25, , 
2020/12/15, 42, 12, 26, , 
2020/12/16, 29, 17, 21, , 
2020/12/17, 35, 24, 15, , 
2020/12/18, 24, 21, 18, , 
2020/12/19, 22, 20, 13, , 
2020/12/20, 21, 9, 19, , 
2020/12/21, 18, 8, 21, , 
2020/12/22, 27, 16, 20, , 
2020/12/23, 27, 21, 15, , 
2020/12/24, 26, 28, 6, , 
2020/12/25, 14, 26, 9, , 
2020/12/26, 13, 20, 9, , 
2020/12/27, 12, 24, 7, , 
2020/12/28, 14, 21, 8, , 
2020/12/29, 17, 19, 11, , 
2020/12/30, 11, 18, 14, , 
2020/12/31, 11, 10, 13, , 
2021/1/1, 16, , 10, , 
2021/1/2, 14, , 11, , 
2021/1/3, 17, 12, 19, , 
2020/7/1, 20, 37, 6, , 
2020/7/2, 22, 28, 9, , 
2020/7/3, 14, 33, 4, , 
2020/7/4, 13, 36, 10, , 
2020/7/5, 15, 35, 11, , 
2020/7/6, 23, 31, 7, , 
2020/7/7, 21, 41, 10, , 
2020/7/8, 25, 38, 10, , 
2020/7/9, 19, 41, 15, , 
2020/7/10, 42, 41, 15, , 
2020/7/11, 39, 39, 9, , 
2020/7/12, 19, 36, 15, , 
2020/7/13, 26, 53, 12, , 
2020/7/14, 22, 50, 13, , 
2020/7/15, 22, 27, 3, , 
2020/7/16, 17, 31, 6, , 
2020/7/17, 16, 37, 7, , 
2020/7/18, 16, 34, 7, , 
2020/7/19, 19, 30, 15, , 
2020/7/20, 21, 27, 9, , 
