date;date;pm10;pm25;o3;no2;so2
2018-01-01;2018-01-01;8.0;21.0;27.0;15.0;2.5
2018-01-02;2018-01-02;8.5;20.0;15.5;18.0;8.5
2018-01-03;2018-01-03;8.0;30.5;14.5;16.0;4.0
2018-01-04;2018-01-04;5.0;27.0;17.5;16.5;1.0
2018-01-05;2018-01-05;3.0;16.5;28.0;14.5;1.0
2018-01-06;2018-01-06;3.0;12.5;22.5;14.0;1.0
2018-01-07;2018-01-07;9.5;12.5;16.5;24.0;2.5
2018-01-08;2018-01-08;16.0;30.0;5.5;30.0;2.0
2018-01-09;2018-01-09;10.0;53.0;13.0;24.5;1.0
2018-01-10;2018-01-10;5.5;33.0;26.0;19.0;2.0
2018-01-11;2018-01-11;13.0;17.5;22.0;30.0;2.5
2018-01-12;2018-01-12;16.5;38.0;12.0;31.0;2.0
2018-01-13;2018-01-13;7.0;55.0;16.5;15.0;2.5
2018-01-14;2018-01-14;12.5;25.5;17.5;25.0;2.5
2018-01-15;2018-01-15;16.0;40.0;11.5;28.0;2.5
2018-01-16;2018-01-16;14.0;44.5;16.0;25.5;4.0
2018-01-17;2018-01-17;16.0;40.0;10.5;35.0;3.5
2018-01-18;2018-01-18;20.5;42.5;6.0;40.0;4.5
2018-01-19;2018-01-19;17.5;57.0;14.5;31.5;3.0
2018-01-20;2018-01-20;9.5;51.0;15.0;22.0;2.5
2018-01-21;2018-01-21;14.5;34.0;7.0;26.0;3.0
2018-01-22;2018-01-22;16.0;41.5;6.5;32.5;5.0
2018-01-23;2018-01-23;23.5;44.0;5.0;32.0;3.0
2018-01-24;2018-01-24;24.5;62.5;10.5;28.5;2.0
2018-01-25;2018-01-25;4.5;65.0;23.0;18.5;2.5
2018-01-26;2018-01-26;4.0;14.0;25.5;12.5;3.0
2018-01-27;2018-01-27;5.0;13.0;26.0;11.5;2.5
2018-01-28;2018-01-28;15.0;16.5;21.5;24.5;2.5
2018-01-29;2018-01-29;17.5;37.0;15.0;33.5;3.0
2018-01-30;2018-01-30;20.0;48.5;8.5;38.5;3.5
2018-01-31;2018-01-31;20.0;54.0;20.5;36.0;2.5
2018-02-01;2018-02-01;5.0;53.0;25.5;20.0;3.0
2018-02-02;2018-02-02;7.0;16.0;24.5;18.5;2.0
2018-02-03;2018-02-03;5.0;20.5;25.0;15.0;1.0
2018-02-04;2018-02-04;4.5;19.0;20.0;19.5;1.5
2018-02-05;2018-02-05;7.0;20.5;21.0;19.5;2.0
2018-02-06;2018-02-06;8.0;24.5;21.0;23.0;3.0
2018-02-07;2018-02-07;9.5;23.5;19.0;26.0;2.5
2018-02-08;2018-02-08;18.0;32.0;17.0;35.5;2.5
2018-02-09;2018-02-09;6.5;52.5;27.5;19.0;2.0
2018-02-10;2018-02-10;13.0;22.0;23.5;24.5;2.5
2018-02-11;2018-02-11;6.5;42.5;24.5;21.0;2.0
2018-02-12;2018-02-12;11.0;18.5;24.0;24.0;2.0
2018-02-13;2018-02-13;7.5;32.0;24.0;17.5;1.0
2018-02-14;2018-02-14;15.0;25.0;20.5;24.0;2.0
2018-02-15;2018-02-15;20.5;46.0;10.0;23.5;2.5
2018-02-16;2018-02-16;21.0;64.0;22.0;19.0;2.0
2018-02-17;2018-02-17;7.5;59.0;28.0;13.0;3.0
2018-02-18;2018-02-18;6.5;20.0;25.5;19.0;3.5
2018-02-19;2018-02-19;8.0;19.0;24.5;20.5;3.0
2018-02-20;2018-02-20;7.0;20.5;26.5;18.0;2.5
2018-02-21;2018-02-21;12.0;19.0;24.5;24.0;3.0
2018-02-22;2018-02-22;14.0;35.5;22.5;26.5;2.5
2018-02-23;2018-02-23;19.0;43.5;28.5;30.5;2.5
2018-02-24;2018-02-24;23.0;55.0;29.5;31.0;2.5
2018-02-25;2018-02-25;24.5;63.0;24.0;41.0;3.5
2018-02-26;2018-02-26;19.0;65.0;26.0;30.5;2.0
2018-02-27;2018-02-27;13.0;55.0;24.0;30.5;1.0
2018-02-28;2018-02-28;6.0;47.5;29.5;19.0;1.0
2018-03-01;2018-03-01;7.0;23.0;27.5;24.5;1.5
2018-03-02;2018-03-02;6.0;24.5;32.5;15.5;1.0
2018-03-03;2018-03-03;5.5;21.5;33.5;14.0;1.0
2018-03-04;2018-03-04;5.5;19.0;33.0;16.5;1.0
2018-03-05;2018-03-05;5.5;19.5;29.5;17.5;1.0
2018-03-06;2018-03-06;6.0;18.0;29.0;16.0;2.0
2018-03-07;2018-03-07;10.0;19.5;24.5;24.0;1.0
2018-03-08;2018-03-08;12.0;35.5;19.0;26.0;1.0
2018-03-09;2018-03-09;7.0;39.5;23.0;21.0;1.0
2018-03-10;2018-03-10;6.5;23.0;33.0;10.5;1.0
2018-03-11;2018-03-11;6.5;19.0;34.0;12.0;1.0
2018-03-12;2018-03-12;9.5;17.5;29.5;19.5;1.0
2018-03-13;2018-03-13;9.5;28.5;27.0;22.0;1.0
2018-03-14;2018-03-14;6.0;30.5;37.0;16.5;1.0
2018-03-15;2018-03-15;6.0;19.5;34.5;14.5;1.0
2018-03-16;2018-03-16;5.5;18.5;32.0;12.5;1.0
2018-03-17;2018-03-17;5.0;18.0;33.5;11.0;1.5
2018-03-18;2018-03-18;6.0;18.0;35.5;15.5;1.0
2018-03-19;2018-03-19;5.5;19.5;32.0;14.0;3.0
2018-03-20;2018-03-20;7.5;19.0;36.5;15.0;3.0
2018-03-21;2018-03-21;10.0;25.5;35.5;23.0;2.0
2018-03-22;2018-03-22;15.0;31.0;27.0;26.5;2.5
2018-03-23;2018-03-23;7.0;45.5;32.0;7.0;1.5
2018-03-24;2018-03-24;4.5;19.0;35.0;8.5;2.0
2018-03-25;2018-03-25;7.0;14.0;36.0;19.5;3.0
2018-03-26;2018-03-26;9.0;23.0;33.5;18.0;2.0
2018-03-27;2018-03-27;13.5;31.0;28.0;21.0;3.0
2018-03-28;2018-03-28;8.5;42.0;36.0;7.0;1.5
2018-03-29;2018-03-29;6.0;28.0;38.5;6.0;2.0
2018-03-30;2018-03-30;4.0;18.0;39.5;7.5;1.0
2018-03-31;2018-03-31;7.5;12.0;36.5;15.0;2.0
2018-04-01;2018-04-01;9.0;26.0;31.0;20.0;2.0
2018-04-02;2018-04-02;8.0;32.0;29.0;12.0;1.0
2018-04-03;2018-04-03;7.0;24.0;34.0;9.0;1.0
2018-04-04;2018-04-04;11.0;19.5;28.0;23.0;1.0
2018-04-05;2018-04-05;14.0;33.0;19.0;31.0;2.0
2018-04-06;2018-04-06;10.0;41.0;26.0;18.0;1.5
2018-04-07;2018-04-07;6.0;31.0;30.0;9.0;1.5
2018-04-08;2018-04-08;5.0;20.0;36.0;12.0;1.5
2018-04-09;2018-04-09;4.0;15.5;27.0;20.0;1.0
2018-04-10;2018-04-10;5.0;16.0;32.0;16.0;1.0
2018-04-11;2018-04-11;6.0;16.5;30.0;17.0;1.0
2018-04-12;2018-04-12;6.0;22.5;30.0;20.0;1.0
2018-04-13;2018-04-13;8.0;22.0;33.0;19.0;1.5
2018-04-14;2018-04-14;8.0;29.0;27.0;12.0;1.5
2018-04-15;2018-04-15;7.0;28.0;32.0;13.0;1.0
2018-04-16;2018-04-16;12.0;22.5;26.0;25.0;2.0
2018-04-17;2018-04-17;15.0;35.5;35.0;27.0;2.0
2018-04-18;2018-04-18;19.0;45.5;40.0;17.0;1.0
2018-04-19;2018-04-19;26.0;46.5;34.0;12.0;1.5
2018-04-20;2018-04-20;27.0;53.0;28.0;13.0;1.5
2018-04-21;2018-04-21;25.0;56.5;31.0;18.0;1.0
2018-04-22;2018-04-22;23.0;56.5;31.0;21.0;
2018-04-23;2018-04-23;24.0;52.0;29.5;19.0;
2018-04-24;2018-04-24;23.0;51.0;34.0;23.0;
2018-04-25;2018-04-25;24.0;55.5;29.0;22.0;1.0
2018-04-26;2018-04-26;22.0;54.0;34.0;15.0;1.0
2018-04-27;2018-04-27;14.0;48.5;34.0;8.0;1.0
2018-04-28;2018-04-28;9.0;33.5;33.0;7.0;1.0
2018-04-29;2018-04-29;6.0;22.0;32.0;12.0;1.0
2018-04-30;2018-04-30;5.0;16.0;36.0;10.0;1.0
2018-05-01;2018-05-01;7.0;17.5;36.0;13.0;1.5
2018-05-02;2018-05-02;8.0;26.0;34.0;20.0;1.0
2018-05-03;2018-05-03;8.0;28.5;33.0;11.0;1.0
2018-05-04;2018-05-04;11.0;26.0;36.0;10.0;1.0
2018-05-05;2018-05-05;12.0;35.0;41.0;8.0;1.0
2018-05-06;2018-05-06;13.0;37.5;28.0;20.0;2.0
2018-05-07;2018-05-07;14.0;38.0;26.0;28.0;2.0
2018-05-08;2018-05-08;16.0;39.5;33.0;21.0;1.0
2018-05-09;2018-05-09;12.0;50.5;33.0;14.0;1.0
2018-05-10;2018-05-10;14.0;39.5;32.0;20.0;1.0
2018-05-11;2018-05-11;13.0;43.5;34.0;9.0;1.0
2018-05-12;2018-05-12;7.0;38.5;34.0;7.0;1.0
2018-05-13;2018-05-13;6.0;22.0;34.0;14.0;1.0
2018-05-14;2018-05-14;7.0;19.0;43.0;7.0;1.0
2018-05-15;2018-05-15;11.0;24.0;44.0;12.0;2.0
2018-05-16;2018-05-16;12.0;35.0;47.0;16.0;1.0
2018-05-17;2018-05-17;14.0;36.0;38.0;17.0;1.0
2018-05-18;2018-05-18;13.0;42.0;43.0;13.0;1.0
2018-05-19;2018-05-19;10.0;41.0;46.0;8.0;1.0
2018-05-20;2018-05-20;12.0;32.0;41.0;19.0;1.0
2018-05-21;2018-05-21;12.0;40.0;33.0;25.0;1.0
2018-05-22;2018-05-22;14.0;46.0;43.0;24.0;1.0
2018-05-23;2018-05-23;14.0;50.0;31.0;20.0;1.0
2018-05-24;2018-05-24;13.0;43.0;28.5;24.0;1.0
2018-05-25;2018-05-25;11.0;41.0;35.0;17.0;1.0
2018-05-26;2018-05-26;12.0;41.0;39.5;16.0;1.0
2018-05-27;2018-05-27;12.0;39.0;24.5;21.0;1.0
2018-05-28;2018-05-28;14.0;38.0;23.0;23.0;2.0
2018-05-29;2018-05-29;12.0;45.0;28.0;20.0;2.0
2018-05-30;2018-05-30;13.0;43.0;35.0;17.0;1.0
2018-05-31;2018-05-31;18.0;44.0;30.0;23.0;2.0
2018-06-01;2018-06-01;13.0;53.0;40.0;10.0;1.5
2018-06-02;2018-06-02;14.0;39.0;36.0;12.0;1.0
2018-06-03;2018-06-03;11.0;45.0;29.0;11.0;1.0
2018-06-04;2018-06-04;11.0;34.0;26.0;12.0;1.0
2018-06-05;2018-06-05;9.0;23.0;27.0;16.0;1.0
2018-06-06;2018-06-06;15.0;24.0;30.0;20.0;2.0
2018-06-07;2018-06-07;15.0;39.0;21.0;19.0;1.5
2018-06-08;2018-06-08;12.0;46.0;28.0;14.0;1.0
2018-06-09;2018-06-09;12.0;38.0;26.0;12.0;1.0
