;date;pm10;fecha;indicativo;velmedia;racha;sol;presmax;presmin;season_name
2018-01-01;2018-01-01;11.0;2018-01-01;3196;5.3;11.9;5.9;952.2;949.3;Winter
2018-01-01;2018-01-01;11.0;2018-01-01;3195;3.1;10.0;5.9;954.3;950.7;Winter
2018-01-01;2018-01-01;11.0;2018-01-01;3194U;1.7;9.7;5.9;953.25;950.0;Winter
2018-01-02;2018-01-02;12.0;2018-01-02;3196;4.2;11.9;7.0;952.2;949.6;Winter
2018-01-02;2018-01-02;12.0;2018-01-02;3195;2.5;11.4;7.0;954.3;952.2;Winter
2018-01-02;2018-01-02;12.0;2018-01-02;3194U;2.8;14.2;7.0;953.25;950.9;Winter
2018-01-03;2018-01-03;10.0;2018-01-03;3196;5.3;10.3;4.6;952.9;949.8;Winter
2018-01-03;2018-01-03;10.0;2018-01-03;3195;1.7;8.6;4.6;955.4;952.3;Winter
2018-01-03;2018-01-03;10.0;2018-01-03;3194U;1.7;6.9;4.6;954.15;951.05;Winter
2018-01-04;2018-01-04;8.0;2018-01-04;3196;4.7;10.3;5.8;949.8;941.0;Winter
2018-01-04;2018-01-04;8.0;2018-01-04;3195;2.2;7.8;5.8;953.3;943.7;Winter
2018-01-04;2018-01-04;8.0;2018-01-04;3194U;1.1;7.8;5.8;951.55;942.35;Winter
2018-01-05;2018-01-05;5.0;2018-01-05;3196;5.3;12.5;1.6;941.0;923.9;Winter
2018-01-05;2018-01-05;5.0;2018-01-05;3195;3.1;11.7;1.6;943.7;926.1;Winter
2018-01-05;2018-01-05;5.0;2018-01-05;3194U;1.7;10.3;1.6;942.35;925.0;Winter
2018-01-06;2018-01-06;5.0;2018-01-06;3196;0.6;7.2;0.0;923.9;917.2;Winter
2018-01-06;2018-01-06;5.0;2018-01-06;3195;2.5;10.8;0.0;926.1;920.0;Winter
2018-01-06;2018-01-06;5.0;2018-01-06;3194U;1.7;8.6;0.0;925.0;918.6;Winter
2018-01-07;2018-01-07;12.0;2018-01-07;3196;3.3;8.9;0.0;927.3;917.4;Winter
2018-01-07;2018-01-07;12.0;2018-01-07;3195;2.8;7.5;0.0;929.5;919.5;Winter
2018-01-07;2018-01-07;12.0;2018-01-07;3194U;1.9;7.5;0.0;928.4;918.45;Winter
2018-01-08;2018-01-08;20.0;2018-01-08;3196;0.8;5.3;8.5;935.4;927.2;Winter
2018-01-08;2018-01-08;20.0;2018-01-08;3195;1.4;7.2;8.5;937.8;929.3;Winter
2018-01-08;2018-01-08;20.0;2018-01-08;3194U;1.4;6.1;8.5;936.6;928.25;Winter
2018-01-09;2018-01-09;13.0;2018-01-09;3196;1.1;5.3;0.0;938.8;934.6;Winter
2018-01-09;2018-01-09;13.0;2018-01-09;3195;1.4;4.7;0.0;941.6;937.2;Winter
2018-01-09;2018-01-09;13.0;2018-01-09;3194U;0.3;3.9;0.0;940.2;935.9;Winter
2018-01-10;2018-01-10;9.0;2018-01-10;3196;4.2;12.5;0.3;941.3;936.7;Winter
2018-01-10;2018-01-10;9.0;2018-01-10;3195;2.2;9.4;0.3;943.0;939.5;Winter
2018-01-10;2018-01-10;9.0;2018-01-10;3194U;1.4;10.0;0.3;942.15;938.1;Winter
2018-01-11;2018-01-11;18.0;2018-01-11;3196;5.3;14.4;8.6;944.8;940.1;Winter
2018-01-11;2018-01-11;18.0;2018-01-11;3195;3.3;12.8;8.6;946.6;942.6;Winter
2018-01-11;2018-01-11;18.0;2018-01-11;3194U;2.8;13.6;8.6;945.7;941.35;Winter
2018-01-12;2018-01-12;22.0;2018-01-12;3196;1.4;7.8;6.7;945.8;941.6;Winter
2018-01-12;2018-01-12;22.0;2018-01-12;3195;1.7;6.4;6.7;947.8;944.3;Winter
2018-01-12;2018-01-12;22.0;2018-01-12;3194U;0.8;5.0;6.7;946.8;942.95;Winter
2018-01-13;2018-01-13;10.0;2018-01-13;3196;1.9;10.8;1.1;941.8;935.9;Winter
2018-01-13;2018-01-13;10.0;2018-01-13;3195;1.1;7.2;1.1;944.5;939.0;Winter
2018-01-13;2018-01-13;10.0;2018-01-13;3194U;1.1;6.1;1.1;943.15;937.45;Winter
2018-01-14;2018-01-14;17.0;2018-01-14;3196;2.5;7.8;5.2;942.2;937.1;Winter
2018-01-14;2018-01-14;17.0;2018-01-14;3195;1.7;6.1;5.2;944.4;939.8;Winter
2018-01-14;2018-01-14;17.0;2018-01-14;3194U;1.9;5.8;5.2;943.3;938.45;Winter
2018-01-15;2018-01-15;24.0;2018-01-15;3196;2.2;8.3;8.1;947.7;941.8;Winter
2018-01-15;2018-01-15;24.0;2018-01-15;3195;1.1;6.4;8.1;949.9;944.4;Winter
2018-01-15;2018-01-15;24.0;2018-01-15;3194U;0.8;6.4;8.1;948.8;943.1;Winter
2018-01-16;2018-01-16;18.0;2018-01-16;3196;1.4;8.9;9.3;948.7;945.5;Winter
2018-01-16;2018-01-16;18.0;2018-01-16;3195;1.1;6.4;9.3;951.2;947.8;Winter
2018-01-17;2018-01-17;21.0;2018-01-17;3196;1.7;11.9;9.3;946.4;943.8;Winter
2018-01-17;2018-01-17;21.0;2018-01-17;3195;2.2;8.6;9.3;948.8;945.9;Winter
2018-01-18;2018-01-18;28.0;2018-01-18;3196;1.4;4.7;9.4;946.2;940.9;Winter
2018-01-18;2018-01-18;28.0;2018-01-18;3195;1.4;5.3;9.4;948.4;943.1;Winter
2018-01-18;2018-01-18;28.0;2018-01-18;3194U;0.6;3.6;9.4;947.3;942.0;Winter
2018-01-19;2018-01-19;27.0;2018-01-19;3196;0.8;5.6;8.8;945.5;939.8;Winter
2018-01-19;2018-01-19;27.0;2018-01-19;3195;1.4;5.3;8.8;947.4;942.0;Winter
2018-01-19;2018-01-19;27.0;2018-01-19;3194U;1.1;4.4;8.8;946.45;940.9;Winter
2018-01-20;2018-01-20;13.0;2018-01-20;3196;1.9;7.8;2.0;947.6;944.7;Winter
2018-01-20;2018-01-20;13.0;2018-01-20;3195;1.9;7.8;2.0;949.6;947.2;Winter
2018-01-20;2018-01-20;13.0;2018-01-20;3194U;2.5;11.4;2.0;948.6;945.95;Winter
2018-01-21;2018-01-21;19.0;2018-01-21;3196;3.1;8.9;9.4;949.6;946.9;Winter
2018-01-21;2018-01-21;19.0;2018-01-21;3195;1.1;8.3;9.4;951.8;949.6;Winter
