date, pm25, pm10, o3, no2, so2, co
2021/2/1, 26, 9, , 13, , 
2021/2/2, 19, 12, , 17, , 
2021/2/3, 30, 14, , 19, , 
2021/2/4, 42, 33, , 15, , 
2021/2/5, 52, 15, , 14, , 
2021/2/6, 38, 6, , 7, , 
2021/2/7, 16, 5, , 7, , 
2021/2/8, 21, , , , , 
2021/1/4, 22, 15, , 24, , 
2021/1/5, 43, 12, , 16, , 
2021/1/6, 37, 8, , 13, , 
2021/1/7, 26, 6, , 9, , 
2021/1/8, 22, 6, , 8, , 
2021/1/9, 23, 7, , 8, , 
2021/1/10, 29, 13, , 22, , 
2021/1/11, 46, 27, , 36, , 
2021/1/12, 80, 42, , 49, , 
2021/1/13, 113, 44, , 54, , 
2021/1/14, 116, 46, , 56, , 
2021/1/15, 123, 58, , 64, , 
2021/1/16, 146, 44, , 47, , 
2021/1/17, 115, 27, , 43, , 
2021/1/18, 77, 20, , 32, , 
2021/1/19, 64, 21, , 35, , 
2021/1/20, 67, 7, , 15, , 
2021/1/21, 20, 7, , 13, , 
2021/1/22, 14, 5, , 9, , 
2021/1/23, 13, 6, , 7, , 
2021/1/24, 12, 6, , 12, , 
2021/1/25, 16, 8, , 14, , 
2021/1/26, 24, 14, , 17, , 
2021/1/27, 37, 14, , 15, , 
2021/1/28, 47, 15, , 14, , 
2021/1/29, 46, 8, , 6, , 
2021/1/30, 23, 7, , 7, , 
2021/1/31, 18, 12, , 12, , 
2020/10/1, 24, 8, , 8, , 
2020/10/2, 17, 5, , 5, , 
2020/10/3, 10, 7, , 6, , 
2020/10/4, 21, 9, , 12, , 
2020/10/5, 19, 14, , 21, , 
2020/10/6, 30, 16, , 22, , 
2020/10/7, 41, 17, , 23, , 
2020/10/8, 43, 19, , 27, , 
2020/10/9, 47, 14, , 6, , 
2020/10/10, 30, 5, , 2, , 
2020/10/11, 11, 4, , 4, , 
2020/10/12, 11, 13, , 23, , 
2020/10/13, 23, 8, , 11, , 
2020/10/14, 18, 9, , 13, , 
2020/10/15, 16, 11, , 19, , 
2020/10/16, 25, 17, , 21, , 
2020/10/17, 37, 15, , 17, , 
2020/10/18, 39, 25, , 21, , 
2020/10/19, 40, 25, , 19, , 
2020/10/20, 50, 11, , 15, , 
2020/10/21, 25, 10, , 15, , 
2020/10/22, 31, 10, , 16, , 
2020/10/23, 28, 12, , 16, , 
2020/10/24, 38, 7, , 7, , 
2020/10/25, 22, 7, , 12, , 
2020/10/26, 17, 10, , 14, , 
2020/10/27, 30, 17, , 18, , 
2020/10/28, 47, 19, , 19, , 
2020/10/29, 58, 23, , 24, , 
2020/10/30, 61, 17, , 21, , 
2020/10/31, 57, 28, , 23, , 
2020/11/1, 82, 28, , 21, , 
2020/11/2, 80, 15, , 16, , 
2020/11/3, 46, 5, , 8, , 
2020/11/4, 18, 8, , 14, , 
2020/11/5, 31, 49, , 13, , 
2020/11/6, 59, 12, , 13, , 
2020/11/7, 29, 11, , 16, , 
2020/11/8, 35, 16, , 23, , 
2020/11/9, 53, 15, , 22, , 
2020/11/10, 44, 19, , 25, , 
2020/11/11, 51, 22, , 24, , 
2020/11/12, 62, 20, , 24, , 
2020/11/13, 58, 27, , 26, , 
2020/11/14, 77, 14, , 13, , 
2020/11/15, 47, 17, , 22, , 
2020/11/16, 46, 26, , 23, , 
2020/11/17, 62, 28, , 23, , 
2020/11/18, 71, 22, , 18, , 
2020/11/19, 53, 8, , 16, , 
2020/11/20, 21, 10, , 18, , 
2020/11/21, 29, 18, , 22, , 
2020/11/22, 56, 23, , 29, , 
2020/11/23, 56, 29, , 30, , 
2020/11/24, 71, 33, , 29, , 
2020/11/25, 78, 17, , 19, , 
2020/11/26, 47, 9, , 19, , 
2020/11/27, 28, 13, , 18, , 
2020/11/28, 41, 15, , 16, , 
2020/11/29, 54, 12, , 20, , 
2020/11/30, 38, 13, , 21, , 
2020/12/1, 33, 8, , 13, , 
2020/12/2, 18, 14, , 23, , 
2020/12/3, 36, 8, , 15, , 
2020/12/4, 20, 5, , 11, , 
2020/12/5, 16, 6, , 10, , 
2020/12/6, 19, 8, , 10, , 
2020/12/7, 23, , , 9, , 
2020/12/9, 20, 9, , 14, , 
2020/12/10, 22, 5, , 10, , 
2020/12/11, 15, 10, , 9, , 
2020/12/12, 21, 17, , 18, , 
2020/12/13, 44, 21, , 22, , 
2020/12/14, 52, 8, , 17, , 
2020/12/15, 18, 14, , 25, , 
2020/12/16, 37, 18, , 24, , 
2020/12/17, 52, 27, , 28, , 
2020/12/18, 70, 15, , 18, , 
2020/12/19, 50, 14, , 18, , 
2020/12/20, 40, 23, , 22, , 
2020/12/21, 56, 26, , 22, , 
2020/12/22, 63, 22, , 21, , 
2020/12/23, 60, 14, , 11, , 
2020/12/24, 43, 4, , 5, , 
2020/12/25, 13, 10, , 17, , 
2020/12/26, 31, 15, , 19, , 
2020/12/27, 46, 7, , 9, , 
2020/12/28, 15, 9, , 13, , 
2020/12/29, 22, 7, , 13, , 
2020/12/30, 15, 9, , 15, , 
2020/12/31, 27, 5, , 8, , 
2021/1/1, 17, 6, , 11, , 
2021/1/2, 18, 9, , 18, , 
2021/1/3, 25, 9, , 19, , 
2020/7/1, 62, 16, , 9, , 
2020/7/2, 36, 11, , 5, , 
2020/7/3, 26, 9, , 4, , 
2020/7/4, 24, 16, , 4, , 
2020/7/5, 43, 14, , 6, , 
2020/7/6, 31, 19, , 8, , 
2020/7/7, 42, 40, , 12, , 
2020/7/8, 68, 25, , 6, , 
2020/7/9, 46, 20, , 8, , 
2020/7/10, 49, 21, , 6, , 
2020/7/11, 48, 26, , 3, , 
2020/7/12, 59, 16, , 5, , 
2020/7/13, 38, 14, , 5, , 
2020/7/14, 37, 20, , 5, , 
2020/7/15, 54, 17, , 7, , 
2020/7/16, 46, 16, , 4, , 
2020/7/17, 43, 23, , 5, , 
2020/7/18, 62, 19, , 7, , 
2020/7/19, 48, 41, , 16, , 
2020/7/20, 74, 37, , 13, , 
2020/7/21, 72, 31, , 10, , 
2020/7/22, 69, 33, , 16, , 
2020/7/23, 81, 28, , 11, , 
2020/7/24, 70, 21, , 5, , 
2020/7/25, 54, 20, , 11, , 
2020/7/26, 58, 26, , 14, , 
2020/7/27, 57, 40, , 14, , 
2020/7/28, 89, 29, , 13, , 
2020/7/29, 61, 25, , 10, , 
2020/7/30, 52, 26, , 16, , 
2020/7/31, 51, 15, , 10, , 
2020/8/1, 46, 18, , 5, , 
2020/8/2, 49, 8, , 3, , 
2020/8/3, 19, 11, , 6, , 
2020/8/4, 26, 15, , 10, , 
2020/8/5, 34, 23, , 15, , 
2020/8/6, 49, 24, , 10, , 
2020/8/7, 42, 24, , 11, , 
2020/8/8, 53, 29, , 9, , 
2020/8/9, 59, 29, , 14, , 
2020/8/10, 58, 19, , 8, , 
2020/8/11, 50, 13, , 9, , 
2020/8/12, 35, 16, , 13, , 
2020/8/13, 46, 16, , 13, , 
2020/8/14, 46, 9, , 5, , 
2020/8/15, 27, 8, , 4, , 
2020/8/16, 25, 11, , 8, , 
2020/8/17, 32, 11, , 9, , 
2020/8/18, 29, 13, , 12, , 
2020/8/19, 36, 14, , 16, , 
2020/8/20, 33, 12, , 6, , 
2020/8/21, 33, 11, , 5, , 
2020/8/22, 38, 11, , 5, , 
2020/8/23, 36, 14, , 10, , 
2020/8/24, 38, 21, , 16, , 
2020/8/25, 55, 21, , 19, , 
2020/8/26, 52, 21, , 15, , 
2020/8/27, 50, 15, , 9, , 
2020/8/28, 30, 8, , 1, , 
2020/8/29, 20, 6, , 1, , 
2020/8/30, 20, 1, , 8, , 
2020/8/31, 5, 18, , 24, , 
2020/9/1, 33, 13, , 13, , 
2020/9/2, 34, 16, , 17, , 
2020/9/3, 32, 22, , 21, , 
2020/9/4, 46, 19, , 21, , 
2020/9/5, 48, 17, , 8, , 
2020/9/6, 42, 17, , 5, , 
2020/9/7, 43, 13, , 8, , 
2020/9/8, 26, 16, , 18, , 
2020/9/9, 37, 15, , 14, , 
2020/9/10, 38, 17, , 18, , 
2020/9/11, 40, 18, , 14, , 
2020/9/12, 45, 17, , 8, , 
2020/9/13, 41, , , , , 
2020/9/15, 57, 23, , 16, , 
2020/9/16, 52, 23, , 14, , 
2020/9/17, 59, 14, , 13, , 
2020/9/18, 35, 7, , 6, , 
2020/9/19, 23, 8, , 5, , 
2020/9/20, 19, 14, , 14, , 
2020/9/21, 36, 14, , 15, , 
2020/9/22, 39, 14, , 13, , 
2020/9/23, 41, 11, , 10, , 
2020/9/24, 37, 8, , 8, , 
2020/9/25, 19, 7, , 8, , 
2020/9/26, 19, 4, , 4, , 
2020/9/27, 16, 11, , 24, , 
2020/9/28, 26, 16, , 29, , 
2020/9/29, 40, 18, , 25, , 
2020/9/30, 44, 11, , 14, , 
2020/4/1, 23, 7, , 8, , 
2020/4/2, 24, 8, , 8, , 
2020/4/3, 29, 8, , 7, , 
2020/4/4, 30, 10, , 4, , 
2020/4/5, 35, 8, , 7, , 
2020/4/6, 26, 7, , 8, , 
2020/4/7, 28, 12, , 8, , 
2020/4/8, 43, 12, , 5, , 
2020/4/9, 42, 9, , 3, , 
2020/4/10, 37, 11, , 3, , 
2020/4/11, 38, 12, , 3, , 
2020/4/12, 44, 11, , 5, , 
2020/4/13, 43, 11, , 7, , 
2020/4/14, 43, 8, , 7, , 
2020/4/15, 26, 9, , 8, , 
2020/4/16, 23, 7, , 7, , 
2020/4/17, 19, 10, , 5, , 
2020/4/18, 27, 6, , 3, , 
2020/4/19, 19, 10, , 8, , 
2020/4/20, 26, 8, , 5, , 
2020/4/21, 19, 6, , 6, , 
2020/4/22, 18, 9, , 6, , 
2020/4/23, 28, 9, , 6, , 
2020/4/24, 29, 11, , 3, , 
2020/4/25, 35, 13, , 2, , 
2020/4/26, 36, 9, , 5, , 
2020/4/27, 26, 7, , 4, , 
2020/4/28, 24, 8, , 6, , 
2020/4/29, 21, 8, , 3, , 
2020/4/30, 20, 8, , 1, , 
2020/5/1, 21, 9, , 3, , 
2020/5/2, 26, 11, , 4, , 
2020/5/3, 35, 18, , 6, , 
2020/5/4, 35, 8, , 4, , 
2020/5/5, 20, 11, , 9, , 
2020/5/6, 28, 20, , 6, , 
2020/5/7, 37, 15, , 4, , 
2020/5/8, 36, 17, , 2, , 
2020/5/9, 44, 5, , 1, , 
2020/5/10, 14, 6, , 3, , 
2020/5/11, 16, 8, , 6, , 
2020/5/12, 27, 8, , 5, , 
2020/5/13, 26, 6, , 8, , 
2020/5/14, 20, 6, , 4, , 
2020/5/15, 19, 7, , 1, , 
2020/5/16, 23, 11, , 1, , 
2020/5/17, 37, 11, , 7, , 
2020/5/18, 34, 10, , 6, , 
2020/5/19, 35, 12, , 7, , 
2020/5/20, 36, 13, , 8, , 
2020/5/21, 36, 20, , 9, , 
2020/5/22, 55, 18, , 5, , 
2020/5/23, 51, 15, , 1, , 
2020/5/24, 37, 18, , 7, , 
2020/5/25, 45, 12, , 5, , 
2020/5/26, 35, 14, , 5, , 
2020/5/27, 38, 16, , 5, , 
2020/5/28, 47, 19, , 9, , 
2020/5/29, 53, 18, , 8, , 
2020/5/30, 47, 16, , 4, , 
2020/5/31, 46, 18, , 9, , 
2020/6/1, 52, 23, , 10, , 
2020/6/2, 56, 25, , 7, , 
2020/6/3, 62, 14, , 6, , 
2020/6/4, 41, 13, , 7, , 
2020/6/5, 36, 16, , 4, , 
2020/6/6, 46, 12, , 3, , 
2020/6/7, 39, 9, , 2, , 
2020/6/8, 26, 11, , 4, , 
2020/6/9, 26, 15, , 6, , 
2020/6/10, 38, 18, , 7, , 
2020/6/11, 38, 12, , 5, , 
2020/6/12, 23, 10, , 4, , 
2020/6/13, 34, 11, , 5, , 
2020/6/14, 33, 13, , 8, , 
2020/6/15, 40, 11, , 6, , 
2020/6/16, 32, 12, , 6, , 
2020/6/17, 33, 12, , 7, , 
2020/6/18, 27, 16, , 8, , 
2020/6/19, 41, 16, , 9, , 
2020/6/20, 48, 16, , 7, , 
2020/6/21, 51, 23, , 7, , 
2020/6/22, 60, 25, , 13, , 
2020/6/23, 58, 23, , 10, , 
2020/6/24, 52, 26, , 9, , 
2020/6/25, 54, 21, , 9, , 
2020/6/26, 46, 16, , 5, , 
2020/6/27, 49, 12, , 4, , 
2020/6/28, 34, 16, , 9, , 
2020/6/29, 44, 27, , 9, , 
2020/6/30, 65, 24, , 10, , 
2020/1/1, 98, 28, , 28, , 
2020/1/2, 74, 46, , 32, , 
2020/1/3, 117, 8, , 11, , 
2020/1/4, 31, 13, , 19, , 
2020/1/5, 38, 19, , 24, , 
2020/1/6, 57, 29, , 37, , 
2020/1/7, 71, 38, , 45, , 
2020/1/8, 81, 32, , 37, , 
2020/1/9, 75, 13, , 17, , 
2020/1/10, 36, 10, , 19, , 
2020/1/11, 28, 26, , 31, , 
2020/1/12, 73, 35, , 36, , 
2020/1/13, 86, 34, , 31, , 
2020/1/14, 86, 36, , 36, , 
2020/1/15, 80, 39, , 31, , 
2020/1/16, 78, 17, , 22, , 
2020/1/17, 44, 15, , 25, , 
2020/1/18, 50, 6, , 8, , 
2020/1/19, 19, 7, , 6, , 
2020/1/20, 14, 6, , 6, , 
2020/1/21, 15, 20, , 12, , 
2020/1/22, 37, 49, , 18, , 
2020/1/23, 68, 36, , 21, , 
2020/1/24, 60, 18, , 16, , 
2020/1/25, 48, 13, , 16, , 
2020/1/26, 47, 16, , 21, , 
2020/1/27, 46, 9, , 13, , 
2020/1/28, 28, 12, , 14, , 
2020/1/29, 33, 13, , 15, , 
2020/1/30, 38, 12, , 14, , 
2020/1/31, 38, 9, , 10, , 
2020/2/1, 33, 17, , 16, , 
2020/2/2, 56, 38, , 20, , 
2020/2/3, 74, 47, , 28, , 
2020/2/4, 88, 10, , 20, , 
2020/2/5, 27, 24, , 28, , 
2020/2/6, 61, 29, , 26, , 
2020/2/7, 70, 37, , 24, , 
2020/2/8, 87, 25, , 18, , 
2020/2/9, 70, 25, , 24, , 
2020/2/10, 70, 37, , 26, , 
2020/2/11, 97, 33, , 23, , 
2020/2/12, 87, 27, , 19, , 
2020/2/13, 76, 28, , 21, , 
2020/2/14, 77, 26, , 22, , 
2020/2/15, 69, 25, , 21, , 
2020/2/16, 70, 18, , 17, , 
2020/2/17, 51, 14, , 17, , 
2020/2/18, 40, 14, , 20, , 
2020/2/19, 34, 24, , 32, , 
2020/2/20, 56, 23, , 30, , 
2020/2/21, 48, 25, , 31, , 
2020/2/22, 56, 17, , 24, , 
2020/2/23, 45, 23, , 30, , 
2020/2/24, 54, 23, , 29, , 
2020/2/25, 49, 11, , 12, , 
2020/2/26, 26, 59, , 15, , 
2020/2/27, 71, 56, , 26, , 
2020/2/28, 76, 45, , 14, , 
2020/2/29, 59, 28, , 8, , 
2020/3/1, 27, 25, , 8, , 
2020/3/2, 20, 10, , 17, , 
2020/3/3, 27, 9, , 12, , 
2020/3/4, 20, 10, , 11, , 
2020/3/5, 22, 6, , 11, , 
2020/3/6, 16, 7, , 15, , 
2020/3/7, 18, 12, , 18, , 
2020/3/8, 41, 12, , 17, , 
2020/3/9, 30, 19, , 35, , 
2020/3/10, 44, 26, , 33, , 
2020/3/11, 60, 23, , 26, , 
2020/3/12, 53, 18, , 19, , 
2020/3/13, 45, 17, , 8, , 
2020/3/14, 53, 14, , 6, , 
2020/3/15, 39, 8, , 7, , 
2020/3/16, 28, 9, , 6, , 
2020/3/17, 36, 22, , 14, , 
2020/3/18, 52, 22, , 10, , 
2020/3/19, 47, 30, , 5, , 
2020/3/20, 46, 13, , 6, , 
2020/3/21, 34, 6, , 3, , 
2020/3/22, 20, 6, , 6, , 
2020/3/23, 23, 7, , 5, , 
2020/3/24, 21, 14, , 9, , 
2020/3/25, 41, 9, , 9, , 
2020/3/26, 26, 10, , 6, , 
2020/3/27, 39, 7, , 7, , 
2020/3/28, 28, 9, , 16, , 
2020/3/29, 36, , , , , 
2019/10/1, 48, 14, 25, 7, 3, 
2019/10/2, 32, 10, 18, 23, 4, 
2019/10/3, 25, 17, 2, 27, 5, 
2019/10/4, 36, 17, , 16, 3, 
2019/10/5, 41, 15, , 15, 4, 
2019/10/6, 36, 12, , 30, 5, 
2019/10/7, 26, 15, , 25, 5, 
2019/10/8, 32, 20, , 21, 5, 
2019/10/9, 43, 18, , 18, 4, 
2019/10/10, 31, 24, , 25, 4, 
2019/10/11, 50, 23, , 11, 3, 
2019/10/12, 48, 18, , 13, 4, 
2019/10/13, 33, 20, , 13, 4, 
2019/10/14, 46, 8, 20, 13, 4, 
2019/10/15, 19, 9, 21, 19, 4, 
2019/10/16, 22, 13, 11, 23, 4, 
2019/10/17, 33, 11, 12, 17, 3, 
2019/10/18, 32, 9, 22, 11, 3, 
2019/10/19, 23, 6, 21, 8, 4, 
2019/10/20, 17, 5, 19, 18, 5, 
2019/10/21, 14, 7, 14, 15, 4, 
2019/10/22, 18, 7, 14, 16, 4, 
2019/10/23, 22, 6, 11, 21, 4, 
2019/10/24, 19, 18, , 30, 7, 
2019/10/25, 51, 24, , 27, 7, 
2019/10/26, 63, 18, , 23, 7, 
2019/10/27, 54, 20, , 30, 6, 
2019/10/28, 58, 29, , 29, 6, 
2019/10/29, 70, 44, , 26, 5, 
2019/10/30, 98, 19, 3, 14, 4, 
2019/10/31, 51, 11, 11, 9, 4, 
2019/11/1, 32, 13, 19, 7, 4, 
2019/11/2, 33, 8, 28, 6, 4, 
2019/11/3, 21, 8, 22, 10, 4, 
2019/11/4, 17, 7, 18, 13, 5, 
2019/11/5, 19, 6, 17, 15, 4, 
2019/11/6, 15, 8, 18, 13, 4, 
2019/11/7, 22, 6, 19, 12, 5, 
2019/11/8, 15, 6, , 11, 5, 
2019/11/9, 17, 6, , 10, 5, 
2019/11/10, 17, 6, , 20, 6, 
2019/11/11, 19, 10, , 21, 7, 
2019/11/12, 27, 8, , 11, 5, 
2019/11/13, 22, 7, , 13, 5, 
2019/11/14, 21, 5, , 14, 5, 
2019/11/15, 13, 6, , 13, 5, 
2019/11/16, 18, 7, , 14, 5, 
2019/11/17, 20, 7, , 17, 6, 
2019/11/18, 23, 14, , 33, 8, 
2019/11/19, 41, 19, , 27, 6, 
2019/11/20, 54, , , , 6, 
2019/11/22, 26, 5, , 10, 6, 
2019/11/23, 13, 7, , 10, 6, 
2019/11/24, 18, 8, , 15, 5, 
2019/11/25, 25, 11, , 18, 5, 
2019/11/26, 32, 10, , 13, 6, 
2019/11/27, 24, 10, , 16, 6, 
2019/11/28, 23, 8, , 16, 6, 
2019/11/29, 21, 10, , 13, 6, 
2019/11/30, 29, 6, , 13, 6, 
2019/12/1, 21, 5, , 7, 6, 
2019/12/2, 15, 5, , 9, 6, 
2019/12/3, 17, 7, , 14, 6, 
2019/12/4, 23, 6, 7, 9, 6, 
2019/12/5, 18, 7, 19, 13, 6, 
2019/12/6, 23, 20, 7, 23, 7, 
2019/12/7, 61, 28, 2, 25, 7, 
2019/12/8, 79, 21, 8, 21, 6, 
2019/12/9, 66, 36, 2, 29, 7, 
2019/12/10, 90, 23, 8, 22, 7, 
2019/12/11, 61, 9, , 17, 7, 
2019/12/12, 23, 7, , 13, 7, 
2019/12/13, 19, 9, , 15, 6, 
2019/12/14, 31, 7, , 17, 6, 
2019/12/15, 24, 15, , 20, 6, 
2019/12/16, 44, 13, , 20, 6, 
2019/12/17, 42, 15, , 23, 7, 
2019/12/18, 40, 9, , 19, 6, 
2019/12/19, 28, 6, , 15, , 
2019/12/20, 22, 8, 24, 7, 6, 
2019/12/21, 24, 15, 24, 7, , 
2019/12/22, 29, 15, 22, 23, 7, 
2019/12/23, 39, 20, 6, 28, 8, 
2019/12/24, 55, 14, 9, 20, 7, 
2019/12/25, 47, 19, 6, 22, 8, 
2019/12/26, 58, 11, 10, 21, 11, 
2019/12/27, 31, 17, , 30, 11, 
2019/12/28, 49, 19, , 30, , 
2019/12/29, 54, , , , , 
2019/7/1, 59, 39, , 11, 5, 
2019/7/2, 58, 35, , 11, 5, 
2019/7/3, 57, 33, , 10, 4, 
2019/7/4, 53, 38, , 13, 5, 
2019/7/5, 56, 26, , 11, 5, 
2019/7/6, 47, 19, , 7, 5, 
2019/7/7, 41, 21, , 10, 5, 
2019/7/8, 38, 21, , 7, 5, 
2019/7/9, 44, 14, , 11, 5, 
2019/7/10, 34, 21, , 25, 5, 
2019/7/11, 46, 28, , 16, 6, 
2019/7/12, 58, 47, , 12, 4, 
2019/7/13, 68, 40, , 2, 5, 
2019/7/14, 64, 16, , 12, 5, 
2019/7/15, 47, 17, , 11, 5, 
2019/7/16, 38, 28, , 12, 5, 
2019/7/17, 52, 31, , 10, 5, 
2019/7/18, 59, 32, , 11, 5, 
2019/7/19, 61, 32, , 6, 3, 
2019/7/20, 56, 38, , 4, 4, 
2019/7/21, 61, 42, , 9, 4, 
2019/7/22, 66, 37, , 11, , 
2019/7/23, 60, 33, , 15, , 
2019/7/24, 58, 36, 38, 15, , 
2019/7/25, 61, 32, 30, 9, , 
2019/7/26, 60, 19, 27, 3, , 
2019/7/27, 46, 13, 35, 1, , 
2019/7/28, 36, 18, 27, 13, , 
2019/7/29, 50, 18, 37, 8, , 
2019/7/30, 50, 26, 23, 6, , 
2019/7/31, 57, 40, , 7, , 
2019/8/1, 67, 25, , 9, , 
2019/8/2, 52, 18, , 6, , 
2019/8/3, 43, 17, , 8, , 
