date, pm25, pm10, o3, no2, so2, co
2021/2/1, 15, 6, , 11, , 
2021/2/2, 16, 9, , 17, , 
2021/2/3, 27, 13, , 20, , 
2021/2/4, 39, 32, , 19, , 
2021/2/5, 52, 11, , 15, , 
2021/2/6, 29, 4, , 7, , 
2021/2/7, 14, 3, , 6, , 
2021/2/8, 12, , , , , 
2021/1/4, 18, 18, , 31, , 
2021/1/5, 46, 14, , 22, , 
2021/1/6, 40, 11, , 21, , 
2021/1/7, 31, 8, , 17, , 
2021/1/8, 25, 5, , 11, , 
2021/1/9, 20, 6, , 12, , 
2021/1/10, 27, 15, , 22, , 
2021/1/11, 52, 30, , 44, , 
2021/1/12, 85, 44, , 59, , 
2021/1/13, 116, 49, , 73, , 
2021/1/14, 126, 45, , 64, , 
2021/1/15, 120, 48, , 65, , 
2021/1/16, 128, 48, , 64, , 
2021/1/17, 127, 35, , 62, , 
2021/1/18, 92, 22, , 41, , 
2021/1/19, 65, 19, , 37, , 
2021/1/20, 61, 5, , 11, , 
2021/1/21, 16, 6, , 9, , 
2021/1/22, 16, 4, , 6, , 
2021/1/23, 9, 5, , 5, , 
2021/1/24, 11, 5, , 9, , 
2021/1/25, 13, 7, , 12, , 
2021/1/26, 21, 12, , 16, , 
2021/1/27, 31, 12, , 15, , 
2021/1/28, 37, 12, , 14, , 
2021/1/29, 41, 4, , 5, , 
2021/1/30, 12, 6, , 5, , 
2021/1/31, 16, 8, , 10, , 
2020/10/1, 32, 6, , 6, 6, 
2020/10/2, 13, 7, , 4, , 
2020/10/3, 19, 11, , 5, , 
2020/10/4, 30, 10, , 11, , 
2020/10/5, 24, 16, , 19, , 
2020/10/6, 31, 22, , 27, 1, 
2020/10/7, 45, 24, , 30, 1, 
2020/10/8, 49, 26, , 28, , 
2020/10/9, 48, 17, , 11, , 
2020/10/10, 35, 7, , 5, , 
2020/10/11, 12, 7, , 7, , 
2020/10/12, 15, 15, , 19, 1, 
2020/10/13, 24, 10, , 12, , 
2020/10/14, 19, 12, , 16, , 
2020/10/15, 21, 13, , 17, , 
2020/10/16, 24, 18, , 19, 1, 
2020/10/17, 34, 21, , 23, 1, 
2020/10/18, 43, 30, , 26, 1, 
2020/10/19, 44, 31, , 23, 1, 
2020/10/20, 55, 12, , 14, , 
2020/10/21, 26, 13, , 14, , 
2020/10/22, 30, 10, , 15, , 
2020/10/23, 31, 15, , 14, 1, 
2020/10/24, 39, 9, , 6, 1, 
2020/10/25, 24, 9, , 11, 1, 
2020/10/26, 25, 10, , 12, 2, 
2020/10/27, 23, 19, , 21, 1, 
2020/10/28, 39, 24, , 29, 1, 
2020/10/29, 57, 30, , 34, 2, 
2020/10/30, 68, 22, , 28, 2, 
2020/10/31, 54, 27, , 25, 1, 
2020/11/1, 67, 27, , 23, 1, 
2020/11/2, 70, 17, , 23, 1, 
2020/11/3, 45, 8, , 15, 1, 
2020/11/4, 21, 9, , 20, 1, 
2020/11/5, 26, 54, , 15, 1, 
2020/11/6, 55, 12, , 11, , 
2020/11/7, 24, 11, , 19, 1, 
2020/11/8, 28, 21, , 26, 1, 
2020/11/9, 57, 22, , 29, 1, 
2020/11/10, 53, 23, , 30, 1, 
2020/11/11, 53, 27, , 34, 2, 
2020/11/12, 64, 24, , 30, 2, 
2020/11/13, 51, 31, , 30, 1, 
2020/11/14, 75, 17, , 12, 1, 
2020/11/15, 47, 25, , 26, 1, 
2020/11/16, 61, 31, , 29, 2, 
2020/11/17, 64, 29, , 28, 2, 
2020/11/18, 68, 33, , 30, 2, 
2020/11/19, 70, 13, , 26, 1, 
2020/11/20, 30, 13, , 25, 2, 
2020/11/21, 34, 20, , 27, 2, 
2020/11/22, 47, 30, , 39, 3, 
2020/11/23, 60, 33, , 38, 2, 
2020/11/24, 68, 36, , 33, 2, 
2020/11/25, 73, 21, , 25, 1, 
2020/11/26, 51, 16, , 28, 1, 
2020/11/27, 43, 13, , 20, 1, 
2020/11/28, 37, 20, , 22, 1, 
2020/11/29, 58, 20, , 31, 2, 
2020/11/30, 44, 16, , 30, 2, 
2020/12/1, 38, 12, , 22, 1, 
2020/12/2, 25, 14, , 23, 1, 
2020/12/3, 31, 8, , 14, 1, 
2020/12/4, 18, 6, , 8, 1, 
2020/12/5, 16, 7, , 7, 1, 
2020/12/6, 16, 9, , 5, 1, 
2020/12/7, 24, 6, , 6, 1, 
2020/12/8, 15, 9, , 15, 1, 
2020/12/9, 21, 10, , 12, 1, 
2020/12/10, 28, 11, , 7, 1, 
2020/12/11, 34, 12, , 8, 1, 
