date, pm25, pm10, o3, no2, so2, co
2021/2/1, 21, 10, 20, 13, 1, 
2021/2/2, 22, 10, 16, 13, , 
2021/2/3, 25, 14, 19, 16, 1, 
2021/2/4, 36, 34, 16, 18, 1, 
2021/2/5, 51, 16, 21, 14, 1, 
2021/2/6, 33, 6, 23, 9, 1, 
2021/2/7, 15, 2, 21, 6, , 
2021/2/8, 8, , , , , 
2021/1/18, 5, , , , , 
2021/1/25, 12, 9, 11, 13, 1, 
2021/1/26, 22, 18, 8, 15, 1, 
2021/1/27, 42, 13, 10, 11, 1, 
2021/1/28, 38, 15, 11, 13, , 
2021/1/29, 37, 9, 30, 9, 1, 
2021/1/30, 18, 9, 31, 7, 1, 
2021/1/31, 18, 13, 21, 14, 1, 
2020/10/1, 44, 10, 22, 19, 4, 
2020/10/2, 23, 7, 21, 10, 4, 
2020/10/3, 18, 10, 23, 9, 4, 
2020/10/4, 26, 10, 21, 8, 4, 
2020/10/5, 19, 21, 13, 23, 10, 
2020/10/6, 43, 24, 19, 27, 1, 
2020/10/7, 43, 27, 17, 31, , 
2020/10/8, 46, 32, 29, 31, , 
2020/10/9, 60, 20, 29, 12, , 
2020/10/10, 46, 7, 33, 5, , 
2020/10/11, 15, 5, 36, 7, , 
2020/10/12, 13, 23, 34, 25, , 
2020/10/13, 42, 11, 27, 15, , 
2020/10/14, 18, 12, 22, 18, , 
2020/10/15, 21, 18, 23, 21, , 
2020/10/16, 30, 22, 28, 23, , 
2020/10/17, 37, 29, 35, 24, 1, 
2020/10/18, 45, 32, 25, 28, 1, 
2020/10/19, 50, 32, 22, 23, , 
2020/10/20, 68, 18, 22, 14, , 
2020/10/21, 49, 18, 18, 16, , 
2020/10/22, 51, 11, 21, 19, , 
2020/10/23, 30, 13, 23, 16, , 
2020/10/24, 34, 10, 24, 8, , 
2020/10/25, 26, 7, 21, 17, , 
2020/10/26, 14, 12, 20, 16, , 
2020/10/27, 26, 17, 11, 21, , 
2020/10/28, 36, 25, 12, 24, 1, 
2020/10/29, 59, 27, 13, 29, 1, 
2020/10/30, 62, 23, 19, 24, 1, 
2020/10/31, 57, 33, 22, 25, 1, 
2020/11/1, 80, 32, 17, 22, 1, 
2020/11/2, 83, 25, 19, 22, 1, 
2020/11/3, 68, 8, 21, 16, 1, 
2020/11/4, 16, 12, 18, 22, 1, 
2020/11/5, 35, 52, 18, 16, , 
2020/11/6, 72, 16, 24, 12, , 
2020/11/7, 41, 13, 24, 18, , 
