date, pm25, pm10, o3, no2, so2, co
2021/2/1, 18, 5, , 9, , 
2021/2/2, 16, 9, , 16, , 
2021/2/3, 29, 14, , 22, , 
2021/2/4, 39, 27, , 20, , 
2021/2/5, 51, 10, , 16, , 
2021/2/6, 28, 5, , 7, , 
2021/2/7, 16, 2, , 7, , 
2021/2/8, 10, , , , , 
2021/1/4, 25, 17, , 28, , 
2021/1/5, 44, 18, , 24, , 
2021/1/6, 48, 11, , 22, , 
2021/1/7, 34, 8, , 17, , 
2021/1/8, 25, 5, , 9, , 
2021/1/9, 20, 6, , 10, , 
2021/1/10, 23, 15, , 22, , 
2021/1/11, 53, 26, , 30, , 
2021/1/12, 78, 38, , 44, , 
2021/1/13, 107, 43, , 50, , 
2021/1/14, 118, 45, , 55, , 
2021/1/15, 123, 45, , 50, , 
2021/1/16, 122, 38, , 42, , 
2021/1/17, 104, 34, , 45, , 
2021/1/18, 94, 22, , 37, , 
2021/1/19, 68, 21, , 37, , 
2021/1/20, 67, 2, , 9, , 
2021/1/21, 9, 5, , 5, , 
2021/1/22, 16, , , , , 
2021/1/24, 27, 4, , 9, , 
2021/1/25, 14, 6, , 10, , 
2021/1/26, 21, 10, , 17, , 
2021/1/27, 30, 8, , 12, , 
2021/1/28, 29, 11, , 12, , 
2021/1/29, 38, 4, , 4, , 
2021/1/30, 12, 5, , 4, , 
2021/1/31, 13, 7, , 8, , 
2020/10/1, 40, 5, , 11, , 
2020/10/2, 19, 5, , 11, , 
2020/10/3, 17, 5, , 10, , 
2020/10/4, 18, 7, , 13, , 
2020/10/5, 26, 11, , 22, , 
2020/10/6, 37, 13, , 27, , 
2020/10/7, 44, 16, , 30, , 
2020/10/8, 53, 17, , 30, , 
2020/10/9, 58, 13, , 20, , 
2020/10/10, 47, 4, , 12, , 
2020/10/11, 15, 6, , 16, , 
2020/10/12, 22, 13, , 25, , 
2020/10/13, 42, 9, , 18, , 
2020/10/14, 25, 14, , 25, , 
2020/10/15, 33, 13, , 27, , 
2020/10/16, 34, 21, , 29, , 
2020/10/17, 49, 20, , 28, , 
2020/10/18, 51, 29, , 32, , 
2020/10/19, 57, 23, , 24, , 
2020/10/20, 51, 9, , 20, , 
2020/10/21, 27, 11, , 20, , 
2020/10/22, 36, 10, , 20, , 
2020/10/23, 33, 13, , 18, , 
2020/10/24, 43, 7, , 13, , 
2020/10/25, 26, 6, , 15, , 
2020/10/26, 23, 8, , 21, , 
2020/10/27, 26, 16, , 25, , 
2020/10/28, 48, 22, , 27, , 
2020/10/29, 64, 25, , 29, , 
2020/10/30, 71, 26, , 27, , 
2020/10/31, 72, 27, , 25, , 
2020/11/1, 76, 22, , 24, , 
2020/11/2, 67, 17, , 23, , 
2020/11/3, 52, 5, , 20, , 
2020/11/4, 17, 8, , 24, , 
2020/11/5, 28, 36, , 20, , 
2020/11/6, 50, 8, , 18, , 
2020/11/7, 24, 13, , 22, , 
2020/11/8, 39, 15, , 24, , 
2020/11/9, 49, 16, , 24, , 
2020/11/10, 48, 21, , 27, , 
2020/11/11, 58, 23, , 28, , 
2020/11/12, 61, 20, , 28, , 
2020/11/13, 55, 22, , 24, , 
2020/11/14, 63, 14, , 16, , 
2020/11/15, 45, 16, , 23, , 
2020/11/16, 46, 23, , 22, , 
2020/11/17, 62, 20, , 22, , 
2020/11/18, 59, 21, , 22, , 
2020/11/19, 53, 14, , 26, , 
2020/11/20, 38, 16, , 22, , 
2020/11/21, 47, 18, , 23, , 
2020/11/22, 52, 26, , 29, , 
2020/11/23, 66, 29, , 31, , 
2020/11/24, 71, 25, , 25, , 
2020/11/25, 63, 17, , 26, , 
2020/11/26, 47, 12, , 27, , 
2020/11/27, 38, 14, , 20, , 
2020/11/28, 44, 15, , 19, , 
2020/11/29, 50, 20, , 26, , 
2020/11/30, 54, 17, , 26, , 
2020/12/1, 48, 11, , 26, , 
2020/12/2, 30, 14, , 22, , 
2020/12/3, 36, 5, , 10, , 
2020/12/4, 16, 3, , 8, , 
2020/12/5, 11, 5, , 6, , 
2020/12/6, 14, 4, , 5, , 
2020/12/7, 14, 3, , 5, , 
2020/12/8, 11, 5, , 13, , 
2020/12/9, 15, 6, , 11, , 
2020/12/10, 20, 3, , 7, , 
2020/12/11, 9, 8, , 7, , 
2020/12/12, 18, 15, , 18, , 
2020/12/13, 40, 15, , 19, , 
2020/12/14, 42, 8, , 14, , 
2020/12/15, 21, 13, , 27, , 
2020/12/16, 35, 18, , 27, , 
2020/12/17, 49, 21, , 24, , 
2020/12/18, 61, 13, , 15, , 
2020/12/19, 44, 13, , 18, , 
2020/12/20, 40, 18, , 21, , 
2020/12/21, 51, 18, , 23, , 
2020/12/22, 51, 14, , 20, , 
2020/12/23, 45, 13, , 15, , 
2020/12/24, 45, 7, , 13, , 
2020/12/25, 22, 13, , 25, , 
2020/12/26, 37, 19, , 27, , 
2020/12/27, 58, , , , , 
2020/12/31, 19, 3, , 6, , 
2021/1/1, 12, 6, , 14, , 
2021/1/2, 19, 9, , 18, , 
2021/1/3, 29, 8, , 17, , 
2020/7/1, 41, 10, , 12, , 
2020/7/2, 27, 8, , 10, , 
2020/7/3, 22, 11, , 46, , 
2020/7/4, 30, 11, , 6, , 
2020/7/5, 21, 10, , 17, , 
2020/7/6, 31, 13, , 15, , 
2020/7/7, 37, 20, , 23, , 
2020/7/8, 49, , , , , 
2020/7/10, 36, 22, , 19, , 
2020/7/11, 55, 14, , 9, , 
2020/7/12, 38, 12, , 17, , 
