date, pm25, pm10, o3, no2, so2, co
2021/2/1, 31, 14, 22, 15, 1, 
2021/2/2, 36, 16, 18, 20, , 
2021/2/3, 43, 20, 23, 23, 1, 
2021/2/4, 52, 39, 21, 21, 1, 
2021/2/5, 61, 22, 24, 19, 1, 
2021/2/6, 46, 10, 27, 10, 1, 
2021/2/7, 28, 6, 23, 9, , 
2021/2/8, 24, , , , , 
2021/1/4, 22, 17, 15, 18, , 
2021/1/5, 50, 19, 20, 16, , 
2021/1/6, 54, 8, 19, 12, , 
2021/1/7, 30, 7, 24, 8, , 
2021/1/8, 27, 7, 25, 10, , 
2021/1/9, 28, 8, , 12, , 
2021/1/10, 35, 18, , 28, , 
2021/1/11, 61, 34, , 45, , 
2021/1/12, 95, 47, , 58, , 
2021/1/13, 129, 50, , 65, , 
2021/1/14, 129, 51, , 67, , 
2021/1/15, 138, 58, , 72, , 
2021/1/16, 147, 52, 2, 65, 1, 
2021/1/17, 136, 42, 11, 46, 17, 
2021/1/18, 113, 31, 10, 42, , 
2021/1/19, 84, 26, 6, 38, , 
2021/1/20, 77, 10, 24, 16, , 
2021/1/21, 31, 10, 23, 14, 1, 
2021/1/22, 28, 9, 27, 10, , 
2021/1/23, 27, 11, 31, 7, , 
2021/1/24, 25, 10, 22, 13, , 
2021/1/25, 31, 16, 17, 17, 1, 
2021/1/26, 42, 23, 18, 21, 1, 
2021/1/27, 63, 21, 11, 18, 1, 
2021/1/28, 57, 22, 12, 17, , 
2021/1/29, 53, 12, 33, 9, 1, 
2021/1/30, 35, 12, 33, 8, 1, 
2021/1/31, 32, 15, 27, 16, 1, 
2020/10/1, 50, 11, 30, 10, 6, 
2020/10/2, 27, 9, 31, 9, 3, 
2020/10/3, 26, 13, 28, 8, 3, 
2020/10/4, 36, 12, 30, 16, 1, 
2020/10/5, 30, 22, 24, 25, 1, 
2020/10/6, 45, 28, 27, 31, 5, 
2020/10/7, 51, 31, 26, 34, , 
2020/10/8, 59, 32, 37, 34, , 
2020/10/9, 62, 22, 33, 15, , 
2020/10/10, 53, 9, 35, 6, , 
2020/10/11, 23, 10, 37, 8, , 
2020/10/12, 23, 24, 34, 28, , 
2020/10/13, 45, 14, 30, 16, , 
2020/10/14, 31, 14, 30, 19, , 
2020/10/15, 28, 17, 28, 21, , 
2020/10/16, 34, 25, 32, 26, 1, 
2020/10/17, 48, 34, 38, 27, 1, 
2020/10/18, 60, 35, 29, 32, 1, 
2020/10/19, 53, 35, 23, 24, 1, 
2020/10/20, 72, 18, 27, 16, , 
2020/10/21, 50, 18, 22, 17, , 
2020/10/22, 52, 14, 27, 20, , 
2020/10/23, 46, 17, 28, 19, 1, 
2020/10/24, 51, 12, 26, 9, 1, 
2020/10/25, 41, 11, 28, 16, 1, 
2020/10/26, 29, 14, 27, 17, 2, 
2020/10/27, 37, 23, 12, 26, 1, 
2020/10/28, 54, 26, 15, 30, 1, 
2020/10/29, 65, 33, 16, 35, 1, 
2020/10/30, 76, 26, 24, 29, 1, 
2020/10/31, 68, 36, 26, 28, 1, 
2020/11/1, 89, 34, 19, 25, 1, 
2020/11/2, 90, 22, 23, 21, , 
2020/11/3, 63, 10, 23, 16, 1, 
2020/11/4, 29, 13, 19, 22, 1, 
2020/11/5, 42, 57, 20, 18, 1, 
2020/11/6, 77, 18, 28, 14, , 
2020/11/7, 49, 16, 24, 21, 1, 
2020/11/8, 48, 23, 19, 29, 1, 
2020/11/9, 65, 24, 18, 30, 1, 
2020/11/10, 59, 25, 14, 31, 1, 
2020/11/11, 63, 29, 13, 34, 1, 
2020/11/12, 71, 25, 19, 32, 1, 
2020/11/13, 64, 31, 9, 30, 1, 
2020/11/14, 78, 19, 14, 15, 1, 
2020/11/15, 58, 26, 16, 27, 1, 
2020/11/16, 67, 33, 7, 31, 2, 
2020/11/17, 80, 33, 9, 30, 1, 
2020/11/18, 75, 33, 17, 31, 2, 
2020/11/19, 71, 14, 22, 27, 1, 
2020/11/20, 36, 16, 23, 27, 1, 
2020/11/21, 51, 23, 20, 29, 1, 
2020/11/22, 62, 32, 10, 40, 1, 
2020/11/23, 72, 37, 9, 40, 2, 
2020/11/24, 77, 38, 14, 34, 2, 
2020/11/25, 81, 24, 22, 27, 1, 
2020/11/26, 60, 17, 16, 29, 1, 
2020/11/27, 47, 17, 20, 22, 1, 
2020/11/28, 51, 20, 18, 22, , 
2020/11/29, 60, 21, 13, 30, 1, 
2020/11/30, 53, 14, 17, 28, 1, 
2020/12/1, 36, 9, 27, 25, 1, 
2020/12/2, 22, 16, 25, 27, , 
2020/12/3, 39, 12, 27, 19, 1, 
2020/12/4, 33, 8, 26, 14, 1, 
2020/12/5, 24, 9, 27, 13, 1, 
2020/12/6, 26, 10, 30, 11, 1, 
2020/12/7, 31, 8, 29, 12, 1, 
2020/12/8, 24, 13, 27, 21, 1, 
2020/12/9, 30, 13, 24, 17, 1, 
2020/12/10, 34, 13, 30, 13, 1, 
2020/12/11, 39, 13, 31, 14, 1, 
2020/12/12, 31, 22, 18, 23, 1, 
2020/12/13, 56, 25, 15, 26, 1, 
2020/12/14, 58, 16, 27, 20, 1, 
2020/12/15, 40, 19, 14, 31, 1, 
2020/12/16, 49, 28, 11, 32, 2, 
2020/12/17, 63, 36, 3, 33, 2, 
2020/12/18, 76, 20, 18, 19, , 
2020/12/19, 61, 18, 18, 20, 1, 
2020/12/20, 54, 33, 9, 26, 2, 
2020/12/21, 67, 32, 3, 27, 1, 
2020/12/22, 68, 26, 21, 25, 1, 
2020/12/23, 63, 19, 20, 16, , 
2020/12/24, 61, 9, 24, 10, 1, 
2020/12/25, 37, 14, 21, 22, 1, 
2020/12/26, 44, 13, 21, 20, 1, 
2020/12/27, 38, 6, 26, 14, 1, 
2020/12/28, 15, 8, 17, 16, , 
2020/12/29, 17, 9, 29, 17, 1, 
2020/12/30, 22, 12, 24, 20, 1, 
2020/12/31, 35, 8, 29, 10, 1, 
