date, pm25, pm10, o3, no2, so2, co
2021/2/1, 22, 13, , 14, , 
2021/2/2, 32, 16, , 19, , 
2021/2/3, 42, 20, , 18, , 
2021/2/4, 50, 35, , 14, , 
2021/2/5, 54, 20, , 15, , 
2021/2/6, 43, 9, , 7, , 
2021/2/7, 23, 4, , 8, , 
2021/2/8, 19, , , , , 
2021/1/4, 28, 18, , 26, , 
2021/1/5, 43, 15, , 16, , 
2021/1/6, 40, 9, , 13, , 
2021/1/7, 27, 7, , 10, , 
2021/1/8, 23, 6, , 7, , 
2021/1/9, 27, 7, , 9, , 
2021/1/10, 25, 9, , 14, , 
2021/1/11, 31, 31, , 34, , 
2021/1/12, 83, 43, , 48, , 
2021/1/13, 110, 43, , 57, , 
2021/1/14, 110, 44, , 57, , 
2021/1/15, 113, 55, , 69, , 
2021/1/16, 142, 45, , 50, , 
2021/1/17, 116, 31, , 43, , 
2021/1/18, 79, 24, , 34, , 
2021/1/19, 69, 24, , 36, , 
2021/1/20, 68, 9, , 15, , 
2021/1/21, 29, 8, , 13, , 
2021/1/22, 22, 8, , 7, , 
2021/1/23, 22, 11, , 7, , 
2021/1/24, 22, 8, , 11, , 
2021/1/25, 27, 15, , 16, , 
2021/1/26, 44, 22, , 19, , 
2021/1/27, 56, 20, , 17, , 
2021/1/28, 54, 22, , 16, , 
2021/1/29, 53, 9, , 7, , 
2021/1/30, 23, 12, , 6, , 
2021/1/31, 30, 14, , 11, , 
2020/10/1, 32, 10, , 9, , 
2020/10/2, 21, 7, , 6, , 
2020/10/3, 17, 9, , 6, , 
2020/10/4, 26, 9, , 14, , 
2020/10/5, 14, 13, , 21, , 
2020/10/6, 27, 13, , 22, , 
2020/10/7, 31, 14, , 25, , 
2020/10/8, 35, 20, , 28, , 
2020/10/9, 49, 10, , 8, , 
2020/10/10, 30, 6, , 4, , 
2020/10/11, 15, 4, , 6, , 
2020/10/12, 9, 15, , 24, , 
2020/10/13, 32, 9, , 15, , 
2020/10/14, 23, 8, , 17, , 
2020/10/15, 17, 11, , 20, , 
2020/10/16, 31, 14, , 22, , 
2020/10/17, 40, 14, , 16, , 
