date,pm10,no2,year,month,day,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,week,season,season_name,estado_trafico,diadelasemana,findesemana
2018-01-01,10.0,24.0,2018,1,1,12.8,0.0,10.2,10.2,31.0,4.2,18.1,5.1,1027.2,1017.9,1,1,Winter,1.5016106301590495,0,0
2018-01-02,11.0,10.0,2018,1,2,14.6,0.0,11.4,11.4,30.0,3.3,10.3,3.1,1025.4,1022.2,1,1,Winter,1.855360997841209,1,0
2018-01-03,10.0,7.0,2018,1,3,17.9,0.0,14.0,14.0,31.0,3.9,18.3,1.9,1023.0,1018.7,1,1,Winter,1.9146625914903883,2,0
2018-01-04,11.0,14.0,2018,1,4,19.2,0.0,16.4,16.4,31.0,5.0,20.0,5.9,1019.0,1015.1,1,1,Winter,1.9175872208535325,3,0
2018-01-05,10.0,20.0,2018,1,5,16.4,0.0,13.7,13.7,30.0,3.3,13.3,6.4,1015.2,1004.6,1,1,Winter,1.9331711273317116,4,0
2018-01-06,15.0,10.0,2018,1,6,12.4,0.4,10.0,10.0,9.0,7.5,18.9,0.7,1004.6,997.9,1,1,Winter,1.6747435443933498,5,1
2018-01-07,22.0,23.0,2018,1,7,11.8,4.6,8.4,8.4,21.0,3.6,15.0,0.0,1007.8,998.5,1,1,Winter,1.6262537392222418,6,1
2018-01-08,15.0,16.0,2018,1,8,10.8,0.0,7.0,7.0,1.0,3.1,6.4,4.3,1013.0,1007.8,2,1,Winter,1.9458938749297583,0,0
2018-01-09,13.0,14.0,2018,1,9,10.5,0.0,6.6,6.6,33.0,2.5,9.4,5.9,1017.8,1013.0,2,1,Winter,1.9670284828205336,1,0
2018-01-10,10.0,15.0,2018,1,10,10.6,0.0,6.4,6.4,27.0,3.3,9.7,4.8,1016.7,1012.5,2,1,Winter,2.004945678611967,2,0
2018-01-11,23.712691771269174,23.0,2018,1,11,11.2,0.0,8.7,8.7,33.0,1.4,8.6,6.2,1018.7,1012.2,2,1,Winter,2.004905114184625,3,0
2018-01-12,11.0,28.0,2018,1,12,9.8,0.0,6.0,6.0,35.0,2.8,7.5,6.6,1023.4,1018.7,2,1,Winter,2.0526491726558582,4,0
2018-01-13,19.0,13.0,2018,1,13,9.2,5.9,4.5,4.5,20.0,3.3,11.9,2.0,1022.8,1014.4,2,1,Winter,1.759716362983574,5,1
2018-01-14,15.0,18.0,2018,1,14,10.2,0.0,8.1,8.1,23.0,2.5,7.5,6.0,1020.5,1012.9,2,1,Winter,1.5753141999624836,6,1
2018-01-15,9.0,18.0,2018,1,15,9.6,0.0,6.4,6.4,29.0,3.3,9.7,6.6,1025.0,1020.4,3,1,Winter,1.9759966072943167,0,0
2018-01-16,10.0,4.0,2018,1,16,13.2,0.0,9.4,9.4,32.0,2.8,11.9,6.9,1022.7,1016.1,3,1,Winter,2.0001666111296235,1,0
2018-01-17,12.0,28.0,2018,1,17,13.8,1.4,11.1,11.1,99.0,3.1,16.4,7.0,1025.8,1013.8,3,1,Winter,1.9902104747919729,2,0
