fecha,pm10,no2,intensidad,tmed,tmin,tmax,sol,prec,dir,velmedia,racha,presmax,presmin,season,season_name,year,month,weekday,weekday-type,weekday-type-bool,month-year
2018-01-01,8.0,15.0,131.0,6.9,1.7,11.6,5.9,0.0,26.0,3.1,10.0,953.25,950.0,1,Winter,2018,1,0,working day,0,1-2018
2018-01-02,8.5,18.0,256.5,10.4,6.3,13.4,7.0,0.0,29.0,2.8,11.9,953.25,950.9,1,Winter,2018,1,1,working day,0,1-2018
2018-01-03,8.0,16.0,272.5,10.9,7.2,14.6,4.6,0.0,23.0,1.7,8.6,954.15,951.05,1,Winter,2018,1,2,working day,0,1-2018
2018-01-04,5.0,16.5,284.0,11.3,7.9,14.3,5.8,0.0,25.0,2.2,7.8,951.55,942.35,1,Winter,2018,1,3,working day,0,1-2018
2018-01-05,3.0,14.5,272.0,8.2,5.2,11.4,1.6,13.6,22.0,3.1,11.7,942.35,925.0,1,Winter,2018,1,4,working day,0,1-2018
2018-01-06,3.0,14.0,156.0,3.3,1.4,5.3,0.0,21.1,4.0,1.7,8.6,925.0,918.6,1,Winter,2018,1,5,weekend,1,1-2018
2018-01-07,9.5,24.0,145.5,2.2,0.9,3.8,0.0,3.3,12.0,2.8,7.5,928.4,918.45,1,Winter,2018,1,6,weekend,1,1-2018
2018-01-08,16.0,30.0,303.25,3.9,-0.5,8.5,8.5,0.0,26.0,1.4,6.1,936.6,928.25,1,Winter,2018,1,0,working day,0,1-2018
2018-01-09,10.0,24.5,307.0,1.5,-1.5,4.5,0.0,2.2,21.0,1.1,4.7,940.2,935.9,1,Winter,2018,1,1,working day,0,1-2018
2018-01-10,5.5,19.0,308.0,5.0,2.0,7.0,0.3,0.6,24.0,2.2,10.0,942.15,938.1,1,Winter,2018,1,2,working day,0,1-2018
2018-01-11,13.0,30.0,312.75,5.7,2.0,9.0,8.6,0.0,29.0,3.3,13.6,945.7,941.35,1,Winter,2018,1,3,working day,0,1-2018
2018-01-12,16.5,31.0,324.75,3.8,-0.3,9.0,6.7,0.0,28.0,1.4,6.4,946.8,942.95,1,Winter,2018,1,4,working day,0,1-2018
2018-01-13,7.0,15.0,208.0,3.2,1.5,4.9,1.1,6.0,26.0,1.1,7.2,943.15,937.45,1,Winter,2018,1,5,weekend,1,1-2018
2018-01-14,12.5,25.0,154.0,4.6,1.5,7.4,5.2,0.0,23.0,1.9,6.1,943.3,938.45,1,Winter,2018,1,6,weekend,1,1-2018
2018-01-15,16.0,28.0,302.0,3.8,-1.1,8.7,8.1,0.0,23.0,1.1,6.4,948.8,943.1,1,Winter,2018,1,0,working day,0,1-2018
2018-01-16,14.0,25.5,304.0,7.6,1.8,13.5,9.3,0.0,25.0,1.25,7.65,949.95,946.65,1,Winter,2018,1,1,working day,0,1-2018
2018-01-17,16.0,35.0,312.0,9.1,4.15,14.1,9.3,0.0,28.0,1.9500000000000002,10.25,947.5999999999999,944.8499999999999,1,Winter,2018,1,2,working day,0,1-2018
2018-01-18,20.5,40.0,313.25,7.8,2.2,15.0,9.4,0.0,10.0,1.4,4.7,947.3,942.0,1,Winter,2018,1,3,working day,0,1-2018
2018-01-19,17.5,31.5,322.0,8.9,2.8,15.4,8.8,0.0,12.0,1.1,5.3,946.45,940.9,1,Winter,2018,1,4,working day,0,1-2018
2018-01-20,9.5,22.0,208.0,8.1,3.6,13.4,2.0,0.0,33.0,1.9,7.8,948.6,945.95,1,Winter,2018,1,5,weekend,1,1-2018
2018-01-21,14.5,26.0,158.5,11.4,5.8,18.3,9.4,0.0,33.0,1.1,8.3,950.7,948.25,1,Winter,2018,1,6,weekend,1,1-2018
2018-01-22,16.0,32.5,299.0,9.75,4.5,14.95,9.2,0.0,52.5,0.8500000000000001,5.55,950.2,947.55,1,Winter,2018,1,0,working day,0,1-2018
2018-01-23,23.5,32.0,304.0,10.3,3.75,16.799999999999997,8.7,0.0,2.5,1.25,5.15,949.9,947.6,1,Winter,2018,1,1,working day,0,1-2018
2018-01-24,24.5,28.5,306.0,9.1,3.4,15.0,8.8,0.0,24.0,1.1,3.9,948.9,945.2,1,Winter,2018,1,2,working day,0,1-2018
2018-01-25,4.5,18.5,308.25,5.8,3.0,8.5,0.4,3.1,36.0,1.9,9.2,945.35,937.2,1,Winter,2018,1,3,working day,0,1-2018
2018-01-26,4.0,12.5,319.0,5.9,2.6,9.2,8.9,0.0,19.0,3.9,13.9,947.9,938.35,1,Winter,2018,1,4,working day,0,1-2018
2018-01-27,5.0,11.5,202.0,6.8,2.2,10.5,8.1,0.0,4.0,3.3,13.3,952.3,947.4,1,Winter,2018,1,5,weekend,1,1-2018
2018-01-28,15.0,24.5,155.5,8.4,3.5,14.0,8.2,0.0,5.0,4.7,15.0,956.7,951.15,1,Winter,2018,1,6,weekend,1,1-2018
2018-01-29,17.5,33.5,301.5,9.0,4.0,14.0,9.4,0.0,6.0,1.1,6.1,956.5,951.1,1,Winter,2018,1,0,working day,0,1-2018
2018-01-30,20.0,38.5,303.0,7.9,2.4,13.4,9.2,0.0,5.0,1.4,5.6,952.15,946.45,1,Winter,2018,1,1,working day,0,1-2018
2018-01-31,20.0,36.0,308.0,7.6,1.7,13.9,9.2,0.0,27.0,0.8,4.2,947.55,938.75,1,Winter,2018,1,2,working day,0,1-2018
2018-02-01,5.0,20.0,311.5,6.3,0.6,11.7,4.0,0.1,32.0,2.8,13.3,938.75,928.6,1,Winter,2018,2,3,working day,0,2-2018
2018-02-02,7.0,18.5,321.5,3.6,-1.0,8.2,9.4,0.0,99.0,2.8,13.3,939.2,930.2,1,Winter,2018,2,4,working day,0,2-2018
2018-02-03,5.0,15.0,205.0,5.2,0.2,10.6,6.1,2.3,28.0,3.1,11.1,940.8,933.75,1,Winter,2018,2,5,weekend,1,2-2018
2018-02-04,4.5,19.5,157.5,3.0,0.8,5.3,0.0,17.3,4.0,2.2,10.6,933.75,928.6,1,Winter,2018,2,6,weekend,1,2-2018
2018-02-05,7.0,19.5,274.5,1.6,0.6,2.6,0.0,13.9,4.0,2.2,9.4,929.8,926.2,1,Winter,2018,2,0,working day,0,2-2018
2018-02-06,8.0,23.0,302.75,4.0,0.5,7.5,6.9,0.0,1.0,2.8,9.2,933.65,929.2,1,Winter,2018,2,1,working day,0,2-2018
2018-02-07,9.5,26.0,308.5,2.2,-2.3,6.8,9.3,0.0,6.0,2.8,9.2,939.6,933.6,1,Winter,2018,2,2,working day,0,2-2018
2018-02-08,18.0,35.5,311.0,2.1,-2.9,7.1,8.5,0.0,5.0,1.7,7.5,941.2,939.15,1,Winter,2018,2,3,working day,0,2-2018
2018-02-09,6.5,19.0,320.5,3.1,-3.0,9.0,6.3,0.0,7.0,0.8,7.5,942.95,939.75,1,Winter,2018,2,4,working day,0,2-2018
2018-02-10,13.0,24.5,205.5,5.3,0.4,10.2,10.0,0.0,5.0,1.9,9.2,943.8,941.2,1,Winter,2018,2,5,weekend,1,2-2018
2018-02-11,6.5,21.0,158.0,7.5,0.7,15.2,9.1,0.1,28.0,3.1,11.7,943.4,939.55,1,Winter,2018,2,6,weekend,1,2-2018
2018-02-12,11.0,24.0,300.25,6.6,2.5,10.5,7.0,0.0,31.0,1.7,9.7,942.3,938.85,1,Winter,2018,2,0,working day,0,2-2018
2018-02-13,7.5,17.5,308.0,4.2,-0.8,9.3,5.7,0.0,24.0,3.6,13.6,942.2,938.7,1,Winter,2018,2,1,working day,0,2-2018
2018-02-14,15.0,24.0,314.0,8.2,5.6,10.5,0.9,0.0,25.0,3.1,11.4,943.75,939.7,1,Winter,2018,2,2,working day,0,2-2018
2018-02-15,20.5,23.5,295.0,8.4,5.6,10.9,0.0,0.0,25.0,1.4,7.2,947.35,943.6,1,Winter,2018,2,3,working day,0,2-2018
2018-02-16,21.0,19.0,298.5,11.0,6.8,15.1,6.4,0.0,24.0,1.7,5.0,946.9,942.4,1,Winter,2018,2,4,working day,0,2-2018
2018-02-17,7.5,13.0,192.0,10.0,5.6,14.7,3.6,0.0,7.0,1.7,10.8,945.6,942.75,1,Winter,2018,2,5,weekend,1,2-2018
