fecha,pm10,no2,intensidad,PCA1,PCA2,PCA3,PCA4
2018-01-01,8.0,15.0,131.0,4.941633324209017,-17.443369918616543,-10.004505888295363,1.432410080812763
2018-01-02,8.5,18.0,256.5,7.1256004924457965,-18.549616859974964,-5.899523322521879,2.0389629398587394
2018-01-03,8.0,16.0,272.5,1.132189305160537,-18.5285488768749,-7.496771016604463,3.314383959813387
2018-01-04,5.0,16.5,284.0,4.336406867216112,-11.549846295464492,-5.651235838909207,1.47816475377804
2018-01-05,3.0,14.5,272.0,6.058428828370904,10.994851338623498,-9.349725862091042,9.8385728878087
2018-01-06,3.0,14.0,156.0,-7.815412141534833,30.474339045476604,-15.702129060886021,11.829523890361697
2018-01-07,9.5,24.0,145.5,-0.6978173087453642,23.404412765731234,-13.948094800406597,-2.9597944492626955
2018-01-08,16.0,30.0,303.25,9.666915876912247,6.666107196287098,-8.840765785251905,-5.449409453919132
2018-01-09,10.0,24.5,307.0,4.413588010455825,1.419765730248816,-15.71103973243614,0.5996966949140952
2018-01-10,5.5,19.0,308.0,6.413623360219389,-1.14968767947222,-11.774518637646658,0.3241948293057075
2018-01-11,13.0,30.0,312.75,9.935282938930607,-6.922866751067897,-8.094524109517106,-2.354319038323617
2018-01-12,16.5,31.0,324.75,8.752866838040521,-9.868759718124078,-11.291820310065232,-1.2211688244905285
2018-01-13,7.0,15.0,208.0,8.595738760796708,-1.3315383949816966,-13.725844907874725,4.536258440500209
2018-01-14,12.5,25.0,154.0,4.834710054466555,-3.5099393109497083,-11.140768778216234,-1.7389727213806019
2018-01-15,16.0,28.0,302.0,3.601969268539409,-10.416350114687459,-11.937090826924985,-1.5910281987514139
2018-01-16,14.0,25.5,304.0,4.26750991205378,-14.022830613798433,-8.0239510221306,-0.4306238015881816
2018-01-17,16.0,35.0,312.0,7.5118492630516,-11.377347646977627,-5.58646668825275,-0.7339743057341369
2018-01-18,20.5,40.0,313.25,-9.51054086223183,-6.930284079941475,-9.82124944491252,-1.761234655746289
2018-01-19,17.5,31.5,322.0,-7.4693898398636644,-5.8853811465844466,-8.465640564339255,-1.474735937606039
2018-01-20,9.5,22.0,208.0,12.662165009742854,-13.236976937822305,-8.295794775391682,2.4367263099926055
2018-01-21,14.5,26.0,158.5,11.086066910898703,-17.174043585794024,-3.3560830688202925,1.0805452930503539
2018-01-22,16.0,32.5,299.0,30.263689726143397,-20.64987205456141,-1.8438283396593649,1.3846128401479938
2018-01-23,23.5,32.0,304.0,-18.14435587370246,-10.908862761358826,-9.584213880788809,0.03956714060545969
2018-01-24,24.5,28.5,306.0,3.2177803990887073,-12.999489020333906,-6.985110895669814,0.007664558851846484
2018-01-25,4.5,18.5,308.25,17.71866077732323,-4.492031366901696,-9.750637316147834,3.453555516438344
2018-01-26,4.0,12.5,319.0,0.43136955361850055,-4.15217242115261,-9.525685606513372,-2.876336771550857
2018-01-27,5.0,11.5,202.0,-15.878040017590244,-10.372925146568404,-12.501684015444539,-0.8757351063108642
2018-01-28,15.0,24.5,155.5,-16.02992013649318,-15.462761017491898,-11.498564048434982,0.519952980972764
2018-01-29,17.5,33.5,301.5,-15.66595297282055,-17.843377803595168,-10.980509152535173,0.9537041476764192
2018-01-30,20.0,38.5,303.0,-15.390521939752599,-11.789485653161357,-11.420252873278853,-0.5524018911996111
2018-01-31,20.0,36.0,308.0,7.368668349364213,-8.173288024929132,-7.194338965982279,-1.516797259154196
