fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,month,week,year,season,season_name
2018-01-01,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,13.2,0.0,9.7,9.7,29.0,6.1,18.1,5.1,1027.2,1017.9,1,1,2018,1,Winter
2018-01-02,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,13.6,0.0,8.3,8.3,99.0,2.5,7.8,3.1,1025.4,1022.2,1,1,2018,1,Winter
2018-01-03,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,16.8,0.0,10.6,10.6,32.0,7.5,16.9,1.9,1023.0,1018.7,1,1,2018,1,Winter
2018-01-04,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,18.9,0.0,14.3,14.3,31.0,5.6,18.6,5.9,1019.0,1015.1,1,1,2018,1,Winter
2018-01-05,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,15.0,0.0,10.0,10.0,27.0,4.4,11.7,6.4,1015.2,1004.6,1,1,2018,1,Winter
2018-01-06,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.8,0.1,7.5,7.5,8.0,7.8,16.4,0.7,1004.6,997.9,1,1,2018,1,Winter
2018-01-07,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.2,6.8,6.7,6.7,19.0,3.3,13.3,0.0,1007.8,998.5,1,1,2018,1,Winter
2018-01-08,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.7,0.0,5.5,5.5,35.0,5.3,11.4,4.3,1013.0,1007.8,1,2,2018,1,Winter
2018-01-09,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.6,0.0,4.6,4.6,24.0,3.6,9.2,5.9,1017.8,1013.0,1,2,2018,1,Winter
2018-01-10,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.6,0.0,6.4,6.4,27.0,2.5,9.7,4.8,1016.7,1012.5,1,2,2018,1,Winter
2018-01-11,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,11.0,0.0,7.8,7.8,35.0,4.7,11.4,6.2,1018.7,1012.2,1,2,2018,1,Winter
2018-01-12,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.2,0.0,5.0,5.0,36.0,3.9,9.7,6.6,1023.4,1018.7,1,2,2018,1,Winter
2018-01-13,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.4,10.3,2.8,2.8,22.0,3.9,12.8,2.0,1022.8,1014.4,1,2,2018,1,Winter
2018-01-14,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.4,0.0,6.5,6.5,22.0,3.3,10.8,6.0,1020.5,1012.9,1,2,2018,1,Winter
2018-01-15,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.3,0.0,4.8,4.8,26.0,3.1,9.7,6.6,1025.0,1020.4,1,3,2018,1,Winter
