fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,month,week,year,season,season_name
2020-01-01,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.2,0.0,4.9,4.9,99.0,2.5,7.2,4.9,1033.0,1030.4,1,1,2020,1,Winter
2020-01-02,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.4,0.0,4.1,4.1,36.0,4.7,9.7,1.5,1032.8,1029.8,1,1,2020,1,Winter
2020-01-03,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,7.8,0.0,4.5,4.5,36.0,5.8,10.3,1.6,1031.8,1028.9,1,1,2020,1,Winter
2020-01-04,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.4,0.0,3.9,3.9,99.0,5.0,10.8,5.3,1032.6,1028.9,1,1,2020,1,Winter
2020-01-05,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.0,0.0,4.9,4.9,1.0,5.0,12.5,5.5,1029.3,1026.1,1,1,2020,1,Winter
2020-01-06,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.0,0.0,4.1,4.1,99.0,2.2,8.9,5.4,1030.4,1027.1,1,2,2020,1,Winter
2020-01-07,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.0,0.0,4.6,4.6,99.0,3.9,9.7,5.4,1030.7,1027.3,1,2,2020,1,Winter
2020-01-08,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.7,0.0,4.7,4.7,1.0,2.5,8.3,5.3,1031.5,1027.2,1,2,2020,1,Winter
2020-01-09,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,10.2,4.9,5.7,5.7,99.0,4.7,8.3,5.5,1029.9,1023.3,1,2,2020,1,Winter
2020-01-10,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,9.6,16.2,6.8,6.8,36.0,3.3,14.4,0.0,1028.6,1023.0,1,2,2020,1,Winter
2020-01-11,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.2,0.0,4.2,4.2,99.0,4.4,9.7,5.7,1031.2,1028.2,1,2,2020,1,Winter
2020-01-12,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.6,0.0,2.4,2.4,99.0,3.3,9.2,5.8,1030.9,1027.5,1,2,2020,1,Winter
2020-01-13,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,7.9,0.0,2.9,2.9,25.0,4.2,9.2,5.0,1027.5,1021.3,1,3,2020,1,Winter
2020-01-14,0076,BARCELONA AEROPUERTO,BARCELONA,4.0,8.6,0.0,2.7,2.7,99.0,4.2,9.7,5.9,1022.7,1020.1,1,3,2020,1,Winter
