fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,month,week,year,season,season_name
2018-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,6.2,0.0,1.5,11.0,26.0,5.3,11.9,5.9,952.2,949.3,1,1,2018,1,Winter
2018-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,9.4,0.0,5.5,13.2,29.0,4.2,11.9,7.0,952.2,949.6,1,1,2018,1,Winter
2018-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,10.9,0.0,7.2,14.6,26.0,5.3,10.3,4.6,952.9,949.8,1,1,2018,1,Winter
2018-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,11.3,0.0,8.3,14.3,25.0,4.7,10.3,5.8,949.8,941.0,1,1,2018,1,Winter
2018-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.2,13.6,5.1,11.4,22.0,5.3,12.5,1.6,941.0,923.9,1,1,2018,1,Winter
2018-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.2,21.1,1.4,5.1,35.0,0.6,7.2,0.0,923.9,917.2,1,1,2018,1,Winter
2018-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,2.2,3.3,0.9,3.5,11.0,3.3,8.9,0.0,927.3,917.4,1,1,2018,1,Winter
2018-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,4.0,0.0,-0.5,8.5,26.0,0.8,5.3,8.5,935.4,927.2,1,2,2018,1,Winter
2018-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,1.5,1.7,-1.5,4.5,21.0,1.1,5.3,0.0,938.8,934.6,1,2,2018,1,Winter
2018-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,5.0,0.6,2.0,8.0,24.0,4.2,12.5,0.3,941.3,936.7,1,2,2018,1,Winter
2018-01-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,5.5,0.0,2.0,9.0,29.0,5.3,14.4,8.6,944.8,940.1,1,2,2018,1,Winter
2018-01-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,4.6,0.0,0.0,9.2,27.0,1.4,7.8,6.7,945.8,941.6,1,2,2018,1,Winter
2018-01-13,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.2,5.7,1.5,4.9,24.0,1.9,10.8,1.1,941.8,935.9,1,2,2018,1,Winter
2018-01-14,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,5.2,0.0,1.5,8.8,25.0,2.5,7.8,5.2,942.2,937.1,1,2,2018,1,Winter
2018-01-15,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,3.8,0.0,-1.1,8.7,23.0,2.2,8.3,8.1,947.7,941.8,1,3,2018,1,Winter
2018-01-16,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.0,0.0,1.6,14.5,24.0,1.4,8.9,9.3,948.7,945.5,1,3,2018,1,Winter
2018-01-17,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,9.2,0.0,3.5,15.0,26.0,1.7,11.9,9.3,946.4,943.8,1,3,2018,1,Winter
2018-01-18,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.6,0.0,2.2,15.0,10.0,1.4,4.7,9.4,946.2,940.9,1,3,2018,1,Winter
2018-01-19,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,9.1,0.0,2.8,15.4,12.0,0.8,5.6,8.8,945.5,939.8,1,3,2018,1,Winter
2018-01-20,3196,"MADRID, CUATRO VIENTOS",MADRID,690.0,8.5,0.0,3.6,13.4,33.0,1.9,7.8,2.0,947.6,944.7,1,3,2018,1,Winter
