fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presmax,presmin,month,week,year,season,season_name
2018-01-01,0200E,"BARCELONA, FABRA",BARCELONA,408.0,9.7,0.0,6.2,6.2,27.0,5.0,18.9,7.8,976.8,968.9,1,1,2018,1,Winter
2018-01-02,0200E,"BARCELONA, FABRA",BARCELONA,408.0,12.0,0.0,7.9,7.9,31.0,1.9,17.5,7.5,975.5,972.3,1,1,2018,1,Winter
2018-01-03,0200E,"BARCELONA, FABRA",BARCELONA,408.0,15.3,0.0,11.4,11.4,25.0,5.8,18.3,4.9,974.2,970.8,1,1,2018,1,Winter
2018-01-04,0200E,"BARCELONA, FABRA",BARCELONA,408.0,16.0,0.0,12.3,12.3,34.0,3.9,17.2,8.0,970.8,966.8,1,1,2018,1,Winter
2018-01-05,0200E,"BARCELONA, FABRA",BARCELONA,408.0,13.8,0.0,10.4,10.4,26.0,3.9,14.2,9.1,966.8,957.0,1,1,2018,1,Winter
2018-01-06,0200E,"BARCELONA, FABRA",BARCELONA,408.0,11.8,1.5,9.8,9.8,8.0,5.8,19.2,1.2,957.0,950.8,1,1,2018,1,Winter
2018-01-07,0200E,"BARCELONA, FABRA",BARCELONA,408.0,9.0,6.4,6.2,6.2,18.0,4.4,13.6,0.0,959.1,951.5,1,1,2018,1,Winter
2018-01-08,0200E,"BARCELONA, FABRA",BARCELONA,408.0,7.8,0.0,4.1,4.1,30.0,4.7,11.4,6.1,963.2,959.1,1,2,2018,1,Winter
2018-01-09,0200E,"BARCELONA, FABRA",BARCELONA,408.0,7.2,0.0,2.8,2.8,33.0,4.7,14.2,7.3,967.9,963.2,1,2,2018,1,Winter
2018-01-10,0200E,"BARCELONA, FABRA",BARCELONA,408.0,8.6,0.0,4.6,4.6,25.0,2.5,11.7,7.8,967.2,963.4,1,2,2018,1,Winter
