Fecha,Estado_Actual,diadelasemana,findesemana
2020-01-01,1.4924511111834184,2,0
2020-01-02,1.886083351743317,3,0
2020-01-03,1.9329088163854788,4,0
2020-01-04,1.752340179739395,5,1
2020-01-05,1.6698790722707166,6,1
2020-01-06,1.7240301580483182,0,0
2020-01-07,1.9266159595049426,1,0
2020-01-08,1.971613907628438,2,0
2020-01-09,2.0052080627565068,3,0
2020-01-10,2.0820215087281797,4,0
2020-01-11,1.7935828581684639,5,1
2020-01-12,1.604436686079743,6,1
2020-01-13,1.948058288334936,0,0
2020-01-14,2.001551730826426,1,0
2020-01-15,2.0150656,2,0
2020-01-16,2.0365347533489127,3,0
2020-01-17,2.0845707154318314,4,0
2020-01-18,1.7732691166916188,5,1
2020-01-19,1.5847948859318421,6,1
2020-01-20,2.0173692709632527,0,0
2020-01-21,2.06581048619778,1,0
2020-01-22,2.0068735818261434,2,0
2020-01-23,2.0738965052698313,3,0
2020-01-24,2.100258187253703,4,0
2020-01-25,1.7631769362825078,5,1
2020-01-26,1.5836695904155047,6,1
2020-01-27,2.017240254231758,0,0
2020-01-28,2.0017412094908913,1,0
2020-01-29,2.013405925966458,2,0
2020-01-30,2.043757077602331,3,0
2020-01-31,2.0768472650880514,4,0
2020-02-01,1.7801193506656094,5,1
2020-02-02,1.6580200580295195,6,1
2020-02-03,1.9810881787898549,0,0
2020-02-04,2.0085069466923904,1,0
2020-02-05,2.023342134466001,2,0
2020-02-06,2.0513417552165074,3,0
2020-02-07,2.039323140788741,4,0
2020-02-08,1.735144405570419,5,1
2020-02-09,1.5844476658185906,6,1
2020-02-10,1.982110354152582,0,0
2020-02-11,1.9797558074617083,1,0
2020-02-12,2.00885047090698,2,0
2020-02-13,2.048387714705319,3,0
2020-02-14,2.0914077020054327,4,0
2020-02-15,1.7901690007517332,5,1
2020-02-16,1.6565218044435097,6,1
2020-02-17,1.9804916009230935,0,0
2020-02-18,2.011774611398964,1,0
2020-02-19,2.0276175829809047,2,0
2020-02-20,2.078069152820303,3,0
2020-02-21,2.0769390698701873,4,0
2020-02-22,1.701087034358306,5,1
2020-02-23,1.5543082476029957,6,1
2020-02-24,1.9675697650020982,0,0
2020-02-25,1.9908949530126407,1,0
2020-02-26,2.0059666956985196,2,0
2020-02-27,2.0539660112249303,3,0
