fecha,intensidad,ocupacion,carga
2018-01-01,128.0,1.0,9.0
2018-01-02,177.0,3.0,15.0
2018-01-03,189.0,3.0,16.0
2018-01-04,198.0,3.0,16.0
2018-01-05,201.0,3.0,16.0
2018-01-06,142.0,2.0,10.0
2018-01-07,130.0,2.0,10.0
2018-01-08,204.0,3.0,17.0
2018-01-09,207.0,4.0,18.0
2018-01-10,210.0,4.0,18.0
2018-01-11,216.0,4.0,19.0
2018-01-12,230.0,4.0,20.0
2018-01-13,177.0,2.0,14.0
2018-01-14,143.0,2.0,11.0
2018-01-15,203.0,3.0,18.0
2018-01-16,205.0,4.0,18.0
2018-01-17,212.0,4.0,18.0
2018-01-18,216.0,4.0,19.0
2018-01-19,229.0,4.0,20.0
2018-01-20,178.0,2.0,14.0
2018-01-21,147.0,2.0,11.0
2018-01-22,202.0,3.0,17.0
2018-01-23,205.0,4.0,18.0
2018-01-24,209.0,4.0,18.0
2018-01-25,215.0,4.0,18.0
2018-01-26,228.0,4.0,19.0
2018-01-27,173.0,2.0,13.0
2018-01-28,145.0,2.0,11.0
2018-01-29,204.0,3.0,18.0
2018-01-30,205.0,4.0,18.0
2018-01-31,211.0,4.0,18.0
2018-02-01,215.0,4.0,18.0
2018-02-02,230.0,4.0,19.0
2018-02-03,176.0,2.0,13.0
2018-02-04,149.0,2.0,11.0
2018-02-05,187.0,3.0,16.0
2018-02-06,204.0,4.0,18.0
2018-02-07,210.0,4.0,18.0
2018-02-08,216.0,4.0,18.0
2018-02-09,230.0,4.0,19.0
2018-02-10,176.0,2.0,13.0
2018-02-11,149.0,2.0,11.0
2018-02-12,205.0,3.0,17.0
2018-02-13,208.0,4.0,18.0
2018-02-14,218.0,4.0,19.0
2018-02-15,210.0,3.0,18.0
2018-02-16,213.0,3.0,18.0
2018-02-17,167.0,2.0,13.0
2018-02-18,144.0,2.0,11.0
2018-02-19,216.0,4.0,18.0
2018-02-20,206.0,4.0,18.0
2018-02-21,210.0,4.0,18.0
2018-02-22,215.0,4.0,19.0
2018-02-23,231.0,4.0,19.0
2018-02-24,178.0,2.0,14.0
2018-02-25,149.0,2.0,11.0
2018-02-26,204.0,3.0,18.0
2018-02-27,208.0,4.0,18.0
2018-02-28,215.0,4.0,19.0
2018-03-01,220.0,4.0,19.0
2018-03-02,236.0,4.0,20.0
2018-03-03,181.0,3.0,14.0
2018-03-04,150.0,2.0,11.0
2018-03-05,209.0,4.0,18.0
2018-03-06,208.0,4.0,18.0
2018-03-07,214.0,4.0,18.0
2018-03-08,216.0,4.0,18.0
2018-03-09,235.0,4.0,20.0
2018-03-10,157.0,2.0,12.0
2018-03-11,151.0,2.0,11.0
2018-03-12,219.0,4.0,19.0
2018-03-13,199.0,3.0,17.0
2018-03-14,214.0,4.0,18.0
2018-03-15,222.0,4.0,19.0
2018-03-16,236.0,4.0,20.0
2018-03-17,177.0,2.0,13.0
2018-03-18,153.0,2.0,11.0
2018-03-19,217.0,4.0,18.0
2018-03-20,211.0,4.0,18.0
2018-03-21,215.0,4.0,18.0
2018-03-22,223.0,4.0,19.0
2018-03-23,224.0,4.0,18.0
2018-03-24,160.0,2.0,12.0
2018-03-25,138.0,2.0,10.0
2018-03-26,180.0,3.0,15.0
2018-03-27,179.0,3.0,15.0
2018-03-28,178.0,3.0,15.0
2018-03-29,107.0,1.0,8.0
2018-03-30,96.0,1.0,7.0
2018-03-31,114.0,1.0,8.0
2018-04-01,120.0,1.0,9.0
2018-04-02,198.0,3.0,17.0
2018-04-03,208.0,4.0,18.0
2018-04-04,214.0,4.0,18.0
2018-04-05,222.0,4.0,19.0
2018-04-06,237.0,4.0,20.0
2018-04-07,181.0,3.0,14.0
2018-04-08,155.0,2.0,12.0
2018-04-09,208.0,4.0,18.0
2018-04-10,210.0,4.0,18.0
2018-04-11,215.0,4.0,18.0
2018-04-12,232.0,4.0,19.0
2018-04-13,231.0,4.0,20.0
2018-04-14,179.0,2.0,14.0
2018-04-15,151.0,2.0,11.0
2018-04-16,208.0,4.0,18.0
2018-04-17,208.0,4.0,18.0
2018-04-18,214.0,4.0,18.0
2018-04-19,223.0,4.0,19.0
2018-04-20,234.0,4.0,20.0
2018-04-21,179.0,2.0,14.0
2018-04-22,151.0,2.0,11.0
2018-04-23,210.0,4.0,18.0
2018-04-24,212.0,4.0,18.0
2018-04-25,216.0,4.0,18.0
2018-04-26,222.0,4.0,19.0
2018-04-27,232.0,4.0,20.0
2018-04-28,154.0,2.0,12.0
2018-04-29,122.0,1.0,9.0
2018-04-30,166.0,2.0,14.0
2018-05-01,111.0,1.0,8.0
2018-05-02,125.0,1.0,9.0
2018-05-03,214.0,4.0,18.0
2018-05-04,227.0,4.0,19.0
2018-05-05,183.0,3.0,14.0
2018-05-06,163.0,2.0,12.0
2018-05-07,209.0,4.0,18.0
2018-05-08,212.0,4.0,18.0
2018-05-09,212.0,4.0,18.0
2018-05-10,224.0,4.0,19.0
2018-05-11,233.0,4.0,20.0
2018-05-12,171.0,2.0,13.0
2018-05-13,143.0,2.0,11.0
2018-05-14,206.0,3.0,17.0
2018-05-15,141.0,2.0,11.0
2018-05-16,215.0,4.0,18.0
2018-05-17,219.0,4.0,19.0
2018-05-18,229.0,4.0,19.0
2018-05-19,172.0,2.0,13.0
2018-05-20,148.0,2.0,11.0
2018-05-21,208.0,4.0,18.0
2018-05-22,209.0,4.0,18.0
2018-05-23,212.0,4.0,18.0
2018-05-24,219.0,4.0,19.0
2018-05-25,234.0,4.0,20.0
2018-05-26,171.0,2.0,13.0
2018-05-27,155.0,2.0,12.0
2018-05-28,211.0,4.0,18.0
2018-05-29,210.0,4.0,18.0
2018-05-30,220.0,4.0,19.0
2018-05-31,253.0,4.0,21.0
