fecha,intensidad,ocupacion,carga
2020-01-01,120,1.0,8
2020-01-02,169,3.0,14
2020-01-03,184,3.0,15
2020-01-04,149,2.0,11
2020-01-05,137,2.0,10
2020-01-06,136,2.0,10
2020-01-07,190,3.0,16
2020-01-08,200,3.0,17
2020-01-09,203,3.0,17
2020-01-10,215,4.0,18
2020-01-11,165,2.0,12
2020-01-12,137,2.0,10
2020-01-13,194,3.0,16
2020-01-14,199,3.0,17
2020-01-15,200,3.0,17
2020-01-16,205,3.0,17
2020-01-17,219,4.0,18
2020-01-18,165,2.0,12
2020-01-19,136,2.0,10
2020-01-20,195,3.0,16
2020-01-21,197,3.0,16
2020-01-22,200,3.0,17
2020-01-23,205,3.0,17
2020-01-24,217,4.0,18
2020-01-25,164,2.0,12
2020-01-26,139,2.0,10
2020-01-27,191,3.0,16
2020-01-28,195,3.0,16
2020-01-29,197,3.0,16
2020-01-30,205,3.0,17
2020-01-31,218,4.0,18
2020-02-01,166,2.0,12
2020-02-02,140,2.0,10
2020-02-03,209,3.0,17
2020-02-04,198,3.0,17
2020-02-05,198,3.0,17
2020-02-06,208,3.0,17
2020-02-07,220,4.0,18
2020-02-08,168,2.0,12
2020-02-09,140,2.0,10
2020-02-10,195,3.0,16
2020-02-11,197,3.0,17
2020-02-12,200,3.0,17
2020-02-13,204,3.0,17
2020-02-14,224,4.0,18
2020-02-15,168,2.0,12
2020-02-16,143,2.0,10
2020-02-17,195,3.0,16
2020-02-18,197,3.0,16
2020-02-19,202,3.0,17
2020-02-20,207,3.0,17
2020-02-21,218,4.0,18
2020-02-22,164,2.0,12
2020-02-23,142,2.0,10
2020-02-24,195,3.0,16
2020-02-25,199,3.0,17
2020-02-26,204,3.0,17
2020-02-27,211,4.0,17
2020-02-28,208,3.0,17
2020-02-29,158,2.0,12
2020-03-01,136,2.0,10
2020-03-02,188,3.0,15
2020-03-03,200,3.0,16
2020-03-04,203,3.0,17
2020-03-05,208,3.0,17
2020-03-06,220,4.0,18
2020-03-07,168,2.0,12
2020-03-08,140,2.0,10
2020-03-09,209,3.0,17
2020-03-10,194,3.0,16
2020-03-11,174,3.0,14
2020-03-12,167,3.0,13
2020-03-13,155,2.0,12
2020-03-14,74,1.0,5
2020-03-15,47,0.0,3
2020-03-16,80,1.0,6
2020-03-17,70,1.0,5
2020-03-18,67,1.0,5
2020-03-19,64,1.0,5
2020-03-20,63,1.0,5
2020-03-21,44,0.0,3
2020-03-22,37,0.0,2
2020-03-23,60,1.0,4
2020-03-24,60,1.0,4
2020-03-25,58,1.0,4
2020-03-26,59,1.0,4
2020-03-27,61,1.0,4
2020-03-28,43,0.0,3
2020-03-29,39,0.0,2
2020-03-30,53,1.0,4
2020-03-31,53,1.0,4
2020-04-01,53,1.0,4
2020-04-02,53,1.0,4
2020-04-03,56,1.0,4
2020-04-04,45,0.0,3
2020-04-05,44,0.0,2
2020-04-06,55,0.0,3
2020-04-07,59,1.0,4
2020-04-08,60,1.0,4
2020-04-09,40,0.0,2
2020-04-10,38,0.0,2
2020-04-11,44,0.0,3
2020-04-12,35,0.0,2
