date, pm10, o3, no2, so2, co
2021/2/1, 12, 22, 20, , 
2021/2/2, 21, 17, 21, , 
2021/2/3, 22, 15, 20, , 
2021/2/4, 21, 19, 21, , 
2021/2/5, 19, 21, 14, , 
2021/2/6, 47, 22, 6, , 
2021/2/7, 53, 18, 19, , 
2021/2/8, 10, 16, 11, , 
2021/2/9, 10, , , , 
2021/1/4, 14, 14, 17, , 
2021/1/5, 14, 16, 14, , 
2021/1/6, 11, 13, 20, , 
2021/1/7, 15, 13, 19, , 
2021/1/8, 21, 24, 6, , 
2021/1/9, 15, 24, 12, , 
2021/1/10, 5, 15, 13, , 
2021/1/11, 9, 19, 18, , 
2021/1/12, 12, 22, 17, , 
2021/1/13, 15, 18, 14, , 
2021/1/14, 12, 11, 25, , 
2021/1/15, 14, 20, 16, , 
2021/1/16, 16, 19, 17, , 
2021/1/17, 12, 10, 28, , 
2021/1/18, 18, 22, 20, , 
2021/1/19, 20, 21, 21, , 
2021/1/20, 19, 16, 20, , 
2021/1/21, 18, 25, 12, , 
2021/1/22, 14, 26, 6, , 
2021/1/23, 8, 25, 6, , 
2021/1/24, 8, 24, 11, , 
2021/1/25, 9, 21, 15, , 
2021/1/26, 15, 13, 27, 1, 
2021/1/27, 21, 5, 28, 1, 
2021/1/28, 27, 13, 16, , 
2021/1/29, 19, 26, 10, , 
2021/1/30, 14, 28, 2, , 
2021/1/31, 9, 27, 7, , 
2020/10/1, 21, 20, 17, , 
2020/10/2, 17, 25, 5, , 
2020/10/3, 10, 27, 4, 1, 
2020/10/4, 11, 20, 14, 1, 
2020/10/5, 11, 17, 22, 1, 
2020/10/6, 15, 17, 19, 1, 
2020/10/7, 21, 18, 18, 1, 
2020/10/8, 23, 19, 24, 1, 
2020/10/9, 25, 19, 16, , 
2020/10/10, 22, 24, 9, , 
2020/10/11, 12, 28, 8, , 
2020/10/12, 7, 22, 18, , 
2020/10/13, 11, 17, 16, , 
2020/10/14, 13, 17, 15, , 
2020/10/15, 10, 20, 20, , 
2020/10/16, 14, 26, 24, , 
2020/10/17, 17, 28, 16, , 
2020/10/18, 19, 27, 28, , 
2020/10/19, 18, 36, 26, , 
2020/10/20, 21, 33, 23, , 
2020/10/21, 41, 23, 30, , 
2020/10/22, 69, 25, 17, , 
2020/10/23, 44, 25, 10, , 
2020/10/24, 16, 24, 10, , 
2020/10/25, 12, 23, 9, , 
2020/10/26, 13, 18, 14, , 
2020/10/27, 12, 15, 23, , 
2020/10/28, 18, 20, 25, , 
2020/10/29, 21, 17, 28, , 
2020/10/30, 23, 26, 20, , 
2020/10/31, 30, 28, 16, , 
2020/11/1, 24, 24, 22, , 
2020/11/2, 24, 18, 18, , 
2020/11/3, 25, 13, 16, , 
2020/11/4, 14, 24, 13, , 
2020/11/5, 13, 25, 9, , 
2020/11/6, 17, 25, 10, 1, 
2020/11/7, 22, 21, 15, , 
2020/11/8, 20, 16, 32, , 
2020/11/9, 19, 16, 23, , 
2020/11/10, 22, 20, 20, , 
2020/11/11, 18, 18, 21, , 
2020/11/12, 18, 9, 32, , 
2020/11/13, 23, 9, 18, , 
2020/11/14, 23, , 12, , 
2020/11/15, 20, , 14, , 
2020/11/16, 19, , 21, 1, 
2020/11/17, 22, , 28, , 
2020/11/18, 27, 9, 25, , 
2020/11/19, 29, 15, 19, , 
2020/11/20, 23, 22, 20, , 
2020/11/21, 22, 25, 17, , 
2020/11/22, 22, 20, 26, , 
2020/11/23, 26, 18, 23, , 
2020/11/24, 23, 16, 35, , 
2020/11/25, 25, 25, 20, , 
2020/11/26, 22, 28, 9, , 
2020/11/27, 19, 24, 8, , 
2020/11/28, 12, 20, 14, , 
2020/11/29, 13, 13, 20, , 
2020/11/30, 17, 9, 16, , 
2020/12/1, 17, 13, 17, , 
2020/12/2, 16, 18, 18, , 
2020/12/3, 14, 20, 18, , 
2020/12/4, 13, 20, 14, , 
2020/12/5, 12, 22, 6, , 
2020/12/6, 9, 21, 15, , 
2020/12/7, 10, 21, 8, , 
