date, pm10, o3, no2, so2, co
2021/2/1, 10, 25, 9, , 
2021/2/2, 13, 18, 12, , 
2021/2/3, 13, 15, 18, , 
2021/2/4, 20, 23, 12, , 
2021/2/5, 19, 25, 9, , 
2021/2/6, 48, 22, 4, , 
2021/2/7, 53, 20, 14, , 
2021/2/8, 9, 21, 8, , 
2021/2/9, 10, , , , 
2021/1/4, 7, 19, 8, , 
2021/1/5, 8, 20, 9, , 
2021/1/6, 10, 18, 12, , 
2021/1/7, 11, 21, 11, , 
2021/1/8, 14, 26, 4, , 
2021/1/9, 10, 24, 5, , 
2021/1/10, 5, 18, 5, , 
2021/1/11, 9, 25, 5, , 
2021/1/12, 9, 26, 4, , 
2021/1/13, 8, 21, 4, , 
2021/1/14, 7, 19, 12, , 
2021/1/15, 8, 27, 6, , 
2021/1/16, 9, 24, 9, , 
2021/1/17, 8, 22, 19, , 
2021/1/18, 13, 29, 15, , 
2021/1/19, 15, 24, 16, , 
2021/1/20, 15, 22, 12, , 
2021/1/21, 13, 29, 5, , 
2021/1/22, 12, 27, 2, , 
2021/1/27, 14, 12, 19, , 
2021/1/28, 16, 17, 10, , 
2021/1/29, 13, 29, 6, , 
2021/1/30, 9, 29, , , 
2021/1/31, 6, 30, 2, , 
2020/10/1, 17, 24, 10, , 
2020/10/2, 15, 29, 3, , 
2020/10/3, 6, 29, 2, , 
2020/10/4, 8, 24, 6, , 
2020/10/5, 8, 25, 10, , 
2020/10/6, 11, 24, 6, , 
2020/10/7, 15, 23, 10, , 
2020/10/8, 18, 25, 12, , 
2020/10/9, 19, 20, 9, , 
2020/10/10, 19, 28, 4, , 
2020/10/11, 10, 31, 3, , 
2020/10/12, 6, 29, 8, , 
2020/10/13, 9, 22, 9, , 
2020/10/14, 10, 21, 7, , 
2020/10/15, 6, 26, 9, , 
2020/10/16, 9, 31, 10, , 
2020/10/17, 11, 31, 9, , 
2020/10/18, 14, 34, 15, , 
2020/10/19, 14, 39, 12, , 
2020/10/20, 14, 36, 11, , 
2020/10/21, 32, 25, 13, , 
2020/10/22, 56, 31, 7, 1, 
2020/10/23, 34, 31, 4, 2, 
2020/10/24, 10, 28, 5, 2, 
2020/10/25, 9, 27, 4, 2, 
2020/10/26, 9, 24, 7, 1, 
2020/10/27, 8, 20, 14, , 
2020/10/28, 13, 28, 16, , 
2020/10/29, 16, 26, 18, , 
2020/10/30, 12, 32, 13, , 
2020/10/31, 19, 33, 8, , 
2020/11/1, 19, 30, 15, , 
2020/11/2, 18, 23, 12, , 
2020/11/3, 20, 20, 9, , 
2020/11/4, 10, 27, 7, , 
2020/11/5, 9, 27, 6, , 
2020/11/6, 13, 27, 4, , 
2020/11/7, 19, 26, 8, , 
2020/11/8, 16, 23, 22, , 
2020/11/9, 10, 20, 17, , 
2020/11/10, 16, 27, 14, , 
2020/11/11, 14, 24, 13, , 
2020/11/12, 11, 18, 19, , 
2020/11/13, 14, 25, 10, , 
2020/11/14, 15, 28, 5, , 
