date, pm10, o3, no2, so2, co
2021/2/1, 9, 27, 11, , 
2021/2/2, 11, 19, 9, , 
2021/2/3, 31, 18, 16, , 
2021/2/4, 18, 25, 14, , 
2021/2/5, 16, 25, 8, , 
2021/2/6, 47, 23, 6, , 
2021/2/7, 57, 24, 8, , 
2021/2/8, 6, 21, 4, , 
2021/2/9, 5, , , , 
2021/1/4, 7, 19, 12, , 
2021/1/5, 7, 18, 12, , 
2021/1/9, 12, 26, 6, , 
2021/1/10, 2, 18, 7, , 
2021/1/11, 5, 24, 7, , 
2021/1/12, 7, 27, 5, , 
2021/1/13, 7, 22, 6, , 
2021/1/14, 5, 18, 15, , 
2021/1/15, 6, 24, 8, , 
2021/1/16, 8, 24, 12, , 
2021/1/17, 8, 17, 21, , 
2021/1/18, 12, 31, 12, , 
2021/1/19, 13, 27, 14, , 
2021/1/20, 11, 24, 10, , 
2021/1/21, 11, 30, 4, , 
2021/1/22, 5, 27, 2, , 
2021/1/23, 3, 29, 2, , 
2021/1/24, 3, 27, 6, , 
2021/1/25, 5, 25, 12, , 
2021/1/26, 9, 17, 19, , 
2021/1/27, 12, 14, 19, , 
2021/1/28, 15, 17, 11, , 
2021/1/29, 13, 29, 5, , 
2021/1/30, 9, 29, 1, , 
2021/1/31, 7, 30, 3, , 
2020/10/1, 14, 29, 9, , 
2020/10/2, 11, 27, 4, , 
2020/10/3, 6, 29, 6, , 
2020/10/4, 6, 23, 13, , 
2020/10/5, 5, 24, 16, , 
2020/10/6, 9, 26, 9, , 
2020/10/7, 12, 24, 13, , 
2020/10/8, 17, 28, 16, , 
2020/10/9, 26, 22, 12, , 
2020/10/10, 31, 28, 9, , 
2020/10/11, 15, 31, 8, , 
2020/10/12, 3, 31, 11, , 
2020/10/13, 6, 22, 10, , 
2020/10/14, 9, 20, 11, , 
2020/10/15, 5, 29, 12, , 
2020/10/16, 6, 33, 15, , 
2020/10/17, 9, 32, 11, , 
2020/10/18, 11, 36, 21, , 
2020/10/19, 11, 42, 16, , 
2020/10/20, 11, 36, 19, , 
2020/10/21, 31, 27, 21, , 
2020/10/22, 62, 28, 9, , 
2020/10/23, 39, 33, 6, , 
2020/10/24, 12, 27, 7, , 
2020/10/25, 8, 25, 5, , 
2020/10/26, 9, 22, 9, , 
2020/10/27, 8, 20, 15, , 
2020/10/28, 12, 27, 17, , 
2020/10/29, 15, 22, 18, , 
2020/10/30, 16, 32, 16, , 
2020/10/31, 22, 34, 11, , 
2020/11/1, 21, 30, 18, , 
2020/11/2, 19, 24, 12, , 
2020/11/3, 20, 18, 11, , 
2020/11/4, 11, 26, 10, , 
2020/11/5, 9, 27, 8, , 
2020/11/6, 10, 27, 6, , 
2020/11/7, 17, 27, 10, , 
2020/11/8, 15, 23, 25, , 
2020/11/9, 9, 21, 18, , 
2020/11/10, 17, 29, 12, , 
2020/11/11, 13, 20, 14, , 
2020/11/12, 11, 12, 24, , 
2020/11/13, 14, 24, 14, , 
2020/11/14, 16, 27, 7, , 
2020/11/15, 15, 24, 9, , 
2020/11/16, 11, 17, 17, , 
2020/11/17, 15, 16, 22, , 
2020/11/18, 18, 16, 16, , 
2020/11/19, 19, 16, 14, , 
2020/11/20, 15, 23, 16, , 
2020/11/21, 18, 27, 14, , 
2020/11/22, 16, 26, 15, , 
2020/11/23, 18, 29, 15, , 
2020/11/24, 16, 28, 26, , 
2020/11/25, 16, 30, 13, , 
2020/11/26, 14, 30, 8, , 
2020/11/27, 14, 27, 5, , 
2020/11/28, 8, 26, 9, , 
2020/11/29, 8, 17, 16, , 
2020/11/30, 11, 11, 11, , 
2020/12/1, 11, 15, 12, , 
2020/12/2, 9, 21, 10, , 
2020/12/3, 8, 23, 9, , 
2020/12/4, 6, 21, 9, , 
2020/12/5, 6, 22, 2, , 
2020/12/6, 5, 22, 12, , 
2020/12/7, 4, 23, 5, , 
2020/12/8, 5, 19, 7, , 
2020/12/9, 6, 19, 12, , 
2020/12/10, 5, 17, 16, , 
2020/12/11, 9, 24, 3, , 
2020/12/12, 6, 23, 9, , 
2020/12/13, 4, 5, 30, , 
2020/12/14, 14, 21, 18, , 
2020/12/15, 25, 21, 18, , 
2020/12/16, 10, 14, 22, , 
2020/12/17, 13, 22, 15, , 
2020/12/18, 18, 25, 14, , 
2020/12/19, 16, 23, 6, , 
2020/12/20, 12, 15, 10, , 
2020/12/21, 7, 11, 18, , 
2020/12/22, 11, 20, 20, , 
2020/12/23, 16, 20, 13, , 
2020/12/24, 17, 29, 3, , 
2020/12/25, 7, 26, 5, , 
2020/12/26, 2, 23, 6, , 
2020/12/27, 3, 26, 5, , 
2020/12/28, 5, 23, 5, , 
2020/12/29, 5, 24, 4, , 
2020/12/30, 5, 22, 6, , 
2020/12/31, 4, 22, 6, , 
2021/1/1, 4, 21, 5, , 
2021/1/2, 4, 23, 10, , 
2021/1/3, 7, 22, 11, , 
2020/7/1, 16, 36, 6, , 
2020/7/2, 17, 28, 5, , 
2020/7/3, 12, 35, 4, , 
2020/7/4, 12, 41, 8, , 
2020/7/5, 14, 44, 11, , 
2020/7/6, 14, 34, 6, , 
2020/7/7, 17, 39, 12, , 
2020/7/8, 18, 35, 10, , 
2020/7/9, 17, 42, 16, , 
2020/7/10, 18, 46, 11, , 
2020/7/11, 18, 41, 5, , 
2020/7/12, 15, 36, 10, , 
