date;date;pm10;year
2018-10-01;2018-10-01;25.0;2018
2018-10-02;2018-10-02;32.0;2018
2018-10-03;2018-10-03;35.0;2018
2018-10-04;2018-10-04;39.0;2018
2018-10-05;2018-10-05;39.0;2018
2018-10-06;2018-10-06;24.0;2018
2018-10-07;2018-10-07;21.0;2018
2018-10-08;2018-10-08;48.0;2018
2018-10-09;2018-10-09;29.0;2018
2018-10-10;2018-10-10;28.0;2018
2018-10-11;2018-10-11;20.0;2018
2018-10-12;2018-10-12;25.0;2018
2018-10-13;2018-10-13;18.0;2018
2018-10-14;2018-10-14;18.0;2018
2018-10-15;2018-10-15;25.0;2018
2018-10-16;2018-10-16;24.0;2018
2018-10-17;2018-10-17;21.0;2018
2018-10-18;2018-10-18;14.0;2018
2018-10-19;2018-10-19;17.0;2018
2018-10-20;2018-10-20;28.0;2018
2018-10-21;2018-10-21;61.0;2018
2018-10-22;2018-10-22;47.0;2018
2018-10-23;2018-10-23;50.0;2018
2018-10-24;2018-10-24;47.0;2018
2018-10-25;2018-10-25;43.0;2018
2018-10-26;2018-10-26;26.0;2018
2018-10-27;2018-10-27;16.0;2018
2018-10-28;2018-10-28;17.0;2018
2018-10-29;2018-10-29;24.0;2018
2018-10-30;2018-10-30;21.0;2018
2018-10-31;2018-10-31;22.0;2018
2018-11-01;2018-11-01;15.0;2018
2018-11-02;2018-11-02;20.0;2018
2018-11-03;2018-11-03;27.0;2018
2018-11-04;2018-11-04;15.0;2018
2018-11-05;2018-11-05;15.0;2018
2018-11-06;2018-11-06;16.0;2018
2018-11-07;2018-11-07;21.0;2018
2018-11-08;2018-11-08;14.0;2018
2018-11-09;2018-11-09;11.0;2018
2018-11-10;2018-11-10;14.0;2018
2018-11-11;2018-11-11;19.0;2018
2018-11-12;2018-11-12;26.0;2018
2018-11-13;2018-11-13;36.0;2018
2018-11-14;2018-11-14;28.0;2018
2018-11-15;2018-11-15;25.0;2018
2018-11-16;2018-11-16;21.0;2018
2018-11-17;2018-11-17;19.0;2018
2018-11-18;2018-11-18;14.0;2018
2018-11-19;2018-11-19;13.0;2018
2018-11-20;2018-11-20;15.0;2018
2018-11-21;2018-11-21;20.0;2018
2018-11-22;2018-11-22;17.0;2018
2018-11-23;2018-11-23;26.0;2018
2018-11-24;2018-11-24;18.0;2018
2018-11-25;2018-11-25;13.0;2018
2018-11-26;2018-11-26;23.0;2018
2018-11-27;2018-11-27;45.0;2018
2018-11-28;2018-11-28;46.0;2018
2018-11-29;2018-11-29;31.0;2018
2018-11-30;2018-11-30;28.0;2018
2018-12-01;2018-12-01;35.0;2018
2018-12-02;2018-12-02;42.0;2018
2018-12-03;2018-12-03;53.0;2018
2018-12-04;2018-12-04;55.0;2018
2018-12-05;2018-12-05;49.0;2018
2018-12-06;2018-12-06;39.0;2018
2018-12-07;2018-12-07;29.0;2018
2018-12-08;2018-12-08;44.0;2018
2018-12-09;2018-12-09;55.0;2018
2018-12-10;2018-12-10;46.0;2018
2018-12-11;2018-12-11;40.0;2018
2018-12-12;2018-12-12;25.0;2018
2018-12-13;2018-12-13;15.0;2018
2018-12-14;2018-12-14;23.0;2018
2018-12-15;2018-12-15;17.0;2018
2018-12-16;2018-12-16;25.0;2018
2018-12-17;2018-12-17;35.0;2018
2018-12-18;2018-12-18;28.0;2018
2018-12-19;2018-12-19;23.0;2018
2018-12-20;2018-12-20;24.0;2018
2018-12-21;2018-12-21;29.0;2018
2018-12-22;2018-12-22;30.0;2018
