;date;pm25;pm10;o3;no2;so2;co;year_x;fecha;indicativo;nombre;provincia;altitud;tmed;prec;tmin;tmax;dir;velmedia;racha;sol;presmax;presmin;month;week;year_y;season;season_name
2018-01-01;2018-01-01;32.0;11.0;31.0;23.0;3.0;;2018;2018-01-01;3196;MADRID, CUATRO VIENTOS;MADRID;690.0;6.2;0.0;1.5;1.5;26.0;5.3;11.9;5.9;952.2;949.3;1;1;2018;1;Winter
2018-01-01;2018-01-01;32.0;11.0;31.0;23.0;3.0;;2018;2018-01-01;3195;MADRID, RETIRO;MADRID;667.0;7.6;0.0;3.6;3.6;27.0;3.1;10.0;5.9;954.3;950.7;1;1;2018;1;Winter
2018-01-01;2018-01-01;32.0;11.0;31.0;23.0;3.0;;2018;2018-01-01;3194U;MADRID, CIUDAD UNIVERSITARIA;MADRID;664.0;6.9;0.0;1.7;1.7;23.0;1.7;9.7;5.9;953.25;950.0;1;1;2018;1;Winter
2018-01-02;2018-01-02;31.0;12.0;15.0;23.0;15.0;;2018;2018-01-02;3196;MADRID, CUATRO VIENTOS;MADRID;690.0;9.4;0.0;5.5;5.5;29.0;4.2;11.9;7.0;952.2;949.6;1;1;2018;1;Winter
2018-01-02;2018-01-02;31.0;12.0;15.0;23.0;15.0;;2018;2018-01-02;3195;MADRID, RETIRO;MADRID;667.0;10.4;0.0;7.5;7.5;29.0;2.5;11.4;7.0;954.3;952.2;1;1;2018;1;Winter
2018-01-02;2018-01-02;31.0;12.0;15.0;23.0;15.0;;2018;2018-01-02;3194U;MADRID, CIUDAD UNIVERSITARIA;MADRID;664.0;10.4;0.0;6.3;6.3;27.0;2.8;14.2;7.0;953.25;950.9;1;1;2018;1;Winter
2018-01-03;2018-01-03;42.0;10.0;17.0;22.0;7.0;;2018;2018-01-03;3196;MADRID, CUATRO VIENTOS;MADRID;690.0;10.9;0.0;7.2;7.2;26.0;5.3;10.3;4.6;952.9;949.8;1;1;2018;1;Winter
2018-01-03;2018-01-03;42.0;10.0;17.0;22.0;7.0;;2018;2018-01-03;3195;MADRID, RETIRO;MADRID;667.0;10.6;0.0;7.6;7.6;22.0;1.7;8.6;4.6;955.4;952.3;1;1;2018;1;Winter
2018-01-03;2018-01-03;42.0;10.0;17.0;22.0;7.0;;2018;2018-01-03;3194U;MADRID, CIUDAD UNIVERSITARIA;MADRID;664.0;11.2;0.0;6.8;6.8;23.0;1.7;6.9;4.6;954.15;951.05;1;1;2018;1;Winter
2018-01-04;2018-01-04;38.0;8.0;21.0;22.0;1.0;;2018;2018-01-04;3196;MADRID, CUATRO VIENTOS;MADRID;690.0;11.3;0.0;8.3;8.3;25.0;4.7;10.3;5.8;949.8;941.0;1;1;2018;1;Winter
2018-01-04;2018-01-04;38.0;8.0;21.0;22.0;1.0;;2018;2018-01-04;3195;MADRID, RETIRO;MADRID;667.0;10.8;0.0;7.8;7.8;99.0;2.2;7.8;5.8;953.3;943.7;1;1;2018;1;Winter
2018-01-04;2018-01-04;38.0;8.0;21.0;22.0;1.0;;2018;2018-01-04;3194U;MADRID, CIUDAD UNIVERSITARIA;MADRID;664.0;11.8;0.0;7.9;7.9;23.0;1.1;7.8;5.8;951.55;942.35;1;1;2018;1;Winter
