date, pm25, pm10, o3, no2, so2, co
2021/2/1, 22, 7, , 10, , 
2021/2/2, 28, 8, , 17, , 
2021/2/3, 31, 12, , 20, , 
2021/2/4, 44, 24, , 16, , 
2021/2/5, 56, 12, , 16, , 
2021/2/6, 38, 5, , 7, , 
2021/2/7, 20, 3, , 7, , 
2021/2/8, 15, , , , , 
2021/1/4, 22, 15, , 25, , 
2021/1/5, 47, 13, , 19, , 
2021/1/6, 47, 8, , 15, , 
2021/1/7, 32, 6, , 12, , 
2021/1/8, 23, 5, , 7, , 
2021/1/9, 20, 7, , 10, , 
2021/1/10, 29, 16, , 24, , 
2021/1/11, 56, 25, , 31, , 
2021/1/12, 81, 44, , 46, , 
2021/1/13, 125, 43, , 49, , 
2021/1/14, 123, 48, , 58, , 
2021/1/15, 134, 49, , 55, , 
2021/1/16, 132, 40, , 41, , 
2021/1/17, 114, 39, , 47, , 
2021/1/18, 106, 23, , 29, , 
2021/1/19, 72, 13, , , , 
2021/1/20, 48, 6, , 12, , 
2021/1/21, 21, 4, , 9, , 
2021/1/22, 14, 5, , 6, , 
2021/1/23, 17, 5, , 6, , 
2021/1/24, 15, 7, , 9, , 
2021/1/25, 25, 10, , 12, , 
2021/1/26, 45, 15, , 18, , 
2021/1/27, 55, 10, , 13, , 
2021/1/28, 41, 10, , 13, , 
2021/1/29, 41, 5, , 5, , 
2021/1/30, 21, 7, , 6, , 
2021/1/31, 27, 6, , 11, , 
2020/10/1, 30, 6, , 3, , 
2020/10/2, 10, 5, , 2, , 
2020/10/3, 13, 9, , 2, , 
2020/10/4, 17, 7, , 6, , 
2020/10/5, 16, 14, , 19, , 
2020/10/6, 28, 19, , 22, , 
2020/10/7, 40, 20, , 25, , 
2020/10/8, 40, 21, , 24, , 
2020/10/9, 46, 15, , 12, , 
2020/10/10, 38, 5, , 3, , 
2020/10/11, 11, 5, , 5, , 
2020/10/12, 15, 15, , 21, , 
2020/10/13, 32, 7, , 9, , 
2020/10/14, 15, 10, , 14, , 
2020/10/15, 20, 8, , 17, , 
2020/10/16, 26, 18, , 22, , 
2020/10/17, 40, 21, , 23, , 
2020/10/18, 44, 29, , 25, , 
2020/10/19, 46, 26, , 18, , 
2020/10/20, 49, 8, , 9, , 
2020/10/21, 16, 10, , 11, , 
2020/10/22, 21, 7, , 12, , 
2020/10/23, 26, 11, , 13, , 
2020/10/24, 33, 6, , 4, , 
2020/10/25, 20, 5, , 7, , 
2020/10/26, 16, 9, , 10, , 
2020/10/27, 21, 17, , 20, , 
2020/10/28, 37, 19, , 19, , 
2020/10/29, 49, 22, , 21, , 
2020/10/30, 56, 21, , 20, , 
2020/10/31, 53, 23, , 19, , 
2020/11/1, 64, 20, , 15, , 
2020/11/2, 59, 16, , 16, , 
2020/11/3, 46, 6, , 10, , 
2020/11/4, 14, 7, , 16, , 
2020/11/5, 20, 42, , 10, , 
2020/11/6, 55, 10, , 7, , 
2020/11/7, 22, 11, , 16, , 
2020/11/8, 33, 13, , 20, , 
2020/11/9, 41, 13, , 18, , 
2020/11/10, 39, 18, , 20, , 
2020/11/11, 53, 23, , 22, , 
2020/11/12, 61, 19, , 20, , 
2020/11/13, 58, 20, , 18, , 
2020/11/14, 62, 16, , 10, , 
2020/11/15, 52, 15, , 17, , 
2020/11/16, 46, 20, , 18, , 
2020/11/17, 60, 19, , 20, , 
2020/11/18, 58, 16, , 16, , 
2020/11/19, 46, 8, , 19, , 
2020/11/20, 21, 11, , 20, , 
2020/11/21, 39, 15, , 21, , 
2020/11/22, 51, 22, , 27, , 
2020/11/23, 64, 24, , 30, , 
2020/11/24, 70, 26, , 27, , 
2020/11/25, 71, 14, , 21, , 
2020/11/26, 46, 9, , 22, , 
2020/11/27, 29, 13, , 16, , 
2020/11/28, 44, 14, , 17, , 
2020/11/29, 47, 14, , 23, , 
2020/11/30, 42, 12, , 24, , 
2020/12/1, 36, 8, , 18, , 
2020/12/2, 23, 11, , 22, , 
2020/12/3, 35, 5, , 8, , 
2020/12/4, 17, 4, , 6, , 
2020/12/5, 14, 4, , 5, , 
2020/12/6, 14, 5, , 4, , 
2020/12/7, 14, 4, , 4, , 
2020/12/8, 14, 6, , 11, , 
2020/12/9, 19, 6, , 9, , 
2020/12/10, 18, 8, , 6, , 
2020/12/11, 29, 8, , 4, , 
2020/12/12, 20, 13, , 15, , 
2020/12/13, 39, 14, , 19, , 
2020/12/14, 45, 7, , 14, , 
2020/12/15, 23, 12, , 24, , 
2020/12/16, 36, 18, , 27, , 
2020/12/17, 54, 19, , 21, , 
2020/12/18, 56, 12, , 12, , 
2020/12/19, 43, 12, , 16, , 
2020/12/20, 40, 18, , 20, , 
2020/12/21, 55, 18, , 20, , 
2020/12/22, 53, 15, , 18, , 
2020/12/23, 47, 14, , 12, , 
2020/12/24, 49, 4, , 7, , 
2020/12/25, 13, 8, , 19, , 
2020/12/26, 28, 12, , 15, , 
2020/12/27, 43, 4, , 5, , 
2020/12/28, 14, 5, , 10, , 
2020/12/29, 19, 4, , 9, , 
2020/12/30, 17, 8, , 16, , 
2020/12/31, 29, 3, , 5, , 
2021/1/1, 16, 4, , 9, , 
2021/1/2, 17, 8, , 17, , 
2021/1/3, 32, 6, , 13, , 
2020/7/1, 35, 14, , 5, , 
2020/7/2, 24, 8, , 4, , 
2020/7/3, 27, 8, , 5, , 
2020/7/4, 27, 12, , 3, , 
2020/7/5, 27, 13, , 9, , 
2020/7/6, 27, 16, , 7, , 
2020/7/7, 32, 35, , 13, , 
2020/7/8, 61, 23, , 7, , 
2020/7/9, 54, 12, , 10, , 
2020/7/10, 36, 19, , 7, , 
2020/7/11, 40, 22, , 3, , 
2020/7/12, 44, 18, , 8, , 
2020/7/13, 35, 18, , 7, , 
2020/7/14, 35, 15, , 7, , 
2020/7/15, 25, 14, , 9, , 
2020/7/16, 22, 11, , 7, , 
2020/7/17, 21, 11, , 6, , 
2020/7/18, 21, 19, , 11, , 
2020/7/19, 41, 39, , 16, , 
2020/7/20, 51, 33, , 13, , 
2020/7/21, 46, 23, , 9, , 
2020/7/22, 56, 17, , 12, , 
2020/7/23, 55, 13, , 9, , 
2020/7/24, 44, 10, , 6, , 
2020/7/25, 38, 19, , 13, , 
2020/7/26, 50, 28, , 15, , 
2020/7/27, 57, 25, , 12, , 
2020/7/28, 58, 25, , 14, , 
2020/7/29, 39, 36, , 9, , 
2020/7/30, 52, 23, , 17, , 
2020/7/31, 39, 28, , 17, , 
2020/8/1, 50, 14, , 5, , 
2020/8/2, 33, 7, , 4, , 
2020/8/3, 10, 11, , 6, , 
2020/8/4, 21, 16, , 13, , 
2020/8/5, 33, 28, , 16, , 
2020/8/6, 53, 26, , 10, , 
2020/8/7, 39, 27, , 14, , 
2020/8/8, 52, 28, , 10, , 
2020/8/9, 43, 34, , 13, , 
2020/8/10, 60, 23, , 11, , 
2020/8/11, 49, 14, , 9, , 
2020/8/12, 32, 18, , 14, , 
2020/8/13, 44, 17, , 17, , 
2020/8/14, 44, 10, , 6, , 
2020/8/15, 26, 8, , 3, , 
2020/8/16, 19, 11, , 7, , 
2020/8/17, 23, 12, , 9, , 
2020/8/18, 27, 14, , 13, , 
2020/8/19, 34, 17, , 17, , 
2020/8/20, 32, 12, , 10, , 
2020/8/21, 26, 9, , 5, , 
2020/8/22, 25, 10, , 8, , 
2020/8/23, 25, 16, , 10, , 
2020/8/24, 34, 23, , 19, , 
2020/8/25, 46, 25, , 24, , 
2020/8/26, 48, 23, , 22, , 
2020/8/27, 46, 13, , 8, , 
2020/8/28, 26, 8, , 2, , 
2020/8/29, 13, 5, , 2, , 
2020/8/30, 12, 9, , 10, , 
2020/8/31, 18, 19, , 25, , 
2020/9/1, 28, 14, , 16, , 
2020/9/2, 23, 17, , 19, , 
2020/9/3, 25, 21, , 22, , 
2020/9/4, 32, 19, , 23, , 
2020/9/5, 32, 15, , 9, , 
2020/9/6, 28, 13, , 7, , 
2020/9/7, 22, 13, , 9, , 
2020/9/8, 16, 17, , 21, , 
2020/9/9, 27, 17, , 15, , 
2020/9/10, 34, 17, , 18, , 
2020/9/11, 31, 16, , 14, , 
2020/9/12, 29, 19, , 10, , 
2020/9/13, 39, , , , , 
2020/9/17, 45, 14, , 11, , 
2020/9/18, 31, 7, , 4, , 
2020/9/19, 19, 8, , 3, , 
2020/9/20, 21, 10, , 10, , 
2020/9/21, 25, 11, , 16, , 
2020/9/22, 29, 8, , 6, , 
2020/9/23, 20, 6, , 4, , 
2020/9/24, 17, 6, , 5, , 
2020/9/25, 14, 6, , 7, , 
2020/9/26, 17, 4, , 2, , 
2020/9/27, 10, 15, , 21, , 
2020/9/28, 32, 21, , 29, , 
2020/9/29, 43, 21, , 27, , 
2020/9/30, 42, 13, , 15, , 
2020/4/1, 26, 8, , 11, , 
2020/4/2, 26, 8, , 10, , 
2020/4/3, 26, 9, , 7, , 
2020/4/4, 34, 11, , 3, , 
2020/4/5, 40, 11, , 6, , 
2020/4/6, 41, 10, , 11, , 
2020/4/7, 36, 15, , 10, , 
2020/4/8, 49, 11, , 7, , 
2020/4/9, 41, 11, , 4, , 
2020/4/10, 42, 13, , 3, , 
2020/4/11, 48, 13, , 3, , 
2020/4/12, 43, 13, , 7, , 
2020/4/13, 48, 13, , 10, , 
2020/4/14, 50, 10, , 6, , 
2020/4/15, 38, 8, , 7, , 
2020/4/16, 30, 10, , 8, , 
2020/4/17, 35, 12, , 9, , 
2020/4/18, 43, 6, , 4, , 
2020/4/19, 24, 10, , 8, , 
2020/4/20, 34, 4, , 3, , 
2020/4/21, 16, 9, , 11, , 
2020/4/22, 32, 13, , 7, , 
2020/4/23, 47, 12, , 7, , 
2020/4/24, 41, 14, , 3, , 
2020/4/25, 48, 13, , 2, , 
